Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1996-09-01,484.8707881403651,29.15500259399414,0.0,0.33430370459554754,1813243.0
1996-10-01,493.367089977453,29.15500259399414,0.0,0.3401616403273381,1815766.0
1996-11-01,486.76898309344665,29.15500259399414,0.0,0.33561243205686947,1818289.0
1996-12-01,486.57762306048073,29.15500259399414,0.0,0.3354804996030269,1820812.0
1997-01-01,514.372000348811,28.983501434326172,0.0,0.36473323525489426,1823337.0
1997-02-01,530.2524010287619,28.983501434326172,0.0,0.37599382284529537,1825884.0
1997-03-01,508.96902863712114,28.983501434326172,0.0,0.3609020365593588,1828431.0
1997-04-01,495.7684499759145,28.983501434326172,0.0,0.3515417182269718,1830978.0
1997-05-01,523.9784704326366,28.983501434326172,0.0,0.3715450458184324,1833525.0
1997-06-01,518.0074637595911,28.983501434326172,0.0,0.3673110491334412,1836072.0
1997-07-01,527.0479501190839,28.983501434326172,0.0,0.37372151272932747,1838619.0
1997-08-01,519.3784808105298,28.983501434326172,0.0,0.3682832535524249,1841166.0
1997-09-01,493.4114610028784,28.983501434326172,0.0,0.3498704140135581,1843713.0
1997-10-01,501.75506835440297,28.983501434326172,0.0,0.35578674324054615,1846260.0
1997-11-01,495.2536622265061,28.983501434326172,0.0,0.3511767193684328,1848807.0
1997-12-01,495.05324886542496,28.983501434326172,0.0,0.35103457807837574,1851354.0
1998-01-01,522.3428360522745,29.063997268676758,0.0,0.3800330346403711,1853908.0
1998-02-01,537.9431521986792,29.063997268676758,0.0,0.39138311597486863,1856501.0
1998-03-01,516.9926184474804,29.063997268676758,0.0,0.37614047422370583,1859094.0
1998-04-01,503.9917760074599,29.063997268676758,0.0,0.3666815945455598,1861687.0
1998-05-01,531.7184449224366,29.063997268676758,0.0,0.3868543137984717,1864280.0
1998-06-01,525.8280156175595,29.063997268676758,0.0,0.38256865374763155,1866873.0
1998-07-01,534.7014535166727,29.063997268676758,0.0,0.38678558670738117,1869466.0
1998-08-01,527.1407378186265,29.063997268676758,0.0,0.381316454958865,1872059.0
1998-09-01,501.58456076114396,29.063997268676758,0.0,0.36282990940922766,1874652.0
1998-10-01,509.77283199582365,29.063997268676758,0.0,0.3687530765800119,1877245.0
1998-11-01,503.361160642566,29.063997268676758,0.0,0.3641150518981186,1879838.0
1998-12-01,503.14656287534575,29.063997268676758,0.0,0.3639598485836981,1882431.0
1999-01-01,529.9388125799723,29.381999969482422,20.677349090576172,0.42934076539563404,1885028.0
1999-02-01,545.2661868483661,29.381999969482422,33.749473571777344,0.44197103491910245,1887659.0
1999-03-01,524.6461521777081,29.381999969482422,19.128692626953125,0.4255765242255261,1890290.0
1999-04-01,511.8444589076882,29.381999969482422,24.411182403564453,0.41569809789615514,1892921.0
1999-05-01,539.0984393991829,29.381999969482422,34.635772705078125,0.43971651335057793,1895552.0
1999-06-01,612.2828383775432,13.067960739135742,70.5102767944336,0.49812317127245215,1898183.0
1999-07-01,639.0324092730798,13.067960739135742,68.50022888183594,0.5195502961171277,1900814.0
1999-08-01,632.3425420750272,13.067960739135742,48.207542419433594,0.5150652112738795,1903445.0
1999-09-01,587.3340045202815,13.067960739135742,20.19713592529297,0.4795612022350824,1906076.0
1999-10-01,591.2059839462003,13.067960739135742,17.50562286376953,0.48246856424548956,1908707.0
1999-11-01,571.4589073204216,13.067960739135742,25.704639434814453,0.46551873621055057,1911338.0
1999-12-01,581.3897717256654,16.220304489135742,40.47248458862305,0.46966209589649505,1913969.0
2000-01-01,567.2755691838272,16.220304489135742,34.32780456542969,0.46780203635654355,1916604.0
2000-02-01,590.3590689856577,16.220304489135742,66.68498992919922,0.47926036927408827,1919283.0
2000-03-01,609.0357145458651,16.220304489135742,31.483383178710938,0.5015791248630193,1921962.0
2000-04-01,552.668069006116,16.220304489135742,18.253610610961914,0.4554242403849036,1924641.0
2000-05-01,628.9971307307557,16.220304489135742,43.803504943847656,0.5154216952909437,1927320.0
2000-06-01,629.7738366703817,17.49809455871582,70.75000762939453,0.511778763477654,1929999.0
2000-07-01,646.8037484775011,17.49809455871582,60.29643249511719,0.5261876386374951,1932678.0
2000-08-01,637.5010527773429,17.49809455871582,49.77866744995117,0.522550173824156,1935357.0
2000-09-01,589.7178896573645,17.49809455871582,35.304832458496094,0.4847269516144594,1938036.0
2000-10-01,599.9735922069959,17.49809455871582,22.64325714111328,0.49486941483420477,1940715.0
2000-11-01,574.0813494330023,17.49809455871582,27.43534278869629,0.4726644611614548,1943394.0
2000-12-01,575.8471033717645,16.636795043945312,35.50492858886719,0.4701188564735413,1946073.0
2001-01-01,608.680494797453,16.636795043945312,45.81193542480469,0.5017880005050493,1948757.0
2001-02-01,580.4864324986638,16.636795043945312,67.75934600830078,0.46812846684702325,1951391.0
2001-03-01,602.6504906539067,16.636795043945312,35.38022232055664,0.49986020982693874,1954025.0
2001-04-01,565.148807227013,16.636795043945312,24.12757682800293,0.46875530433383616,1956659.0
2001-05-01,622.8908208215922,16.636795043945312,42.881874084472656,0.5150562520938091,1959293.0
2001-06-01,616.796139713659,18.00852394104004,56.43562698364258,0.5042538039726386,1961927.0
2001-07-01,645.5554828788722,18.00852394104004,62.6956672668457,0.5271746359463427,1964561.0
2001-08-01,648.327695017525,18.00852394104004,61.408935546875,0.5286048335769526,1967195.0
2001-09-01,585.8007852458259,18.00852394104004,27.553600311279297,0.484932536199232,1969829.0
2001-10-01,595.6452668567167,18.00852394104004,21.367013931274414,0.4935579619276699,1972463.0
2001-11-01,565.0912334938487,18.00852394104004,20.618518829345703,0.466197730478936,1975097.0
2001-12-01,549.8378571201038,15.342048645019531,18.807966232299805,0.452561495026931,1977731.0
2002-01-01,571.3903030437685,15.342048645019531,26.196584701538086,0.47709464822237047,1980374.0
2002-02-01,543.8012222746673,15.342048645019531,41.77108383178711,0.44893283245039706,1983024.0
2002-03-01,582.422076836379,15.342048645019531,30.498823165893555,0.4854164399269018,1985674.0
2002-04-01,563.7425666038332,15.342048645019531,25.316112518310547,0.47202724488250014,1988324.0
