Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1971-10-01,255.31453572272997,28.66499900817871,0.0,0.2179649783159202,1103877.0
1971-11-01,249.66642498411628,28.66499900817871,0.0,0.21314313769692206,1106479.0
1971-12-01,251.332353092335,28.66499900817871,0.0,0.21456534357143905,1109081.0
1972-01-01,262.78556926749803,27.037500381469727,0.0,0.23017878564388602,1111683.0
1972-02-01,264.41417032186047,27.037500381469727,0.0,0.2316053008963934,1114396.0
1972-03-01,266.7617651903261,27.037500381469727,0.0,0.23366157356120196,1117109.0
1972-04-01,251.8699121378219,27.037500381469727,0.0,0.22061754587429,1119822.0
1972-05-01,267.2646064487967,27.037500381469727,0.0,0.2341020415136534,1122535.0
1972-06-01,265.9538997181066,27.037500381469727,0.0,0.23295397378072896,1125248.0
1972-07-01,278.34154394522506,27.037500381469727,0.0,0.24380455700420012,1127961.0
1972-08-01,275.0099719282481,27.037500381469727,0.0,0.24088633335569076,1130674.0
1972-09-01,258.923364217165,27.037500381469727,0.0,0.2267957916423341,1133387.0
1972-10-01,255.3678153331573,27.037500381469727,0.0,0.2236814213975266,1136100.0
1972-11-01,248.20256925412687,27.037500381469727,0.0,0.21740525478165312,1138813.0
1972-12-01,245.55775558331567,27.037500381469727,0.0,0.21508861058568743,1141526.0
1973-01-01,282.3757715799878,24.779998779296875,0.0,0.2545028749757041,1144243.0
1973-02-01,275.2973595600153,24.779998779296875,0.0,0.24812318961384308,1146949.0
1973-03-01,267.0881971113073,24.779998779296875,0.0,0.24072429529631684,1149655.0
1973-04-01,256.02209290317876,24.779998779296875,0.0,0.2223248563093031,1152361.0
1973-05-01,279.68667077321055,24.779998779296875,0.0,0.2428747239386252,1155067.0
1973-06-01,275.21257405380845,24.779998779296875,0.0,0.2389895080469991,1157773.0
1973-07-01,290.93856394643933,24.779998779296875,0.0,0.2526456471343243,1160479.0
1973-08-01,280.4788414998474,24.779998779296875,0.0,0.24356261264769027,1163185.0
1973-09-01,261.9894087440421,24.779998779296875,0.0,0.22750676464091416,1165891.0
1973-10-01,266.8269354191394,24.779998779296875,0.0,0.2317075590087355,1168597.0
1973-11-01,261.05003359506463,24.779998779296875,0.0,0.22669101372538727,1171303.0
1973-12-01,262.83601211745395,24.779998779296875,0.0,0.2282419172800393,1174009.0
1974-01-01,294.40419915443283,21.47249984741211,0.0,0.2633928965540487,1176725.0
1974-02-01,311.87205209440765,21.47249984741211,0.0,0.27902075014315053,1178591.0
