Time (Month),Consumption (KWh) per household,Avg Tariff (c/KWh) per household,Primary Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),Percentage Renewable Production,System Production Primary Spot,System Production Secondary Spot,System Production Off Spot,System Production Rooftop PV,System Production Coal,System Production Water,System Production Wind,System Production Gas,System Production Solar,System Production Battery,Number of Active Actors,Primary Total Unmet Demand (MWh),Primary Total Unmet Demand (Hours),Primary Total Unmet Demand (Days),Primary Max Unmet Demand Per Hour (MWh),Secondary Total Unmet Demand (MWh),Secondary Total Unmet Demand (Hours),Secondary Total Unmet Demand (Days),Secondary Max Unmet Demand Per Hour (MWh)
2025-07-01,415.8214008581301,7.155293941497803,21.512557983398438,0.4020177804896018,2916341.0,0.24601857876254749,3684786.11160515,0.0,299974.3612034104,124273.45150429556,2946622.7580075976,420035.8703581746,416327.47255989746,13487.289319479594,5225.289591501386,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-01,411.6872778816327,7.155293941497803,20.730831146240234,0.3947586502699555,2920740.0,0.25181429428466756,3536520.34335789,0.0,379282.37928726315,199812.1299137985,2871715.5361942365,392679.2088511663,370218.9137342206,13593.963218265682,8388.459808807895,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,361.7711414739607,7.155293941497803,16.502395629882812,0.3623715536960242,2925139.0,0.2167727305552793,2946540.006443766,0.0,453786.23642604763,276013.33675050276,2605097.8615390025,260289.67107036518,176640.74583439698,12596.191200000008,11551.817052898004,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-01,355.4631737154459,7.155293941497803,14.574967384338379,0.35365998012535826,2929538.0,0.2208031149529042,2719545.04945013,0.0,578281.438022086,389604.32399917283,2509255.830009276,200837.97742572328,107989.83381513112,12998.569530000044,16305.871044838635,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,336.21078094042235,7.155293941497803,13.956599235534668,0.3355055114902508,2933937.0,0.21784700002546054,2508322.930137058,0.0,596759.7814573382,412255.27965863707,2369368.4936694195,148184.39637768353,85891.6884770714,12962.814812880728,17200.87104217467,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-12-01,353.12684202895787,7.155293941497803,76.56720733642578,0.3411953650146504,2938336.0,0.2415326861503348,2586329.5218169163,0.0,662455.7431964533,469631.60576285986,2396894.191496837,157076.90475272547,123471.16832696996,20372.035880382216,19594.831380609874,0.0,194.0,3773.434752495055,9.0,3.0,1085.972789144519,0.0,0.0,0.0,0.0
2026-01-01,387.0522634301431,8.129355430603027,56.086421966552734,0.35518643582939186,2942746.0,0.28099249016972233,2829407.377967065,0.0,724101.003630116,528395.4421324652,2490280.2415641295,213527.87831286978,217115.77765298993,20049.259077074683,22012.87686393086,0.0,194.0,2465.0486502922204,5.0,2.0,809.9623541365454,0.0,0.0,0.0,0.0
2026-02-01,332.8223496115209,8.129355430603027,45.016136169433594,0.324191981761361,2947134.0,0.23675152815304482,2520722.906317552,0.0,567614.8895111094,394967.9050313691,2298445.5254834625,171226.79463029312,135426.6886887425,16421.729835052633,16425.722627626084,0.0,194.0,1237.1211667764424,4.0,0.0,577.4838366510762,0.0,0.0,0.0,0.0
2026-03-01,369.45506420077504,8.129355430603027,59.02027130126953,0.3709221809620041,2951522.0,0.21368031993189843,2941001.050644753,0.0,533141.098075439,346495.5247424599,2665027.1825472885,221274.37469177126,147209.17638357618,19042.595662118096,14409.878147649953,0.0,194.0,2148.5585599201418,6.0,2.0,785.5482484666927,0.0,0.0,0.0,0.0
2026-04-01,332.53496808089557,8.129355430603027,14.896269798278809,0.3522091607924752,2955910.0,0.17075018364874,2761227.181826832,0.0,411544.2585865662,235651.178427895,2570413.3221281804,183058.29567706332,103376.45862158848,12613.685910000011,9783.146163125552,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-01,376.4640840212708,8.129355430603027,18.504579544067383,0.3854389878739755,2960298.0,0.2001971433766416,3296675.9054501615,0.0,342729.4037506231,165088.0362012987,2850218.772049082,313375.92911424086,231449.15924836605,13319.323678473433,6853.6911175351825,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,395.7128174788156,8.129355430603027,23.759851455688477,0.38340358778619377,2964686.0,0.24405925679333546,3574565.2614917727,0.0,283857.1615036207,114204.84827203311,2858274.4584125807,407051.06906760694,401820.58365608496,15503.613555498856,4737.149394816093,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,406.11988788423594,8.129355430603027,22.08420753479004,0.39432081253399826,2969074.0,0.24273030102298532,3660053.8163091354,0.0,301783.14078833984,126082.23108922485,2942301.277901227,413813.6521288517,402266.9925696047,13359.172349452507,5225.289591501386,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,402.09442730393056,8.129355430603027,21.256038665771484,0.38699027453920604,2973462.0,0.2489849235057985,3511020.3401833326,0.0,382052.5426354601,202582.2932619958,2865720.372940241,386299.0828952782,357258.2802058137,13429.88278199958,8388.459808807895,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-01,353.3521668317746,8.129355430603027,16.891664505004883,0.3545851959044766,2977850.0,0.21524934164522988,2923330.3656851635,0.0,456991.89973007445,279219.0000545296,2594491.1816694527,254445.18173292314,169882.27428278737,12596.191200000008,11551.817052898004,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-01,347.1673789952378,8.129355430603027,14.92872428894043,0.3454775673600012,2982238.0,0.22054259572792587,2695055.612448649,0.0,583487.4523419795,394810.33831906685,2495068.522173231,194115.2528999261,104410.42917549229,12998.569530000044,16305.871044838635,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-01,328.4064735591266,8.129355430603027,14.300673484802246,0.32766833812991475,2986626.0,0.21787090403172713,2485931.9103090013,0.0,601344.5067002845,416840.00490158406,2355414.7558855386,141973.87656558852,83710.81788875075,12916.92316912408,17200.87104217467,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-01,344.9402318076746,8.129355430603027,82.37110900878906,0.33307998684620693,2991014.0,0.24193928975205592,2563165.1293986067,0.0,667678.5553246746,474854.41789108055,2382243.698193883,151082.0684005589,121198.28160124291,20125.859842922513,19594.831380609874,0.0,194.0,3389.5754570814893,9.0,3.0,1033.0911768643537,0.0,0.0,0.0,0.0
2027-01-01,380.89882867219245,8.319611549377441,59.86909866333008,0.3489506956574209,2995404.0,0.2821969589780374,2833328.275001569,0.0,726734.0521840783,533912.2346864274,2490567.95841406,212466.02436035473,218715.60265120928,20260.72421594435,22012.87686393086,0.0,194.0,2539.068263901434,5.0,2.0,828.5307083005064,0.0,0.0,0.0,0.0
2027-02-01,327.5396885850752,8.319611549377441,47.39438247680664,0.31862695628303983,2999792.0,0.23776280329773156,2525134.3943099817,0.0,568788.7343108587,398746.4218311177,2299524.1680410258,170731.15628059983,136538.90553530565,16533.324773050197,16425.722627626084,0.0,194.0,1288.7312037414313,4.0,0.0,595.3523069589733,0.0,0.0,0.0,0.0
2027-03-01,363.60042507439636,8.319611549377441,62.70199203491211,0.3645676575561785,3004180.0,0.21471880558468612,2946404.8101159134,0.0,533877.489461453,350115.660128474,2666204.5028486997,220898.9521855051,148827.69728173668,19142.192439970808,14409.878147649953,0.0,194.0,2229.7374892355574,6.0,2.0,803.6149430634487,0.0,0.0,0.0,0.0
