region,year,category,subcategory,scenario,annual_consumption
NEM,2012,Native,Native,Actual,194340.52
NEM,2012,Operational,,Actual,190338.97
NEM,2012,OperationalGen,,Actual,202408.3
NEM,2012,SmallNonScheduledGeneration,ONSG generation,Actual,3993.914
NEM,2012,SmallNonScheduledGeneration,PVNSG generation,Actual,7.645487
NSW,2012,AuxiliaryLoads,,Actual,3340.4453
NSW,2012,Losses,Distribution losses,Actual,2791.509
NSW,2012,Losses,Transmission losses,Actual,1986.0149
NSW,2012,Native,Native,Actual,73338.03
NSW,2012,Operational,,Actual,71927.1
NSW,2012,OperationalGen,,Actual,75267.55
NSW,2012,SmallNonScheduledGeneration,ONSG generation,Actual,1409.8074
NSW,2012,SmallNonScheduledGeneration,PVNSG generation,Actual,1.1176429
QLD,2012,AuxiliaryLoads,,Actual,3588.5347
QLD,2012,Losses,Distribution losses,Actual,1805.7352
QLD,2012,Losses,Transmission losses,Actual,1439.052
QLD,2012,Native,Native,Actual,48919.902
QLD,2012,Operational,,Actual,47587.66
QLD,2012,OperationalGen,,Actual,51176.195
QLD,2012,SmallNonScheduledGeneration,ONSG generation,Actual,1330.3538
QLD,2012,SmallNonScheduledGeneration,PVNSG generation,Actual,1.8858654
SA,2012,AuxiliaryLoads,,Actual,509.67435
SA,2012,Losses,Distribution losses,Actual,662.71436
SA,2012,Losses,Transmission losses,Actual,292.30353
SA,2012,Native,Native,Actual,13622.271
SA,2012,Operational,,Actual,13538.839
SA,2012,OperationalGen,,Actual,14048.514
SA,2012,SmallNonScheduledGeneration,ONSG generation,Actual,80.26815
SA,2012,SmallNonScheduledGeneration,PVNSG generation,Actual,3.1642358
TAS,2012,AuxiliaryLoads,,Actual,128.95093
TAS,2012,Losses,Distribution losses,Actual,181.40468
TAS,2012,Losses,Transmission losses,Actual,251.2979
TAS,2012,Native,Native,Actual,10560.026
TAS,2012,Operational,,Actual,10052.262
TAS,2012,OperationalGen,,Actual,10181.213
TAS,2012,SmallNonScheduledGeneration,ONSG generation,Actual,507.76468
TAS,2012,SmallNonScheduledGeneration,PVNSG generation,Actual,0
VIC,2012,AuxiliaryLoads,,Actual,4501.728
VIC,2012,Losses,Distribution losses,Actual,2002.9807
VIC,2012,Losses,Transmission losses,Actual,1213.8905
VIC,2012,Native,Native,Actual,47900.293
VIC,2012,Operational,,Actual,47233.094
VIC,2012,OperationalGen,,Actual,51734.824
VIC,2012,SmallNonScheduledGeneration,ONSG generation,Actual,665.72015
VIC,2012,SmallNonScheduledGeneration,PVNSG generation,Actual,1.4777428
NEM,2013,AuxiliaryLoads,,Actual,11194.836
NEM,2013,Losses,Distribution losses,Actual,7170.4873
NEM,2013,Losses,Transmission losses,Actual,4629.8213
NEM,2013,Native,Native,Actual,190141.17
NEM,2013,Operational,,Actual,185905.7
NEM,2013,OperationalGen,,Actual,197100.53
NEM,2013,SmallNonScheduledGeneration,ONSG generation,Actual,4223.418
NEM,2013,SmallNonScheduledGeneration,PVNSG generation,Actual,12.049985
NSW,2013,AuxiliaryLoads,,Actual,3191.5557
NSW,2013,Losses,Distribution losses,Actual,2613.8916
NSW,2013,Losses,Transmission losses,Actual,1408.4623
NSW,2013,Native,Native,Actual,69723.42
NSW,2013,Operational,,Actual,68343.29
NSW,2013,OperationalGen,,Actual,71534.84
NSW,2013,SmallNonScheduledGeneration,ONSG generation,Actual,1378.829
NSW,2013,SmallNonScheduledGeneration,PVNSG generation,Actual,1.3003718
QLD,2013,AuxiliaryLoads,,Actual,3466.4001
QLD,2013,Losses,Distribution losses,Actual,1724.8188
QLD,2013,Losses,Transmission losses,Actual,1502.2958
QLD,2013,Native,Native,Actual,48817.145
QLD,2013,Operational,,Actual,47236.54
QLD,2013,OperationalGen,,Actual,50702.94
QLD,2013,SmallNonScheduledGeneration,ONSG generation,Actual,1574.4318
QLD,2013,SmallNonScheduledGeneration,PVNSG generation,Actual,6.1710277
SA,2013,AuxiliaryLoads,,Actual,472.09402
SA,2013,Losses,Distribution losses,Actual,646.33435
SA,2013,Losses,Transmission losses,Actual,307.4301
SA,2013,Native,Native,Actual,13494.812
