region,year,category,subcategory,scenario,annual_consumption
NEM,2022,SmallNonScheduledGeneration,PVNSG generation,Fast change,1448.5217
NEM,2022,SmallNonScheduledGeneration,PVNSG generation,High DER,1658.588
NEM,2022,SmallNonScheduledGeneration,PVNSG generation,Slow change,1188.2185
NEM,2022,SmallNonScheduledGeneration,PVNSG generation,Step change,1449.3353
NSW,2022,AuxiliaryLoads,,Central,2983.0547
NSW,2022,AuxiliaryLoads,,Slow change,3038.3809
NSW,2022,AuxiliaryLoads,,Step change,2864.9614
NSW,2022,Business,Business SNSG offset,Central,-1520.064
NSW,2022,Business,Business SNSG offset,Fast change,-1571.276
NSW,2022,Business,Business SNSG offset,High DER,-1675.9979
NSW,2022,Business,Business SNSG offset,Slow change,-1450.7178
NSW,2022,Business,Business SNSG offset,Step change,-1628.0779
NSW,2022,Business,Large industrial loads,Central,14094.125
NSW,2022,Business,Large industrial loads,Fast change,14094.125
NSW,2022,Business,Large industrial loads,High DER,14094.125
NSW,2022,Business,Large industrial loads,Slow change,14012.258
NSW,2022,Business,Large industrial loads,Step change,14129.79
NSW,2022,Business,Small to medium enterprises,Central,30451.334
NSW,2022,Business,Small to medium enterprises,Fast change,30357.156
TAS,2022,Operational,,High DER,10060.424
NSW,2022,Business,Small to medium enterprises,High DER,29768.484
NSW,2022,Business,Small to medium enterprises,Slow change,29811.586
NSW,2022,Business,Small to medium enterprises,Step change,30988.43
NSW,2022,ElectricVehicles,EV Load,Central,26.789415
NSW,2022,ElectricVehicles,EV Load,Fast change,66.83116
NSW,2022,ElectricVehicles,EV Load,High DER,66.83116
NSW,2022,ElectricVehicles,EV Load,Slow change,17.328596
NSW,2022,ElectricVehicles,EV Load,Step change,113.68352
NSW,2022,EnergyEfficiency,Business,Central,2299.8938
NSW,2022,EnergyEfficiency,Business,Fast change,2299.8938
NSW,2022,EnergyEfficiency,Business,High DER,2299.8938
NSW,2022,EnergyEfficiency,Business,Slow change,2153.7832
NSW,2022,EnergyEfficiency,Business,Step change,2529.9172
NSW,2022,EnergyEfficiency,Residential,Central,761.78265
NSW,2022,EnergyEfficiency,Residential,Fast change,761.78265
NSW,2022,EnergyEfficiency,Residential,High DER,761.78265
NSW,2022,EnergyEfficiency,Residential,Slow change,715.04297
NSW,2022,EnergyEfficiency,Residential,Step change,827.2627
NSW,2022,Losses,Distribution losses,Central,2547.7468
NSW,2022,Losses,Distribution losses,Fast change,2523.994
NSW,2022,Losses,Distribution losses,High DER,2470.8567
NSW,2022,Losses,Distribution losses,Slow change,2533.0037
NSW,2022,Losses,Distribution losses,Step change,2550.835
NSW,2022,Losses,Transmission losses,Central,1494.4436
NSW,2022,Losses,Transmission losses,Fast change,1481.9525
NSW,2022,Losses,Transmission losses,High DER,1453.9554
NSW,2022,Losses,Transmission losses,Slow change,1484.4326
NSW,2022,Losses,Transmission losses,Step change,1498.0859
NSW,2022,Native,Native,Central,67391.48
NSW,2022,Native,Native,Fast change,66906.26
NSW,2022,Native,Native,High DER,65825.3
NSW,2022,Native,Native,Slow change,66874.89
NSW,2022,Native,Native,Step change,67680.55
NSW,2022,Operational,,Central,65230.664
NSW,2022,Operational,,Fast change,64685.203
NSW,2022,Operational,,High DER,63462.625
NSW,2022,Operational,,Slow change,64794.668
NSW,2022,Operational,,Step change,65388.523
NSW,2022,PriceImpact,,Central,300.34003
NSW,2022,PriceImpact,,Fast change,300.34003
NSW,2022,PriceImpact,,High DER,300.34003
NSW,2022,PriceImpact,,Slow change,643.6163
NSW,2022,PriceImpact,,Step change,129.09708
NSW,2022,Residential,Res grid demand,Central,18777.035
NSW,2022,Residential,Res grid demand,Fast change,18382.197
NSW,2022,Residential,Res grid demand,High DER,17971.045
NSW,2022,Residential,Res grid demand,Slow change,19016.28
NSW,2022,Residential,Res grid demand,Step change,18399.725
NSW,2022,Residential,Residential SNSG offset,Central,-640.74536
NSW,2022,Residential,Residential SNSG offset,Fast change,-649.77893
NSW,2022,Residential,Residential SNSG offset,High DER,-686.67676
NSW,2022,Residential,Residential SNSG offset,Slow change,-629.5033
NSW,2022,Residential,Residential SNSG offset,Step change,-663.9487
NSW,2022,RooftopPV,Business,Central,916.1186
NSW,2022,RooftopPV,Business,Fast change,1010.295
NSW,2022,RooftopPV,Business,High DER,1598.9679
NSW,2022,RooftopPV,Business,Slow change,846.893
NSW,2022,RooftopPV,Business,Step change,1139.3186
NSW,2022,RooftopPV,Residential,Central,2792.4177
NSW,2022,RooftopPV,Residential,Fast change,3285.8132
NSW,2022,RooftopPV,Residential,High DER,3799.7808
NSW,2022,RooftopPV,Residential,Slow change,2240.5576
NSW,2022,RooftopPV,Residential,Step change,3496.6035
NSW,2022,SmallNonScheduledGeneration,ONSG generation,Central,1706.1405
NSW,2022,SmallNonScheduledGeneration,ONSG generation,Fast change,1706.1405
NSW,2022,SmallNonScheduledGeneration,ONSG generation,High DER,1706.1405
NSW,2022,SmallNonScheduledGeneration,ONSG generation,Slow change,1637.5579
NSW,2022,SmallNonScheduledGeneration,ONSG generation,Step change,1776.928
NSW,2022,SmallNonScheduledGeneration,PVNSG generation,Central,454.66885
NSW,2022,SmallNonScheduledGeneration,PVNSG generation,Fast change,514.9145
NSW,2022,SmallNonScheduledGeneration,PVNSG generation,High DER,656.5342
NSW,2022,SmallNonScheduledGeneration,PVNSG generation,Slow change,442.6633
NSW,2022,SmallNonScheduledGeneration,PVNSG generation,Step change,515.0986
QLD,2022,AuxiliaryLoads,,Central,3523.8904
QLD,2022,AuxiliaryLoads,,Slow change,3610.8057
QLD,2022,AuxiliaryLoads,,Step change,3196.7107
QLD,2022,Business,Business SNSG offset,Central,-1763.0309
QLD,2022,Business,Business SNSG offset,Fast change,-1781.655
QLD,2022,Business,Business SNSG offset,High DER,-1788.4529
QLD,2022,Business,Business SNSG offset,Slow change,-1625.1274
QLD,2022,Business,Business SNSG offset,Step change,-1853.7711
QLD,2022,Business,CSG,Central,6512.174
QLD,2022,Business,CSG,Fast change,6512.174
QLD,2022,Business,CSG,High DER,6512.174
QLD,2022,Business,CSG,Slow change,5697.89
QLD,2022,Business,CSG,Step change,6910.8887
QLD,2022,Business,Large industrial loads,Central,13061.905
QLD,2022,Business,Large industrial loads,Fast change,13061.905
QLD,2022,Business,Large industrial loads,High DER,13061.905
QLD,2022,Business,Large industrial loads,Slow change,12854.652
QLD,2022,Business,Large industrial loads,Step change,13264.071
QLD,2022,Business,Small to medium enterprises,Central,20306.004
QLD,2022,Business,Small to medium enterprises,Fast change,20160.52
QLD,2022,Business,Small to medium enterprises,High DER,19424.879
QLD,2022,Business,Small to medium enterprises,Slow change,19334.355
QLD,2022,Business,Small to medium enterprises,Step change,20435.06
QLD,2022,ElectricVehicles,EV Load,Central,14.790101
QLD,2022,ElectricVehicles,EV Load,Fast change,38.295208
QLD,2022,ElectricVehicles,EV Load,High DER,38.295208
TAS,2022,Operational,,Central,10089.401
QLD,2022,ElectricVehicles,EV Load,Slow change,8.7225065
QLD,2022,ElectricVehicles,EV Load,Step change,68.546135
QLD,2022,EnergyEfficiency,Business,Central,829.47974
QLD,2022,EnergyEfficiency,Business,Fast change,829.47974
QLD,2022,EnergyEfficiency,Business,High DER,829.47974
QLD,2022,EnergyEfficiency,Business,Slow change,699.9214
QLD,2022,EnergyEfficiency,Business,Step change,1017.94464
QLD,2022,EnergyEfficiency,Residential,Central,404.80215
QLD,2022,EnergyEfficiency,Residential,Fast change,404.80215
QLD,2022,EnergyEfficiency,Residential,High DER,404.80215
QLD,2022,EnergyEfficiency,Residential,Slow change,379.7548
QLD,2022,EnergyEfficiency,Residential,Step change,447.4416
QLD,2022,Losses,Distribution losses,Central,1595.8948
QLD,2022,Losses,Distribution losses,Fast change,1565.1715
QLD,2022,Losses,Distribution losses,High DER,1567.101
QLD,2022,Losses,Distribution losses,Slow change,1571.503
QLD,2022,Losses,Distribution losses,Step change,1568.3135
QLD,2022,Losses,Transmission losses,Central,1304.403
QLD,2022,Losses,Transmission losses,Fast change,1287.4739
QLD,2022,Losses,Transmission losses,High DER,1287.9594
QLD,2022,Losses,Transmission losses,Slow change,1268.7073
QLD,2022,Losses,Transmission losses,Step change,1304.1023
QLD,2022,Native,Native,Central,52877.555
QLD,2022,Native,Native,Fast change,52221.395
QLD,2022,Native,Native,High DER,52305.69
QLD,2022,Native,Native,Slow change,51359.273
QLD,2022,Native,Native,Step change,52939.754
QLD,2022,Operational,,Central,50581.81
QLD,2022,Operational,,Fast change,49925.133
QLD,2022,Operational,,High DER,49943.965
QLD,2022,Operational,,Slow change,49197.8
QLD,2022,Operational,,Step change,50569.51
QLD,2022,PriceImpact,,Central,186.72318
QLD,2022,PriceImpact,,Fast change,186.72318
QLD,2022,PriceImpact,,High DER,186.72318
QLD,2022,PriceImpact,,Slow change,275.51257
QLD,2022,PriceImpact,,Step change,79.99245
QLD,2022,Residential,Res grid demand,Central,10082.383
QLD,2022,Residential,Res grid demand,Fast change,9595.855
QLD,2022,Residential,Res grid demand,High DER,10413.379
QLD,2022,Residential,Res grid demand,Slow change,10623.444
QLD,2022,Residential,Res grid demand,Step change,9388.7705
QLD,2022,Residential,Residential SNSG offset,Central,-532.714
QLD,2022,Residential,Residential SNSG offset,Fast change,-514.60736
QLD,2022,Residential,Residential SNSG offset,High DER,-573.2743
QLD,2022,Residential,Residential SNSG offset,Slow change,-536.3462
QLD,2022,Residential,Residential SNSG offset,Step change,-516.4712
QLD,2022,RooftopPV,Business,Central,805.90955
QLD,2022,RooftopPV,Business,Fast change,951.3939
QLD,2022,RooftopPV,Business,High DER,1687.0356
QLD,2022,RooftopPV,Business,Slow change,686.64044
QLD,2022,RooftopPV,Business,Step change,1074.3771
QLD,2022,RooftopPV,Residential,Central,4442.413
QLD,2022,RooftopPV,Residential,Fast change,5050.8135
QLD,2022,RooftopPV,Residential,High DER,4028.8005
QLD,2022,RooftopPV,Residential,Slow change,3590.0972
QLD,2022,RooftopPV,Residential,Step change,5468.738
QLD,2022,SmallNonScheduledGeneration,ONSG generation,Central,1813.5051
QLD,2022,SmallNonScheduledGeneration,ONSG generation,Fast change,1813.5051
QLD,2022,SmallNonScheduledGeneration,ONSG generation,High DER,1813.5051
QLD,2022,SmallNonScheduledGeneration,ONSG generation,Slow change,1742.0458
QLD,2022,SmallNonScheduledGeneration,ONSG generation,Step change,1887.1406
QLD,2022,SmallNonScheduledGeneration,PVNSG generation,Central,482.2398
QLD,2022,SmallNonScheduledGeneration,PVNSG generation,Fast change,482.7573
QLD,2022,SmallNonScheduledGeneration,PVNSG generation,High DER,548.22217
QLD,2022,SmallNonScheduledGeneration,PVNSG generation,Slow change,419.42795
QLD,2022,SmallNonScheduledGeneration,PVNSG generation,Step change,483.10162
SA,2022,AuxiliaryLoads,,Central,285.97345
SA,2022,AuxiliaryLoads,,Slow change,348.64774
SA,2022,AuxiliaryLoads,,Step change,287.2512
SA,2022,Business,Business SNSG offset,Central,-162.72661
SA,2022,Business,Business SNSG offset,Fast change,-200.48267
SA,2022,Business,Business SNSG offset,High DER,-196.5451
SA,2022,Business,Business SNSG offset,Slow change,-129.43149
SA,2022,Business,Business SNSG offset,Step change,-205.39069
SA,2022,Business,Large industrial loads,Central,3101.1401
SA,2022,Business,Large industrial loads,Fast change,3101.1401
SA,2022,Business,Large industrial loads,High DER,3101.1401
SA,2022,Business,Large industrial loads,Slow change,3051.73
SA,2022,Business,Large industrial loads,Step change,3116.1846
SA,2022,Business,Small to medium enterprises,Central,5718.737
SA,2022,Business,Small to medium enterprises,Fast change,5664.657
SA,2022,Business,Small to medium enterprises,High DER,5497.822
SA,2022,Business,Small to medium enterprises,Slow change,5671.4854
SA,2022,Business,Small to medium enterprises,Step change,5659.037
SA,2022,ElectricVehicles,EV Load,Central,5.0241246
SA,2022,ElectricVehicles,EV Load,Fast change,11.784033
SA,2022,ElectricVehicles,EV Load,High DER,11.784033
SA,2022,ElectricVehicles,EV Load,Slow change,3.0323532
SA,2022,ElectricVehicles,EV Load,Step change,19.381573
SA,2022,EnergyEfficiency,Business,Central,155.67975
SA,2022,EnergyEfficiency,Business,Fast change,155.67975
SA,2022,EnergyEfficiency,Business,High DER,155.67975
SA,2022,EnergyEfficiency,Business,Slow change,129.95807
SA,2022,EnergyEfficiency,Business,Step change,205.03358
SA,2022,EnergyEfficiency,Residential,Central,174.4314
SA,2022,EnergyEfficiency,Residential,Fast change,174.4314
SA,2022,EnergyEfficiency,Residential,High DER,174.4314
SA,2022,EnergyEfficiency,Residential,Slow change,166.57574
SA,2022,EnergyEfficiency,Residential,Step change,189.59525
SA,2022,Losses,Distribution losses,Central,651.59717
SA,2022,Losses,Distribution losses,Fast change,633.247
SA,2022,Losses,Distribution losses,High DER,601.56885
SA,2022,Losses,Distribution losses,Slow change,656.85156
SA,2022,Losses,Distribution losses,Step change,624.45
SA,2022,Losses,Transmission losses,Central,331.2125
SA,2022,Losses,Transmission losses,Fast change,323.28574
SA,2022,Losses,Transmission losses,High DER,310.42596
SA,2022,Losses,Transmission losses,Slow change,333.43723
SA,2022,Losses,Transmission losses,Step change,319.92593
SA,2022,Native,Native,Central,12869.559
SA,2022,Native,Native,Fast change,12613.933
SA,2022,Native,Native,High DER,12112.15
SA,2022,Native,Native,Slow change,12912.159
SA,2022,Native,Native,Step change,12489.019
SA,2022,Operational,,Central,12650.341
SA,2022,Operational,,Fast change,12347.586
SA,2022,Operational,,High DER,11856.42
SA,2022,Operational,,Slow change,12735.3125
SA,2022,Operational,,Step change,12219.262
SA,2022,PriceImpact,,Central,94.04075
SA,2022,PriceImpact,,Fast change,94.04075
SA,2022,PriceImpact,,High DER,94.04075
SA,2022,PriceImpact,,Slow change,168.85011
SA,2022,PriceImpact,,Step change,41.313576
SA,2022,Residential,Res grid demand,Central,3061.8477
SA,2022,Residential,Res grid demand,Fast change,2879.8193
SA,2022,Residential,Res grid demand,High DER,2589.41
SA,2022,Residential,Res grid demand,Slow change,3195.6228
SA,2022,Residential,Res grid demand,Step change,2750.0403
SA,2022,Residential,Residential SNSG offset,Central,-56.491047
SA,2022,Residential,Residential SNSG offset,Fast change,-65.86439
SA,2022,Residential,Residential SNSG offset,High DER,-59.185726
SA,2022,Residential,Residential SNSG offset,Slow change,-47.415344
SA,2022,Residential,Residential SNSG offset,Step change,-64.36677
SA,2022,RooftopPV,Business,Central,407.36224
SA,2022,RooftopPV,Business,Fast change,461.44196
SA,2022,RooftopPV,Business,High DER,628.27716
SA,2022,RooftopPV,Business,Slow change,361.47934
SA,2022,RooftopPV,Business,Step change,521.6886
SA,2022,RooftopPV,Residential,Central,1407.0388
SA,2022,RooftopPV,Residential,Fast change,1634.4746
SA,2022,RooftopPV,Residential,High DER,1997.667
SA,2022,RooftopPV,Residential,Slow change,1191.3856
SA,2022,RooftopPV,Residential,Step change,1835.6597
SA,2022,SmallNonScheduledGeneration,ONSG generation,Central,82.67075
SA,2022,SmallNonScheduledGeneration,ONSG generation,Fast change,82.67075
SA,2022,SmallNonScheduledGeneration,ONSG generation,High DER,82.67075
SA,2022,SmallNonScheduledGeneration,ONSG generation,Slow change,79.41319
SA,2022,SmallNonScheduledGeneration,ONSG generation,Step change,86.02751
SA,2022,SmallNonScheduledGeneration,PVNSG generation,Central,136.5469
SA,2022,SmallNonScheduledGeneration,PVNSG generation,Fast change,183.6763
SA,2022,SmallNonScheduledGeneration,PVNSG generation,High DER,173.06009
SA,2022,SmallNonScheduledGeneration,PVNSG generation,Slow change,97.43364
SA,2022,SmallNonScheduledGeneration,PVNSG generation,Step change,183.72993
TAS,2022,AuxiliaryLoads,,Central,116.67624
TAS,2022,AuxiliaryLoads,,Slow change,113.29479
TAS,2022,AuxiliaryLoads,,Step change,115.48471
TAS,2022,Business,Business SNSG offset,Central,-374.99628
TAS,2022,Business,Business SNSG offset,Fast change,-375.924
TAS,2022,Business,Business SNSG offset,High DER,-378.99503
TAS,2022,Business,Business SNSG offset,Slow change,-354.34244
TAS,2022,Business,Business SNSG offset,Step change,-389.64374
TAS,2022,Business,Large industrial loads,Central,6681.613
TAS,2022,Business,Large industrial loads,Fast change,6681.613
TAS,2022,Business,Large industrial loads,High DER,6681.613
TAS,2022,Business,Large industrial loads,Slow change,5999.1123
TAS,2022,Business,Large industrial loads,Step change,6530.2104
TAS,2022,Business,Small to medium enterprises,Central,1608.4333
TAS,2022,Business,Small to medium enterprises,Fast change,1605.6602
TAS,2022,Business,Small to medium enterprises,High DER,1590.867
TAS,2022,Business,Small to medium enterprises,Slow change,1569.656
TAS,2022,Business,Small to medium enterprises,Step change,1627.0446
TAS,2022,ElectricVehicles,EV Load,Central,0.8416008
TAS,2022,ElectricVehicles,EV Load,Fast change,3.291844
TAS,2022,ElectricVehicles,EV Load,High DER,3.291844
TAS,2022,ElectricVehicles,EV Load,Slow change,0.54897016
TAS,2022,ElectricVehicles,EV Load,Step change,4.4311285
TAS,2022,EnergyEfficiency,Business,Central,66.77206
TAS,2022,EnergyEfficiency,Business,Fast change,66.77206
TAS,2022,EnergyEfficiency,Business,High DER,66.77206
TAS,2022,EnergyEfficiency,Business,Slow change,57.80329
TAS,2022,EnergyEfficiency,Business,Step change,84.87294
TAS,2022,EnergyEfficiency,Residential,Central,96.1823
TAS,2022,EnergyEfficiency,Residential,Fast change,96.1823
TAS,2022,EnergyEfficiency,Residential,High DER,96.1823
TAS,2022,EnergyEfficiency,Residential,Slow change,92.94326
TAS,2022,EnergyEfficiency,Residential,Step change,99.060745
TAS,2022,Losses,Distribution losses,Central,222.33105
TAS,2022,Losses,Distribution losses,Fast change,220.91946
TAS,2022,Losses,Distribution losses,High DER,220.91313
TAS,2022,Losses,Distribution losses,Slow change,220.55164
TAS,2022,Losses,Distribution losses,Step change,221.78809
TAS,2022,Losses,Transmission losses,Central,248.29794
TAS,2022,Losses,Transmission losses,Fast change,247.63565
TAS,2022,Losses,Transmission losses,High DER,247.59381
TAS,2022,Losses,Transmission losses,Slow change,230.73756
TAS,2022,Losses,Transmission losses,Step change,244.19666
TAS,2022,Native,Native,Central,10545.076
TAS,2022,Native,Native,Fast change,10517.849
TAS,2022,Native,Native,High DER,10520.81
TAS,2022,Operational,,Fast change,10062.146
TAS,2022,Operational,,Slow change,9371.82
TAS,2022,Operational,,Step change,9915.401
TAS,2022,PriceImpact,,Central,27.5847
TAS,2022,PriceImpact,,Fast change,27.584698
TAS,2022,PriceImpact,,High DER,27.5847
TAS,2022,PriceImpact,,Slow change,47.580204
TAS,2022,PriceImpact,,Step change,12.075745
TAS,2022,Residential,Res grid demand,Central,1783.5592
TAS,2022,Residential,Res grid demand,Fast change,1758.7289
TAS,2022,Residential,Res grid demand,High DER,1776.5304
TAS,2022,Residential,Res grid demand,Slow change,1789.326
TAS,2022,Residential,Res grid demand,Step change,1761.5161
TAS,2022,Residential,Residential SNSG offset,Central,-80.67845
TAS,2022,Residential,Residential SNSG offset,Fast change,-79.77877
TAS,2022,Residential,Residential SNSG offset,High DER,-81.389885
TAS,2022,Residential,Residential SNSG offset,Slow change,-83.7698
TAS,2022,Residential,Residential SNSG offset,Step change,-84.14151
TAS,2022,RooftopPV,Business,Central,31.773634
TAS,2022,RooftopPV,Business,Fast change,34.54685
TAS,2022,RooftopPV,Business,High DER,49.339996
TAS,2022,RooftopPV,Business,Slow change,31.901892
TAS,2022,RooftopPV,Business,Step change,38.60997
TAS,2022,RooftopPV,Residential,Central,189.43076
TAS,2022,RooftopPV,Residential,Fast change,220.42937
TAS,2022,RooftopPV,Residential,High DER,198.28969
TAS,2022,RooftopPV,Residential,Slow change,163.09776
TAS,2022,RooftopPV,Residential,Step change,237.19421
TAS,2022,SmallNonScheduledGeneration,ONSG generation,Central,444.9915
TAS,2022,SmallNonScheduledGeneration,ONSG generation,Fast change,444.9915
TAS,2022,SmallNonScheduledGeneration,ONSG generation,High DER,444.9915
TAS,2022,SmallNonScheduledGeneration,ONSG generation,Slow change,427.45703
TAS,2022,SmallNonScheduledGeneration,ONSG generation,Step change,463.0599
TAS,2022,SmallNonScheduledGeneration,PVNSG generation,Central,10.68325
TAS,2022,SmallNonScheduledGeneration,PVNSG generation,Fast change,10.711301
TAS,2022,SmallNonScheduledGeneration,PVNSG generation,High DER,15.393429
TAS,2022,SmallNonScheduledGeneration,PVNSG generation,Slow change,10.655199
TAS,2022,SmallNonScheduledGeneration,PVNSG generation,Step change,10.7253275
VIC,2022,AuxiliaryLoads,,Central,2811.4023
VIC,2022,AuxiliaryLoads,,Slow change,2447.26
VIC,2022,AuxiliaryLoads,,Step change,2456.2883
VIC,2022,Business,Business SNSG offset,Central,-966.75604
VIC,2022,Business,Large industrial loads,Central,6374.305
VIC,2022,Business,Small to medium enterprises,Central,22223.236
VIC,2022,Business,Business SNSG offset,Fast change,-991.31274
VIC,2022,Business,Large industrial loads,Fast change,6374.305
VIC,2022,Business,Small to medium enterprises,Fast change,22150.15
VIC,2022,Business,Business SNSG offset,High DER,-987.7218
VIC,2022,Business,Large industrial loads,High DER,6374.305
VIC,2022,Business,Small to medium enterprises,High DER,22003.016
VIC,2022,Business,Business SNSG offset,Slow change,-869.5449
VIC,2022,Business,Large industrial loads,Slow change,1971.3694
VIC,2022,Business,Small to medium enterprises,Slow change,21801.234
VIC,2022,Business,Business SNSG offset,Step change,-1030.2102
VIC,2022,Business,Large industrial loads,Step change,6399.932
VIC,2022,Business,Small to medium enterprises,Step change,22711.14
VIC,2022,ElectricVehicles,EV Load,Central,22.983423
VIC,2022,ElectricVehicles,EV Load,Fast change,53.524193
VIC,2022,ElectricVehicles,EV Load,High DER,53.524193
VIC,2022,ElectricVehicles,EV Load,Slow change,13.136001
VIC,2022,ElectricVehicles,EV Load,Step change,100.17878
VIC,2022,EnergyEfficiency,Business,Central,1466.3849
VIC,2022,EnergyEfficiency,Residential,Central,638.5573
VIC,2022,EnergyEfficiency,Business,Fast change,1466.3849
VIC,2022,EnergyEfficiency,Residential,Fast change,638.5573
VIC,2022,EnergyEfficiency,Business,High DER,1466.3849
VIC,2022,EnergyEfficiency,Residential,High DER,638.5573
VIC,2022,EnergyEfficiency,Business,Slow change,1260.4486
VIC,2022,EnergyEfficiency,Residential,Slow change,623.06335
VIC,2022,EnergyEfficiency,Business,Step change,1563.0094
VIC,2022,EnergyEfficiency,Residential,Step change,681.5405
VIC,2022,Losses,Distribution losses,Central,1776.8524
VIC,2022,Losses,Transmission losses,Central,1072.7805
VIC,2022,Losses,Distribution losses,Fast change,1753.3859
VIC,2022,Losses,Transmission losses,Fast change,1060.274
VIC,2022,Losses,Distribution losses,High DER,1763.6464
VIC,2022,Losses,Transmission losses,High DER,1065.5775
VIC,2022,Losses,Distribution losses,Slow change,1765.8323
VIC,2022,Losses,Transmission losses,Slow change,949.4052
VIC,2022,Losses,Distribution losses,Step change,1783.5096
VIC,2022,Losses,Transmission losses,Step change,1076.3566
VIC,2022,Native,Native,Central,42324.56
VIC,2022,Native,Native,Fast change,41868.305
VIC,2022,Native,Native,High DER,42079.906
VIC,2022,Native,Native,Slow change,37549.742
VIC,2022,Native,Native,Step change,42527.438
VIC,2022,Operational,,Central,40990.863
VIC,2022,Operational,,Fast change,40512.895
VIC,2022,Operational,,High DER,40715.582
VIC,2022,Operational,,Slow change,36276.062
VIC,2022,Operational,,Step change,41127.188
VIC,2022,PriceImpact,,Central,508.24927
VIC,2022,PriceImpact,,Fast change,508.24924
VIC,2022,PriceImpact,,High DER,508.24927
VIC,2022,PriceImpact,,Slow change,839.3662
VIC,2022,PriceImpact,,Step change,239.2429
VIC,2022,Residential,Res grid demand,Central,10854.403
VIC,2022,Residential,Residential SNSG offset,Central,-366.93924
VIC,2022,Residential,Res grid demand,Fast change,10476.664
VIC,2022,Residential,Residential SNSG offset,Fast change,-364.0964
VIC,2022,Residential,Res grid demand,High DER,10819.837
VIC,2022,Residential,Residential SNSG offset,High DER,-376.60318
VIC,2022,Residential,Res grid demand,Slow change,11048.767
VIC,2022,Residential,Residential SNSG offset,Slow change,-404.13745
VIC,2022,Residential,Res grid demand,Step change,10456.318
VIC,2022,Residential,Residential SNSG offset,Step change,-370.03812
VIC,2022,RooftopPV,Business,Central,654.0126
VIC,2022,RooftopPV,Residential,Central,2487.9773
VIC,2022,RooftopPV,Business,Fast change,727.0979
VIC,2022,RooftopPV,Residential,Fast change,2959.9487
VIC,2022,RooftopPV,Business,High DER,874.2328
VIC,2022,RooftopPV,Residential,High DER,2531.3413
VIC,2022,RooftopPV,Business,Slow change,578.51807
VIC,2022,RooftopPV,Residential,Slow change,2056.356
VIC,2022,RooftopPV,Business,Step change,813.12164
VIC,2022,RooftopPV,Residential,Step change,3143.2842
VIC,2022,SmallNonScheduledGeneration,ONSG generation,Central,1098.9469
VIC,2022,SmallNonScheduledGeneration,PVNSG generation,Central,234.74841
VIC,2022,SmallNonScheduledGeneration,ONSG generation,Fast change,1098.9469
VIC,2022,SmallNonScheduledGeneration,PVNSG generation,Fast change,256.46228
VIC,2022,SmallNonScheduledGeneration,ONSG generation,High DER,1098.9469
VIC,2022,SmallNonScheduledGeneration,PVNSG generation,High DER,265.37808
VIC,2022,SmallNonScheduledGeneration,ONSG generation,Slow change,1055.644
VIC,2022,SmallNonScheduledGeneration,PVNSG generation,Slow change,218.03836
VIC,2022,SmallNonScheduledGeneration,ONSG generation,Step change,1143.5685
VIC,2022,SmallNonScheduledGeneration,PVNSG generation,Step change,256.6798
NEM,2023,AuxiliaryLoads,,Central,9518.548
NEM,2023,AuxiliaryLoads,,Slow change,9293.432
NEM,2023,AuxiliaryLoads,,Step change,8461.216
NEM,2023,Business,Business SNSG offset,Central,-4869.146
NEM,2023,Business,Business SNSG offset,Fast change,-5124.2563
NEM,2023,Business,Business SNSG offset,High DER,-5073.246
NEM,2023,Business,Business SNSG offset,Slow change,-4319.448
NEM,2023,Business,Business SNSG offset,Step change,-5359.5376
NEM,2023,Business,CSG,Central,6562.0195
NEM,2023,Business,CSG,Fast change,6562.0195
NEM,2023,Business,CSG,High DER,6562.0195
NEM,2023,Business,CSG,Slow change,5784.2456
NEM,2023,Business,CSG,Step change,6929.413
NEM,2023,Business,Large industrial loads,Central,43461.355
NEM,2023,Business,Large industrial loads,Fast change,43461.355
NEM,2023,Business,Large industrial loads,High DER,43461.355
NEM,2023,Business,Large industrial loads,Slow change,37498.918
NEM,2023,Business,Large industrial loads,Step change,43573.65
NEM,2023,Business,Small to medium enterprises,Central,79474.38
NEM,2023,Business,Small to medium enterprises,Fast change,78832.33
NEM,2023,Business,Small to medium enterprises,High DER,76967.42
NEM,2023,Business,Small to medium enterprises,Slow change,77308.77
NEM,2023,Business,Small to medium enterprises,Step change,80246.48
NEM,2023,ElectricVehicles,EV Load,Central,119.30072
NEM,2023,ElectricVehicles,EV Load,Fast change,300.34357
NEM,2023,ElectricVehicles,EV Load,High DER,300.34357
NEM,2023,ElectricVehicles,EV Load,Slow change,53.86087
NEM,2023,ElectricVehicles,EV Load,Step change,573.6757
NEM,2023,EnergyEfficiency,Business,Central,6230.6304
NEM,2023,EnergyEfficiency,Business,Fast change,6230.6304
NEM,2023,EnergyEfficiency,Business,High DER,6230.6304
NEM,2023,EnergyEfficiency,Business,Slow change,5581.889
NEM,2023,EnergyEfficiency,Business,Step change,7078.6875
NEM,2023,EnergyEfficiency,Residential,Central,2841.2366
NEM,2023,EnergyEfficiency,Residential,Fast change,2841.2366
NEM,2023,EnergyEfficiency,Residential,High DER,2841.2366
NEM,2023,EnergyEfficiency,Residential,Slow change,2699.613
NEM,2023,EnergyEfficiency,Residential,Step change,3099.436
NEM,2023,Losses,Distribution losses,Central,6758.976
NEM,2023,Losses,Distribution losses,Fast change,6607.227
NEM,2023,Losses,Distribution losses,High DER,6538.053
NEM,2023,Losses,Distribution losses,Slow change,6718.7
