id,casestudy_area,casestudy_area_code,date,organisation_tariff_name,First_20_units(d/unit),After_20_units(d/unit),Light_(flat_d/unit),Power_(flat)_(d/unit),Light_max_demand_(d/unit),Power_max_demand_(d/unit),LightFirst1000Units_(d/unit),LightSecond1000Units_per_month_(d/unit),LightThird1000Units_per_month_(d/unit),LigthOver3000Units_per_month_(d/unit),PowerAndHeat_(d/unit),PowerAndHeat75hoursPeak_(d/unit),PoweAndHeatOver75peak_(d/unit),Charge_per_room_per_month,"Residential_3_rooms_or_less_""GB""/""GD""/""GR""_First_X_units_per_qu","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Next_X_units_per_qua","Residential_3_rooms_or_less_""GB""/""GD""/""GR""_Balance_units_per_qu",First_1200_kwhquarter_Tariff_J_(c/kWh),Balance_kWh_per_quarter_Tariff_J_(c/kWh),"I_J_/""GD""/""GR""_Minimum_charge__($/per_quarter)_1982",YandJ_Water_and_space_heating_1984,Energy_charge_per_unit_(d_or_c_/_kwh),Standing_charge_($/year),TUoS Block_1_(c/kWh),TUoS Block_2_(c/kWh),TUoS Summer_peak_(c/kWh),TUoS Summer_shoulder_(c/kWh) ,TUoS Winter_peak_(c/kWh),TUoS Average_(c/kWh),Network_charges Block_1/peak_(c/kWh),Extras_(summer_export),Premium_FiT,average_dckwh
1,Metro,M,1895-01-01,PRE1896ACT,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2,Metro,M,1896-01-01,PRE1896ACT,13.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
3,Metro,M,1897-01-01,A.U. Alcock Electric Light and Motive Power Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
4,Metro,M,1897-01-01,New Australian Electric Co. Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
5,Melbourne,M,1897-01-01,Corporation of the City of Melbourne,7.8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
6,Ballarat,NM,1897-01-01,Ballarat Electric Supply Co. Limited,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
7,Melbourne,M,1897-01-01,"Thos. T. Draper and Co., Melbourne",9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
8,Bendigo,NM,1897-01-01,Bendigo Electric Co.,2.4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
9,Metro,M,1898-01-01,A.U. Alcock Electric Light and Motive Power Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
10,Metro,M,1898-01-01,New Australian Electric Co. Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
11,Melbourne,M,1898-01-01,Corporation of the City of Melbourne,7.8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
12,Ballarat,NM,1898-01-01,Ballarat Electric Supply Co. Limited,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
13,Melbourne,M,1898-01-01,"Thos. T. Draper and Co., Melbourne",9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
14,Bendigo,NM,1898-01-01,Bendigo Electric Co.,2.4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
15,Nhill,NM,1898-01-01,PERLAMPNHILL,4.734246575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.734246575
16,Metro,M,1899-01-01,A.U. Alcock Electric Light and Motive Power Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
17,Metro,M,1899-01-01,New Australian Electric Co. Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
18,Melbourne,M,1899-01-01,Corporation of the City of Melbourne,7.8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
19,Ballarat,NM,1899-01-01,British Insulated Wire Co. Ltd. (Victoria),9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
20,Melbourne,M,1899-01-01,"Thos. T. Draper and Co., Melbourne",9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
21,Bendigo,NM,1899-01-01,Bendigo Electric Co.,2.4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
22,Nhill,NM,1899-01-01,"James Colin Lockley, Nhill area",4.734246575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.734246575
23,Metro,M,1900-01-01,A.U. Alcock Electric Light and Motive Power Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
24,Metro,M,1900-01-01,New Australian Electric Co. Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
25,Melbourne,M,1900-01-01,Corporation of the City of Melbourne,7.8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
26,Ballarat,NM,1900-01-01,Electric Supply Company of Victoria Limited,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
27,Melbourne,M,1900-01-01,TDRAPPER,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
28,Bendigo,NM,1900-01-01,Electric Supply Company of Victoria Limited,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
29,Nhill,NM,1900-01-01,PERLAMPNHILL,4.734246575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.734246575
30,Metro,M,1901-01-01,AUALCOCK,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
31,Metro,M,1901-01-01,New Australian Electric Co. Ltd.,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
32,Melbourne,M,1901-01-01,Corporation of the City of Melbourne,7.8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
33,Ballarat,NM,1901-01-01,Electric Supply Company of Victoria Limited,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
34,Melbourne,M,1901-01-01,TDRAPPER,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
35,Bendigo,NM,1901-01-01,Electric Supply Company of Victoria Limited,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
36,Nhill,NM,1901-01-01,PERLAMPNHILL,4.734246575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.734246575
37,Nhill,NM,1901-01-01,NHILLEXTENDEDAREA,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
38,Metro,M,1901-01-01,Electric Lighting and Traction Company of Australia Limited,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
39,All,All,1902-01-01,NODATAAVERAGE,7.963161792,9.075757576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.519459684
40,All,All,1903-01-01,NODATAAVERAGE,7.963161792,9.075757576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.519459684
41,All,All,1904-01-01,NODATAAVERAGE,7.963161792,9.075757576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.519459684
42,All,All,1905-01-01,NODATAAVERAGE,7.963161792,9.075757576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.519459684
43,Melbourne,M,1906-01-01,Corporation of the City of Melbourne,,,4.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
44,Metro,M,1906-01-01,Electric Lighting and Traction Company of Australia Limited,,,6,2,6,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4.25
45,Ballarat,NM,1906-01-01,Electric Supply Company of Victoria Limited,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
46,Geelong,NM,1906-01-01,Electric Lighting and Traction Company of Australia Limited,,,7,2.5,9,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5.375
47,Melbourne,M,1907-01-01,Corporation of the City of Melbourne,,,4.5,2,7,2.5,,2,,,0.75,,,,,,,,,,,,,,,,,,,,,,3.125
48,Metro,M,1907-01-01,Electric Lighting and Traction Company of Australia Limited,,,5.5,2,7,2.75,,3,,,0.75,,,,,,,,,,,,,,,,,,,,,,3.5
49,Ballarat,NM,1907-01-01,Electric Supply Company of Victoria Limited,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
50,Bendigo,NM,1907-01-01,Electric Supply Company of Victoria Limited,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
51,Geelong,NM,1907-01-01,Electric Lighting and Traction Company of Australia Limited,,,7,2.5,9,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,4.5
52,North Melbourne,M,1907-01-01,1907NMELBELECTRAM,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
53,Melbourne,M,1908-01-01,Corporation of the City of Melbourne,,,4.5,2,7,2.5,,2,,,0.75,,,,,,,,,,,,,,,,,,,,,,3.125
54,Metro,M,1908-01-01,Electric Lighting and Traction Company of Australia Limited,,,5.5,2,7,2.75,,3,,,0.75,,,,,,,,,,,,,,,,,,,,,,3.5
55,Ballarat,NM,1908-01-01,Electric Supply Company of Victoria Limited,,,6,3,,2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,3.125
56,Bendigo,NM,1908-01-01,Electric Supply Company of Victoria Limited,,,6,4.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.333333333
57,Geelong,NM,1908-01-01,Electric Lighting and Traction Company of Australia Limited,,,7,2.5,9,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,4.5
58,North Melbourne,M,1908-01-01,1908NMELBELECTRAM,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
59,Hamilton,NM,1908-01-01,1908HAMILTON,,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
60,Kerang,NM,1908-01-01,1908KERANG,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
61,Melbourne,M,1909-01-01,Corporation of the City of Melbourne,,,4.5,2,7,2.5,,2,,,0.75,,,,,,,,,,,,,,,,,,,,,,3.125
62,Metro,M,1909-01-01,Melbourne Electric Supply Co. Ltd.,,,5.5,2,7,1,,3,,,2.75,0.75,,,,,,,,,,,,,,,,,,,,,3.142857143
63,Ballarat,NM,1909-01-01,Electric Supply Company of Victoria Limited,,,5,3,8,3,,3,,,1.5,,,,,,,,,,,,,,,,,,,,,,3.916666667
64,Bendigo,NM,1909-01-01,1909FLATPEAKBEND,,,6,4,8,4,,3,,,2.5,,,,,,,,,,,,,,,,,,,,,,4.583333333
65,Geelong,NM,1909-01-01,Melbourne Electric Supply Co. Ltd.,,,7,2.5,9,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,4.25
66,North Melbourne,M,1909-01-01,1909NMELBELECTRAM,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
67,Hamilton,NM,1909-01-01,1909HAMILTON,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
68,Kerang,NM,1909-01-01,1909KERANG,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
69,Donald,NM,1909-01-01,1909DONALD,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
70,Sunbury,NM,1909-01-01,1909SUNBURY,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
71,Camperdown,NM,1909-01-01,1909CAMPERDOWN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
72,Kilmore,NM,1909-01-01,1909KILMORE,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
73,Leongatha,NM,1909-01-01,1909LEON,,,7.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
74,Mildura,NM,1909-01-01,1909MILDURA,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
75,Melbourne,M,1910-01-01,Corporation of the City of Melbourne,,,4.5,2,7,2.5,,2,,,0.75,,,,,,,,,,,,,,,,,,,,,,3.125
76,Metro,M,1910-01-01,Melbourne Electric Supply Co. Ltd.,,,5.5,2,7,1,,3,,,2.75,0.75,,,,,,,,,,,,,,,,,,,,,3.142857143
77,Ballarat,NM,1910-01-01,Electric Supply Company of Victoria Limited,,,5,3,8,3,,3,,,1.5,,,,,,,,,,,,,,,,,,,,,,3.916666667
78,Bendigo,NM,1910-01-01,Electric Supply Company of Victoria Limited,,,6,4,8,5,,4,,,4,5,2.5,,,,,,,,,,,,,,,,,,,,4.8125
79,Geelong,NM,1910-01-01,Melbourne Electric Supply Co. Ltd.,,,7,2.5,9,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,4.25
80,North Melbourne,M,1910-01-01,1910NMELBELECTRAM,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
81,Hamilton,NM,1910-01-01,1910HAMILTON,,,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
82,Kerang,NM,1910-01-01,1910KERANG,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
83,Donald,NM,1910-01-01,1910DONALD,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
84,Kilmore,NM,1910-01-01,1910KILMORE,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
85,Echuca,NM,1910-01-01,1910ECHUCA,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
86,Camperdown,NM,1910-01-01,1910CAMPERDOWN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
87,Terang,NM,1910-01-01,1910TERANG,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
88,Sunbury,NM,1910-01-01,1910SUNBURY,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
89,Mildura,NM,1910-01-01,1910MILDURA,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
90,Leongatha,NM,1910-01-01,1910LEON,,,7.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
91,Casterton,NM,1910-01-01,1910CASTERTON,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
92,Melbourne,M,1911-01-01,Corporation of the City of Melbourne,,,7,,2,,4.5,4,3.5,3,2,2.5,0.75,,,,,,,,,,,,,,,,,,,,3.25
93,Metro,M,1911-01-01,Melbourne Electric Supply Co. Ltd.,,,5.5,2,7,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,3.7
94,Hawthorn,M,1911-01-01,1911HAWTHORN,,,5.5,2,7,2.75,,3,,,0.75,,,,,,,,,,,,,,,,,,,,,,3.5
95,Ballarat,NM,1911-01-01,Electric Supply Company of Victoria Limited,,,5,3,8,3,,3,,,1.5,,,,,,,,,,,,,,,,,,,,,,3.916666667
96,Bendigo,NM,1911-01-01,Electric Supply Company of Victoria Limited,,,6,4,8,4.5,,4,,,1.5,,,,,,,,,,,,,,,,,,,,,,4.666666667
97,North Melbourne,M,1911-01-01,1911NMELBELECTRAM,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
98,Geelong,NM,1911-01-01,Melbourne Electric Supply Co. Ltd.,,,7,2.5,9,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,4.25
99,Hamilton,NM,1911-01-01,1911HAMILTON,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
100,Kerang,NM,1911-01-01,1911KERANG,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
101,Donald,NM,1911-01-01,1911DONALD,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
102,Kilmore,NM,1911-01-01,1911KILMORE,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
103,Rochester,NM,1911-01-01,1911ROCHESTER,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
104,Camperdown,NM,1911-01-01,1911CAMPERDOWN,,,8,4,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,5.5
105,Terang,NM,1911-01-01,1911TERANG,,,8,4,6,,,4,,,,,,12,,,,,,,,,,,,,,,,,,,5.5
106,Sunbury,NM,1911-01-01,1911SUNBURY,,,7,3,7.5,4,,,,,,,,12,,,,,,,,,,,,,,,,,,,5.375
107,Mildura,NM,1911-01-01,1911MILDURA,,,7,4,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,5.5
108,Leon,NM,1911-01-01,1911LEON,,,7.5,3.5,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,5.5
109,Casterton,NM,1911-01-01,1911CASTERTON,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
110,Poowong,NM,1911-01-01,1911POOWONG,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
111,Drouin,NM,1911-01-01,1911DROUIN,,,9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
112,Yarram,NM,1911-01-01,1911YARRAM,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
113,Charlton,NM,1911-01-01,1911CHARLTON,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
114,Melbourne,M,1912-01-01,Corporation of the City of Melbourne,,,6,1.75,1.5,2,,,3.5,3,0.75,,,,,,,,,,,,,,,,,,,,,,2.642857143
115,Metro,M,1912-01-01,Melbourne Electric Supply Co. Ltd.,,,5.5,2,7,1,,3,,,2.75,0.75,,,,,,,,,,,,,,,,,,,,,3.142857143
116,Ballarat,NM,1912-01-01,Electric Supply Company of Victoria Limited,,,5,3,8,3,,3,,,1.5,,,,,,,,,,,,,,,,,,,,,,3.916666667
117,Bendigo,NM,1912-01-01,Electric Supply Company of Victoria Limited,,,6,4,8,4.5,,4,,,1.5,,,,,,,,,,,,,,,,,,,,,,4.666666667
118,North Melbourne,M,1912-01-01,1912NMELBELECTRAM,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
119,Geelong,NM,1912-01-01,Melbourne Electric Supply Co. Ltd.,,,7,2.5,9,3,,3,,,1,,,,,,,,,,,,,,,,,,,,,,4.25
120,Inglewood,NM,1912-01-01,1912INGLEWOOD,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
121,Hamilton,NM,1912-01-01,1912HAMILTON,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
122,Kerang,NM,1912-01-01,1912KERANG,,,6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
123,Donald,NM,1912-01-01,1912DONALD,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
124,Kilmore,NM,1912-01-01,1912KILMORE,,,6,6,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,6
125,Rochester,NM,1912-01-01,1912ROCHESTER,,,6,6,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,6
126,Camperdown,NM,1912-01-01,1912CAMPERDOWN,,,8,4,6,,,4,,,,,,12,,,,,,,,,,,,,,,,,,,5.5
127,Terang,NM,1912-01-01,1912TERANG,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
128,Bulla,NM,1912-01-01,1912BULLA,,,7,3,7.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.375
129,Mildura,NM,1912-01-01,1912MILDURA,,,7,4,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,5.5
130,Leon,NM,1912-01-01,1912LEON,,,7.5,3.5,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,5.5
131,Casterton,NM,1912-01-01,1912CASTERTON,,,7,4,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,5.5
132,Poowong,NM,1912-01-01,1912POOWONG,,,8,4,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,6
133,Drouin,NM,1912-01-01,1912DROUIN,,,9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
134,Yarram,NM,1912-01-01,1912YARRAM,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
135,Tatura,NM,1912-01-01,1912TATURA,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
136,Charlton,NM,1912-01-01,1912CHARLTON,,,8,6,,2.5,,,,,,,,12,,,,,,,,,,,,,,,,,,,5.5
137,Footscray,M,1912-01-01,1912FOOTS,,,5,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,3.5
138,Yarrawonga,NM,1912-01-01,1912YARRAWONGA,,,8,6,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,7
139,Birchip,NM,1912-01-01,1912BIRCHIP,,,6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
140,Euroa,NM,1912-01-01,1912EUROA,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
141,Rainbow,NM,1912-01-01,1912RAINBOW,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
142,Melbourne,M,1913-01-01,Corporation of the City of Melbourne,,,6,1.75,1.5,2,,,3.5,3,0.75,,,12,,,,,,,,,,,,,,,,,,,2.642857143
143,Metro,M,1913-01-01,Melbourne Electric Supply Co. Ltd.,,,5.5,2,7,1,6,3,3,,2.75,0.75,,12,,,,,,,,,,,,,,,,,,,3.444444444
144,Ballarat,NM,1913-01-01,Electric Supply Company of Victoria Limited,,,6,,9,,,3,,,,,,12,,,,,,,,,,,,,,,,,,,6
145,Bendigo,NM,1913-01-01,Electric Supply Company of Victoria Limited,,,6.5,4,9,4,,4,,,,1.5,,,,,,,,,,,,,,,,,,,,,4.833333333
146,North Melbourne,M,1913-01-01,1913NMELBELECTRAM,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
147,Geelong,NM,1913-01-01,Melbourne Electric Supply Co. Ltd.,,,7,2.5,9,,,3,,,3,2,1,,,,,,,,,,,,,,,,,,,,3.928571429
148,Nhill,NM,1913-01-01,1913NHILL,,,10,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,10
149,Inglewood,NM,1913-01-01,1913INGLEWOOD,,,6,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,6
150,Hamilton,NM,1913-01-01,1913HAMILTON,,,9,6,8,4,,7,,,,,,12,,,,,,,,,,,,,,,,,,,6.8
151,Bairnsdale,NM,1913-01-01,1913BAIRNSDALE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
152,Baybrook,NM,1913-01-01,1913BAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
153,Birchip,NM,1913-01-01,1913BIRCHIP,,,7,2.5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,4.833333333
154,Bulla,NM,1913-01-01,1913BULLA,,,7,3,7.5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,5.375
155,Camperdown,NM,1913-01-01,1913CAMPERDOWN,,,8,4,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,5.5
156,Casterton,NM,1913-01-01,1913CASTERTON,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
157,Charlton,NM,1913-01-01,1913CHARLTON,,,8,6,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
158,Donald,NM,1913-01-01,1913DONALD,,,6,6,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
159,Drouin,NM,1913-01-01,1913DROUIN,,,9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
160,Eaglehawk,NM,1913-01-01,1913EAGLEHAWK,,,7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75
161,Euroa,NM,1913-01-01,1913EUROA,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
162,Footscray,M,1913-01-01,1913FOOTS,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
163,Kerang,NM,1913-01-01,1913KERANG,,,6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
164,Kilmore,NM,1913-01-01,1913KILMORE,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
165,Koroit,NM,1913-01-01,1913KOROIT,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
166,Poowong,NM,1913-01-01,1913POOWONG,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
167,Kyabram,NM,1913-01-01,1913KYABRAM,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
168,Leon,NM,1913-01-01,1913LEON,,,7.5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
169,Mildura,NM,1913-01-01,1913MILDURA,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
170,Mortlake,NM,1913-01-01,1913MORTLAKE,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
171,Goulburn,NM,1913-01-01,1913GOULBURN,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
172,Numurkah,NM,1913-01-01,1913NUMURKAH,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
173,Rainbow,NM,1913-01-01,1913RAINBOW,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
174,Rochester,NM,1913-01-01,1913ROCHESTER,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
175,Swanhill,NM,1913-01-01,1913SWANHILL,,,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
176,Tatura,NM,1913-01-01,1913TATURA,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
177,Terang,NM,1913-01-01,1913TERANG,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
178,Winchelsea,NM,1913-01-01,1913WINCHELSEA,,,2.630136986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.630136986
179,Wothanggi,NM,1913-01-01,1913WOTHANGGI,,,7,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
180,Wodonga,NM,1913-01-01,Wodonga,,,7,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.375
181,Woodend,NM,1913-01-01,1913WOODEND,,,9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.25
182,Yarram,NM,1913-01-01,1913YARRAM,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
183,Yarrawonga,NM,1913-01-01,1913YARRAWONGA,,,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
184,Melbourne,M,1914-01-01,Corporation of the City of Melbourne,,,6,1.75,1.5,2,,,3.5,3,1.5,,,,,,,,,,,,,,,,,,,,,,2.75
185,Metro,M,1914-01-01,Melbourne Electric Supply Co. Ltd.,,,5.5,2,7,1,6,3,3,,2.75,0.75,,,,,,,,,,,,,,,,,,,,,3.444444444
186,North Melbourne,M,1914-01-01,1914NMELBELECTRAM,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5
187,Ararat,NM,1914-01-01,1914ARARAT,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
188,Bairnsdale,NM,1914-01-01,1914BAIRNSDALE,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
189,Ballarat,NM,1914-01-01,Electric Supply Company of Victoria Limited,,,6,3,9,3,,3,,,2,,,,,,,,,,,,,,,,,,,,,,4.333333333
190,Bendigo,NM,1914-01-01,Electric Supply Company of Victoria Limited,,,6.5,4,9,4,,4,,,1.5,,,,,,,,,,,,,,,,,,,,,,4.833333333
191,Karkarooc,NM,1914-01-01,1914KARKAROOC,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
192,Braybrook,NM,1914-01-01,1914BRAYBROOK,,,7.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
