C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,NEMMCO,PUBLIC,2012/01/09,12:10:29,0000000234000629,,0000000234000625
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/28 00:00:00",NSW1,169433.303731,158621.88417588,0.9362
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/28 00:00:00",QLD1,158855.26402291,128263.73546748,0.8074
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/28 00:00:00",SA1,37443.48918099,23577.07120572,0.6297
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/28 00:00:00",TAS1,29144.6402915,4264.73651484,0.1463
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/28 00:00:00",VIC1,158837.65815998,195305.53842465,1.2296
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/29 00:00:00",NEM,573358.01647052,512601.60077688,0.894
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/29 00:00:00",NSW1,177469.996681,161756.44701903,0.9115
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/29 00:00:00",QLD1,161124.20898901,130536.57014288,0.8102
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/29 00:00:00",SA1,41404.58923699,23287.02912144,0.5624
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/29 00:00:00",TAS1,29858.32876951,4485.30156626,0.1502
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/29 00:00:00",VIC1,163500.89279401,192536.25292727,1.1776
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/30 00:00:00",NEM,548086.78953239,500472.84967593,0.9131
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/30 00:00:00",NSW1,177074.30554301,161341.31561725,0.9112
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/30 00:00:00",QLD1,158128.44025439,129478.57835223,0.8188
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/30 00:00:00",SA1,35078.18490799,13857.11706593,0.395
D,CO2EII,PUBLISHING,1,2011,49,"2011/11/30 00:00:00",TAS1,26803.767471,4189.42389839,0.1563
