C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR_2014_PT1,AEMO,PUBLIC,2015/01/05,12:00:47,0000000257828796,,0000000257828790
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/22 00:00:00",NEM,486008.12190999,433902.61683920,0.8928
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/22 00:00:00",NSW1,149405.128111,139615.94516687,0.9345
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/22 00:00:00",QLD1,133969.10296599,112207.49738114,0.8376
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/22 00:00:00",SA1,26505.064922,12657.31512974,0.4775
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/22 00:00:00",TAS1,40934.563895,2070.96852345,0.0506
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/22 00:00:00",VIC1,135194.262016,167350.890638,1.2379
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/23 00:00:00",NEM,488028.89635077,445656.78779677,0.9132
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/23 00:00:00",NSW1,152035.306689,142252.79933749,0.9357
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/23 00:00:00",QLD1,133145.09461698,111172.12228977,0.8350
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/23 00:00:00",SA1,23152.30569580,14031.89115256,0.6061
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/23 00:00:00",TAS1,41415.027408,1984.24829063,0.0479
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/23 00:00:00",VIC1,138281.16194099,176215.72672632,1.2743
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/24 00:00:00",NEM,490515.11181258,433860.46931716,0.8845
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/24 00:00:00",NSW1,153104.339414,138527.54739650,0.9048
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/24 00:00:00",QLD1,132247.66831899,110901.92705669,0.8386
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/24 00:00:00",SA1,26221.40200059,13527.61709493,0.5159
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/24 00:00:00",TAS1,41168.079048,2041.99890017,0.0496
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/24 00:00:00",VIC1,137773.623031,168861.37886887,1.2256
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/25 00:00:00",NEM,445894.55160799,392962.36032177,0.8813
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/25 00:00:00",NSW1,132488.744184,122797.38584497,0.9269
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/25 00:00:00",QLD1,122615.66834901,104120.93899909,0.8492
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/25 00:00:00",SA1,26181.172526,11361.15413919,0.4339
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/25 00:00:00",TAS1,41214.984558,2067.66985774,0.0502
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/25 00:00:00",VIC1,123393.98199098,152615.21148078,1.2368
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/26 00:00:00",NEM,448791.68560592,389797.075055,0.8685
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/26 00:00:00",NSW1,137591.934264,126533.12500952,0.9196
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/26 00:00:00",QLD1,125513.72886190,106184.79130079,0.8460
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/26 00:00:00",SA1,23750.378093,10945.10300411,0.4608
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/26 00:00:00",TAS1,42223.856462,2005.36671888,0.0475
D,CO2EII,PUBLISHING,1,2014,17,"2014/04/26 00:00:00",VIC1,119711.78792502,144128.68902170,1.2040
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/27 00:00:00",NEM,446707.17176201,394745.64598888,0.8837
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/27 00:00:00",NSW1,138224.753920,130054.22291667,0.9409
D,CO2EII,PUBLISHING,1,2014,18,"2014/04/27 00:00:00",QLD1,124719.86617799,105374.25769768,0.8449
