C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,AEMO,PUBLIC,08/01/2018,12:43:12,290862395,,290862390,
D,CO2EII,PUBLISHING,1,2017,26,26/06/2017 00:00,TAS1,33411.81759,318.7263161,0.0095
D,CO2EII,PUBLISHING,1,2017,26,26/06/2017 00:00,VIC1,131886.7716,144952.8825,1.0991
D,CO2EII,PUBLISHING,1,2017,26,27/06/2017 00:00,NEM,573501.7027,486398.2748,0.8481
D,CO2EII,PUBLISHING,1,2017,26,27/06/2017 00:00,NSW1,210146.1539,186817.6079,0.889
D,CO2EII,PUBLISHING,1,2017,26,27/06/2017 00:00,QLD1,158295.1076,138795.5914,0.8768
D,CO2EII,PUBLISHING,1,2017,26,27/06/2017 00:00,SA1,32646.00567,18148.41551,0.5559
D,CO2EII,PUBLISHING,1,2017,26,27/06/2017 00:00,TAS1,34045.97334,211.5193505,0.0062
D,CO2EII,PUBLISHING,1,2017,26,27/06/2017 00:00,VIC1,138368.4622,142425.1406,1.0293
D,CO2EII,PUBLISHING,1,2017,26,28/06/2017 00:00,NEM,569553.2326,482522.7234,0.8472
D,CO2EII,PUBLISHING,1,2017,26,28/06/2017 00:00,NSW1,205496.2695,181971.0344,0.8855
D,CO2EII,PUBLISHING,1,2017,26,28/06/2017 00:00,QLD1,159918.0142,140486.6676,0.8785
D,CO2EII,PUBLISHING,1,2017,26,28/06/2017 00:00,SA1,32926.79716,18248.0086,0.5542
D,CO2EII,PUBLISHING,1,2017,26,28/06/2017 00:00,TAS1,31551.93154,68.65587281,0.0022
D,CO2EII,PUBLISHING,1,2017,26,28/06/2017 00:00,VIC1,139660.2203,141748.357,1.015
D,CO2EII,PUBLISHING,1,2017,26,29/06/2017 00:00,NEM,567631.3906,462536.5369,0.8149
D,CO2EII,PUBLISHING,1,2017,26,29/06/2017 00:00,NSW1,215023.304,182213.9652,0.8474
D,CO2EII,PUBLISHING,1,2017,26,29/06/2017 00:00,QLD1,154768.9431,137589.215,0.889
D,CO2EII,PUBLISHING,1,2017,26,29/06/2017 00:00,SA1,33874.20448,14480.54985,0.4275
D,CO2EII,PUBLISHING,1,2017,26,29/06/2017 00:00,TAS1,33524.75118,1.59374964,0
D,CO2EII,PUBLISHING,1,2017,26,29/06/2017 00:00,VIC1,130440.1879,128251.2131,0.9832
D,CO2EII,PUBLISHING,1,2017,26,30/06/2017 00:00,NEM,566639.2341,462590.8912,0.8164
D,CO2EII,PUBLISHING,1,2017,26,30/06/2017 00:00,NSW1,208020.5276,180429.0783,0.8674
D,CO2EII,PUBLISHING,1,2017,26,30/06/2017 00:00,QLD1,158917.9268,140967.1194,0.887
D,CO2EII,PUBLISHING,1,2017,26,30/06/2017 00:00,SA1,31851.24158,18603.63344,0.5841
D,CO2EII,PUBLISHING,1,2017,26,30/06/2017 00:00,TAS1,37900.04724,163.7430895,0.0043
D,CO2EII,PUBLISHING,1,2017,26,30/06/2017 00:00,VIC1,129949.4909,122427.3169,0.9421
D,CO2EII,PUBLISHING,1,2017,26,01/07/2017 00:00,NEM,533874.8799,443199.9266,0.8302
D,CO2EII,PUBLISHING,1,2017,26,01/07/2017 00:00,NSW1,188132.163,171558.9257,0.9119
