C,SETP.WORLD,CO2EII_RESULTS_SUMMARY,AEMO,PUBLIC,05/01/2016,10:59:34,267518457,,267518454,
D,CO2EII,PUBLISHING,1,2015,30,20/07/2015 00:00,NSW1,201749.3224,187520.2309,0.9295
D,CO2EII,PUBLISHING,1,2015,30,20/07/2015 00:00,QLD1,144944.0382,128714.8119,0.888
D,CO2EII,PUBLISHING,1,2015,30,20/07/2015 00:00,SA1,33740.28522,17112.18977,0.5072
D,CO2EII,PUBLISHING,1,2015,30,20/07/2015 00:00,TAS1,32383.11327,102.5391096,0.0032
D,CO2EII,PUBLISHING,1,2015,30,20/07/2015 00:00,VIC1,155478.3648,190560.9981,1.2256
D,CO2EII,PUBLISHING,1,2015,30,21/07/2015 00:00,NEM,562155.4494,500325.0065,0.89
D,CO2EII,PUBLISHING,1,2015,30,21/07/2015 00:00,NSW1,191560.6262,175321.8764,0.9152
D,CO2EII,PUBLISHING,1,2015,30,21/07/2015 00:00,QLD1,145690.3244,130112.9158,0.8931
D,CO2EII,PUBLISHING,1,2015,30,21/07/2015 00:00,SA1,41932.11205,10837.6047,0.2585
D,CO2EII,PUBLISHING,1,2015,30,21/07/2015 00:00,TAS1,26128.13232,2.16465915,0.0001
D,CO2EII,PUBLISHING,1,2015,30,21/07/2015 00:00,VIC1,156844.2545,184050.4449,1.1735
D,CO2EII,PUBLISHING,1,2015,30,22/07/2015 00:00,NEM,560259.0165,511625.0957,0.9132
D,CO2EII,PUBLISHING,1,2015,30,22/07/2015 00:00,NSW1,193414.0436,175323.7433,0.9065
D,CO2EII,PUBLISHING,1,2015,30,22/07/2015 00:00,QLD1,150694.1569,133517.8795,0.886
D,CO2EII,PUBLISHING,1,2015,30,22/07/2015 00:00,SA1,32579.15226,17494.73482,0.537
D,CO2EII,PUBLISHING,1,2015,30,22/07/2015 00:00,TAS1,33715.19908,2.20568406,0.0001
D,CO2EII,PUBLISHING,1,2015,30,22/07/2015 00:00,VIC1,149856.4646,185286.5323,1.2364
D,CO2EII,PUBLISHING,1,2015,30,23/07/2015 00:00,NEM,548593.6172,515962.2322,0.9405
D,CO2EII,PUBLISHING,1,2015,30,23/07/2015 00:00,NSW1,190526.3246,176797.6916,0.9279
