Id,Name,Registration date,Change Date
463,TXU ELECTRICITY LTD,,
464,TXU ELECTRICITY LIMITED,2000-10-10,2000-11-09
465,TXU ELECTRICITY LTD,2000-05-11,2000-10-10
466,TXU ELECTRICITY LIMITED,,
467,SPI ELECTRICITY PTY LTD,2004-08-30,2014-08-04
468,AUSNET ELECTRICITY SERVICES PTY LTD,,
469,GPU POWERNET PTY LTD,,
470,SPI POWERNET PTY LIMITED,,
471,SPI POWERNET PTY LTD,,
472,AUSNET TRANSMISSION GROUP PTY LTD,,
473,CitiPower Pty Ltd,2000-02-24,2020-11-24
474,AGL Electricity,,
475,AGL Electricity Ltd,,
476,Alinta AE Ltd,2007-05-24,2008-08-04
477,Jemena Electricity Networks (Vic) Ltd,2008-08-04,2020-11-24
478,UNITED ENERGY LIMITED,2000-03-07,2000-06-01
479,UNITED ENERGY LTD,,
480,UNITED ENERGY DISTRIBUTION PTY LIMITED,,
481,Meridian Renewables Pty Limited,,
482,MERIDIAN ENERGY AUSTRALIA PTY LIMITED,2008-08-18,2010-10-27
483,Meridian Wind Australia Pty Ltd,2009-03-01,2012-01-25
484,MERIDIAN ENERGY MARKETS PTY LTD,,
485,TE MAUNGA POWER AUSTRALIA HOLDINGS PTY LTD,,
486,CLP Group Pty Ltd,,
487,CRH Holdings Pty Limited,,
488,AGL GAS DEVELOPMENTS PTY LIMITED,2005-09-13,2006-03-02
489,AGL ENERGY LIMITED,,
490,ALINTAAGL PTY LTD,,
491,ALINTA PTY LIMITED,,
492,VenCorp,,
493,Victorian Power Exchange,,
494,Enel Green Power Australia Pty Ltd,,
495,WINDLAB SYSTEMS PTY LTD,,
496,WINDLAB LIMITED,,
497,ENERGY DEVELOPMENTS LTD,,
498,ENERGY DEVELOPMENTS LIMITED,,
499,WIRSOL ENERGY PTY LIMITED,,
500,EDIFY ENERGY PTY. LTD.,,
501,Department of Planning,,
502,DEPARTMENT OF PLANNING AND INFRASTRUCTURE,,
503,PLANNING AND INFRASTRUCTURE,,
504,Department of Planning and Environment,,
505,IPM AUSTRALIA LIMITED,,
506,LYB AUSTRALIA LIMITED,,
507,LAING GROUP PTY. LTD. (John Laing Group),,
508,State Power Investment Corporation (SPIC) ,,
509,State Power Investment Overseas of China (SPIC Overseas),2016-01-06,2020-11-24
510,Pacific Hydro Investments Pty Ltd,,
511,Pacific Hydro Investments Pty. Ltd.,,
512,PACIFIC HYDRO INTERNATIONAL PTY. LTD.,2000-02-24,2020-11-24
513,"Singapore Power International Pte Ltd,",2000-07-01,2020-11-24
514,SP Group Pty Ltd,2003-07-10,2021-08-23
515,Impact Investment Group Pty Ltd,2009-10-13,2020-11-24
516,SMALL GIANTS HOLDINGS PTY LTD,2014-11-12,2020-11-24
518,Pacific Hydro Retail Pty Ltd,2012-03-14,2016-11-05
519,TANGO ENERGY PTY LTD,2016-11-05,2020-11-24
520,SPI (Australia) Assets Pty Ltd,,
521,SGSP (AUSTRALIA) ASSETS PTY LTD,2014-01-03,2020-11-24
522,SGSP (AUSTRALIA) ASSETS PTY LTD,,
523,MERIDIAN ENERGY AUSTRALIA PTY LIMITED,2010-10-27,2020-11-24
525,LYB OPERATIONS & MAINTENANCE PTY LTD,2018-03-07,2020-11-24
526,,,
527,Edison Mission Operation & Maintenance Loy Yang Pty Ltd,2000-05-05,2005-02-04
528,,,
529,IPM OPERATION & MAINTENANCE LOY YANG PTY LTD,2005-02-04,2018-03-07
530,Millmerran Investment Company V Pte Ltd,1999-07-05,2020-11-24
532,Millmerran Investment Company VI Pte Ltd,1999-07-05,2020-11-24
533,Malakoff Wind Macarthur Pty Ltd,2007-03-16,2020-11-24
534,,,
535,,,
536,,,
537,,,
539,,,
540,,,
541,Australia and New Zealand Banking Group Limited,1999-11-01,2020-11-24
542,,,
543,,,
544,,,
546,,,
547,,,
548,,,
549,Pacific Hydro Yaloak South Pty Ltd,2016-05-06,2020-11-24
550,Monash University,1999-11-01,2020-11-24
551,GSP Energy Pty Ltd,2014-06-23,2020-11-24
553,Bald Hills Wind Farm Pty Ltd,2005-11-23,2020-11-24
554,TILT RENEWABLES AUSTRALIA PTY LTD,2016-08-27,2020-11-24
555,TE MAUNGA POWER AUSTRALIA HOLDINGS PTY LTD,2002-07-08,2002-11-15
556,TRUSTPOWER AUSTRALIA HOLDINGS PTY LTD,2002-11-15,2016-08-27
557,Commander (M2 Energy Pty Ltd),2014-01-31,2020-11-24
558,Dodo Power & Gas Pty Ltd,2006-12-20,2014-01-31
560,Yorke Peninsula Wind Farm Project Pty Ltd,2009-08-19,2020-11-24
561,Cohuna Solar Farm Pty. Ltd,2018-01-25,2020-11-24
562,TOTAL EREN AUSTRALIA PTY LTD,2019-06-14,2020-11-24
563,KIAMAL SOLAR FARM PTY LTD,2017-07-01,2019-06-14
564,Pacific Hydro Investments Pty. Ltd.,2000-05-29,2020-11-24
565,Pacific Hydro Investments Pty Ltd,2000-03-10,2000-05-29
567,Energy Pacific Vic Pty Ltd,2000-03-02,2020-11-24
568,Foresight Solar Australia Pty Ltd,2016-03-21,2020-11-24
569,PEOPLE ENERGY PTY LTD,2012-08-15,2020-11-24
570,TRANSMISSION OPERATIONS (AUSTRALIA) PTY LTD,2012-07-17,2020-11-24
571,ST. VINCENT'S HOSPITAL (MELBOURNE) LIMITED,1999-11-01,2020-11-24
572,Willogoleche Power Pty Limited,2009-01-01,2020-11-24
574,DIAMOND ENERGY RETAIL PTY. LTD.,2011-04-01,2020-11-24
575,TOYOTA TSUSHO (AUSTRALASIA) PTY LIMITED,1999-11-25,2000-02-29
576,TOYOTA TSUSHO (AUSTRALASIA) PTY LTD,2000-02-29,2000-05-30
577,TOYOTA TSUSHO (AUSTRALASIA) PTY. LIMITED,2000-05-30,2020-11-24
578,WANGARATTA SOLAR FARM PTY LTD,2015-10-08,2020-11-24
579,Flow Power (PROGRESSIVE GREEN PTY LTD),2008-03-14,2020-11-24
581,FEZERO PTY LTD,2017-11-04,2020-11-24
582,Future Energy Pty Ltd,2008-10-07,2017-11-04
583,BHP Billiton Petroleum Bass Strait Pty Ltd,1999-11-01,2020-11-24
584,SYMEX HOLDINGS LIMITED,2000-03-01,2012-12-14
585,PENTAL LIMITED,2012-12-14,2020-11-24
586,Bulgana Wind Farm Pty Ltd,2013-02-04,2020-11-24
588,VISY PULP AND PAPER PTY. LTD.,2000-04-06,2020-11-24
589,Mt Gellibrand Wind Farm Pty Ltd,2007-05-25,2020-11-24
590,Pyrenees Wind Energy Developments,2001-10-01,2020-11-24
591,TARALGA WIND FARM NOMINEES NO 2 PTY LTD,2012-10-31,2020-11-24
592,Pacific Hydro Haughton Solar Farm Pty Ltd,2017-02-06,2020-11-24
593,Canadian Solar O&M Australia Pty Ltd,2017-07-04,2020-11-24
595,COFELY AUSTRALIA PTY LIMITED,2011-05-13,2016-04-27
596,DIAMOND ENERGY GENERATION PTY LTD,2005-11-18,2020-11-24
597,TELSTRA ENERGY (GENERATION) PTY LTD,2016-07-15,2020-11-24
598,TELSTRA CORPORATION LIMITED,1999-11-01,2020-11-24
599,Wattle Point Wind Farm Pty Ltd,2002-06-19,2020-11-24
600,TRANSMISSION OPERATIONS (AUSTRALIA) 2 PTY LTD,2015-05-08,2020-11-24
602,Nexif Energy Australia Management Pty Ltd,2017-05-25,2020-11-24
603,Mecrus Pty Ltd,2000-06-08,2020-11-24
604,Iraak Sun Farm Pty Ltd,2016-04-07,2020-11-24
605,Ballarat Health Services,1999-11-01,2020-11-24
606,MERIDIAN WIND MACARTHUR HOLDINGS PTY LIMITED,2013-06-28,2020-11-24
607,MALAKOFF WIND MACARTHUR HOLDINGS PTY LIMITED,2010-10-27,2013-06-28
609,Three River Holdings Pty Limited,2007-03-16,2008-08-18
610,Hazelwood Power Partnership (Trading as Hazelwood Power) (AUSTRALIAN POWER PARTNERS B V & CISL (HAZELWOOD) PTY Limited& HAZELWOOD INVESTMENT COMPANY PTY Limited& HAZELWOOD PACIFIC PTY Ltd& NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED),2000-04-05,2013-06-18
611,AUSTRALIAN POWER PARTNERS B V & Others,2013-06-18,2020-11-24
612,AMAYSIM ENERGY PTY LTD,2017-09-22,2020-11-24
613,CLICK ENERGY PTY LTD,2005-12-16,2017-09-22
614,Powershop Australia Pty Limited,2012-01-12,2020-11-24
616,ENERGYAUSTRALIA HALLETT PTY LTD,2012-10-03,2020-11-24
617,TRUENERGY HALLETT PTY LTD,2007-05-29,2012-10-03
618,TRUenergy Holdings Pty Ltd,2006-07-11,2007-05-29
619,NovaPower Pty Ltd,2012-06-01,2020-11-24
620,DIAMOND ENERGY SOLUTIONS PTY. LTD. ,2019-07-24,2020-11-24
621,GE SMALLWORLD (AUSTRALIA) PTY LTD,2000-03-18,2006-11-16
623,GE ENERGY AUSTRALIA PTY LTD,2006-11-16,2020-11-24
624,Oakey 1 Asset Company Pty Ltd,2016-11-22,2020-11-24
625,ENERFIN ENERGY SERVICES PTY Ltd- Woolsthorpe Wind Farm Pty Ltd,2018-12-14,2020-11-24
626,ESSO AUSTRALIA Ltd(Exxon Mobil),1999-11-01,2000-04-22
627,ESSO AUSTRALIA PTY Ltd(Exxon Mobil),2000-04-22,2020-11-24
628,THE BROKEN HILL PROPRIETARY COMPANY LIMITED,1999-11-01,2000-11-24
630,BHP LIMITED,2000-11-24,2001-07-16
631,BHP BILLITON LIMITED,2001-07-16,2018-11-19
632,BHP GROUP LIMITED,2018-11-19,2020-11-24
633,Cedar Meats - CEDAR MEATS (AUST) PTY. Limited- Cedar Meats Trust,2000-04-22,2020-11-24
634,Energy Response Pty Ltd(Trading as Energy Response),2004-02-01,2011-09-12
635,Enel X Australia Pty Ltd,2019-03-09,2020-11-24
637,EnerNOC Pty Ltd,2011-09-12,2019-03-09
638,Hughenden Solar Pty Limitedas trustee for Hughenden Solar Trust,2017-07-01,2020-11-24
639,Ross River Operations Pty Ltd as the Trustee for the Ross River Operations Trust,2016-12-08,2020-11-24
640,Chinchilla Solar Pty Ltd,2017-09-01,2020-11-24
641,LOCAL AUTHORITIES SUPER PTY LTD,2000-06-26,2003-11-15
642,VISION SUPER PTY LTD,2003-11-15,2020-11-24
644,Snowtown South Wind Farm Pty Ltd,2012-03-21,2020-11-24
645,Alinta Network Services Pty Ltd,2003-06-01,2006-04-05
646,ALINTA ASSET MANAGEMENT PTY LTD,2006-04-05,2009-06-18
647,JEMENA ASSET MANAGEMENT (6) PTY LTD,2009-06-18,2012-08-02
648,ZNX (2) PTY LTD,2006-04-05,2020-11-24
649,Lincoln Gap Wind Farm Pty Limited,2008-09-23,2020-11-24
651,TARALGA WIND FARM NOMINEES NO 1 PTY LTD,2012-09-20,2020-11-24
652,TILT RENEWABLES LIMITED,2016-09-01,2020-11-24
653,Biosar Australia Pty Ltd,2017-08-01,2020-11-24
654,CLP AUSTRALIA HOLDINGS PTY Ltd,2005-05-27,2007-06-15
655,TRUENERGY HOLDINGS PTY LTD,2007-06-15,2012-10-03
656,EnergyAustralia Holdings Pty Ltd,2012-10-03,2020-11-24
658,Nexif Energy Australia Pty Ltd,2016-03-11,2020-11-24
659,ESCO Pacific Asset Management Pty Ltd,2018-07-01,2020-11-24
660,Meridian Energy Limited,2001-07-01,2020-11-24
661,TEPCO PTY. LTD.,2000-03-01,2020-11-24
662,NATIONAL POWER AUSTRALIA HOLDINGS PTY LTD,2000-05-28,2001-02-08
663,AUSTRALIAN NATIONAL POWER PTY LIMITED,2001-02-08,2002-08-23
665,INTERNATIONAL POWER (AUSTRALIA) PTY LTD (Engie),2002-08-23,2020-11-24
666,WIND MACARTHUR FINCO PTY LIMITED,2013-06-05,2020-11-24
667,RED ENERGY PTY. LIMITED,2005-07-08,2020-11-24
668,Three River Australia Pty Limited,2007-03-16,2013-02-21
669,MALAKOFF WIND MACARTHUR PTY LIMITED,2013-06-28,2020-11-24
670,SPI (Australia) Assets Pty Ltd,2007-07-18,2014-01-03
672,Chepstowe Wind Farm Pty Ltd,2013-12-18,2020-11-24
673,CK Group (CK Asset Holdings Limited(CKA)) - CK HK HOLDINGS PTY. LTD.,2015-08-25,2020-11-24
674,QENOS PTY LTD,2000-03-21,2020-11-24
675,LOY YANG POWER MANAGEMENT PTY LTD,2000-04-08,2012-03-04
676,OVIDA INFRASTRUCTURE PTY LTD,2017-12-19,2020-11-24
677,JEMENA ENERGY ASSETS PTY. LTD.,2016-01-27,2017-12-19
679,Finley Solar Farm Pty Ltd(ABN 89 616 527 621) as trustee for the Finley Solar Trust,2018-08-03,2020-11-24
680,MITSUI & CO. (AUSTRALIA) LTD.,2000-04-12,2020-11-24
681,MALAKOFF AUSTRALIA PTY LTD,2013-06-07,2020-11-24
682,Bungala One Operations Pty Ltd as the Trustee for the Bungala One Operations Trust,2016-08-29,2020-11-24
683,LYB Operations and Maintenance Pty Ltd,2000-05-05,2020-11-24
684,The Trustee for Superman Energy Unit Trust,2014-05-21,2020-11-24
686,LIMONDALE SUN FARM PTY LTD,2017-02-22,2020-11-24
687,IFM INVESTORS PTY LTD,2013-10-18,2020-11-24
688,WIND MACARTHUR (T) PTY LIMITED,2013-06-05,2020-11-24
689,Energy Australia Pty Limited& I Power Pty Ltd,2005-06-01,2007-08-10
690,IPOWER 2 PTY Limited& IPOWER PTY LIMITED,2007-08-10,2010-12-15
691,Simply Energy,2010-12-15,2020-11-24
693,GLOBIRD ENERGY PTY. LTD. ,2014-07-01,2020-11-24
694,EnergyAustralia Tallawarra Pty Ltd,2000-05-29,2020-11-24
695,LUMO ENERGY AUSTRALIA PTY LTD,2010-06-23,2020-11-24
696,UNITED ENERGY LTD,2000-06-01,2004-04-08
697,UNITED ENERGY DISTRIBUTION PTY LIMITED,2004-04-08,2020-11-24
698,WINCONNECT PTY LTD,2005-07-01,2020-11-24
700,TOTAL GAS & POWER ASIA PRIVATE LIMITED,2014-08-01,2020-11-24
701,Moreland Energy Foundation Ltd,2001-08-17,2019-09-04
702,TXU (NO. 15) PTY LTD,2002-02-14,2004-04-08
703,DATA AND MEASUREMENT SOLUTIONS PTY LTD,2004-04-08,2011-11-30
704,SELECT SOLUTIONS GROUP PTY LTD,2011-11-30,2018-10-12
705,MONDO POWER PTY LTD,2018-10-12,2020-11-24
707,Lincoln Gap Wind Farm (Operations) Pty Ltd,2013-06-19,2020-11-24
708,MELBOURNE HEALTH,1999-11-01,2020-11-24
709,Pacific Hydro Portland Wind Farm Pty Ltd,2003-05-01,2020-11-24
710,Energy Networks Australia (ENA) - Energy Networks Association Limited,2003-11-26,2020-11-24
711,ONESUN CAPITAL 10MW OPERATING PTY LTD,2016-06-22,2020-11-24
712,EnergyAustralia NSW Pty Ltd,2013-05-27,2020-11-24
714,CitiPower Pty,2000-04-13,2020-11-24
715,Element Partners Pty Ltd,2011-04-15,2012-09-18
716,Overland Sun Farming Pty Ltd,2012-09-18,2020-11-24
717,Bungala Two Operations Pty Ltd as trustee for The Bungala Two Operations Trust,2016-10-28,2020-11-24
718,SPI POWERNET PTY LIMITED,2000-07-26,2000-10-05
719,SPI POWERNET PTY LTD,2000-10-05,2014-08-04
721,AUSNET TRANSMISSION GROUP PTY LTD,2014-08-04,2020-11-24
722,Energy Brix Australia Corporation Pty Ltd,2000-02-09,2020-11-24
723,Maroona Wind Farm Pty Ltd,2015-02-25,2020-11-24
724,EnergyAustralia Narrabri Gas Pty Ltd,2010-12-01,2020-11-24
725,Benalla District Environment Group Inc.,2005-02-07,2018-05-29
726,BENALLA SUSTAINABLE FUTURE GROUP INC.,2018-05-29,2020-11-24
728,MELBOURNE WATER CORPORATION,1999-11-01,2020-11-24
729,BHP FINANCE LIMITED,1999-11-01,2002-05-09
730,BHP BILLITON FINANCE LIMITED,2002-05-09,2020-11-24
731,AGL Electricity Limited,2000-03-11,2001-05-21
732,AGL Electricity Ltd,2001-05-21,2001-08-17
733,AGL ELECTRICITY LIMITED,2001-08-17,2007-05-24
735,MONASH HEALTH,2000-07-01,2020-11-24
736,Longreach Asset Company Pty Ltd,2016-11-22,2020-11-24
737,SPOTLESS FACILITY SERVICES PTY LTD,2000-04-05,2020-11-24
738,UNIVERSITY OF MELBOURNE,1999-11-01,2020-11-24
739,Snowtown Wind Farm Stage 2 Pty Ltd,2012-02-10,2020-11-24
740,Power Rental Op Co Australia LLC trading as APR Energy,2013-10-27,2020-11-24
742,TIMBOON WEST WIND FARM PTY LTD,2015-09-21,2020-11-24
743,COMMAND ENERGY PTY LIMITED,2000-05-30,2011-05-13
744,Mt Mercer Windfarm Pty Ltd,2006-02-03,2020-11-24
745,Leonards Hill Wind Operations Pty Ltd,2009-12-24,2020-11-24
746,Ararat Wind Farm Pty Ltd,2013-06-21,2020-11-24
747,SIMPLY ENERGY SOLUTIONS PTY LTD,2013-09-03,2020-11-24
749,Select Harvests Limited,2000-03-17,2020-11-24
750,Infratil Energy Australia Pty Ltd,2005-07-14,2014-09-23
751,LUMO GENERATION SA PTY LTD,2014-09-23,2020-11-24
752,Pacific Hydro Challicum Hills Pty Ltd,2002-09-13,2020-11-24
753,Meridian Renewables Pty Limited,2010-05-07,2010-10-27
754,SOUTH EAST WATER LIMITED,1999-11-01,2012-07-02
756,South East Water Corporation,2012-07-02,2020-11-24
757,YAWONG WIND FARM PTY LTD,2017-04-01,2020-11-24
758,WODONGA SOLAR POWER PTY LTD,2017-10-11,2020-11-24
759,AUSNET ELECTRICITY SERVICES PTY LTD,2014-08-04,2020-11-24
760,HALLETT HILL PTY LIMITED,2007-10-30,2020-11-24
761,Solar PowerStations Victoria Pty Ltd,2014-07-09,2020-11-24
763,NATIONAL ELECTRICITY MARKET MANAGEMENT COMPANY LIMITED,2000-05-02,2009-07-01
764,AEMO (Australian Energy Market Operator),2009-07-01,2020-11-24
765,WestWind Energy Pty Ltd,2004-07-08,2020-11-24
766,Salt Creek Wind Farm Pty Ltd,2009-07-01,2020-11-24
767,Diamond Energy Pty Ltd,2004-01-05,2020-11-24
768,SIMPLOT AUSTRALIA PTY LIMITED,2000-03-24,2020-11-24
770,Acciona Energy Oceania Pty Ltd,2002-10-01,2020-11-24
771,ENERGYAUSTRALIA PTY LTD,2012-11-03,2020-11-24
772,Enercon GmbH,2000-10-01,2020-11-24
773,Basslink Pty Ltd,2000-07-01,2020-11-24
774,COAG Energy Council,1992-01-01,2020-11-24
775,State Power Investment Corporation (SPIC) ,2015-01-01,2020-11-24
777,Woolsthorpe Wind Farm Pty Ltd (104022237),2003-03-25,2020-11-24
778,GDF SUEZ  S.A,2008-07-22,2015-04-24
779,Keppel Corporation Limited,1968-09-01,2020-11-24
780,Keppel Infrastructure Fund Management Pte Ltd(KIFM),2015-01-01,2020-11-24
781,Keppel Infrastructure Holdings Pte. Ltd.,2015-01-01,2020-11-24
782,Power Asset Holdings Limited(PAH) - owner of Australian Gas Networks and other infrastructure,2014-10-23,2020-11-24
784,METROPOLIS METERING SERVICES PTY LTD,2005-10-17,2020-11-24
