Id,Name,Registration date,Change Date
102,"Indiarubber, Gutta Pereha and Telegraph Works Co. Ltd.",1914-01-20,1924-01-01
103,A.H. Wood ,1914-01-07,1925-04-08
104,Heyfield Butterfactory Co.,1915-11-08,1929-04-12
105,Castlemaine Electric Supply Co.,1915-08-06,1927-02-03
106,Kyneton Shire Council,1915-08-05,1927-02-03
107,Wangaratta Borough Council,1915-07-02,1927-04-12
108,Toora-Foster Electric Co.,1915-06-06,1938-04-21
109,"H. J. W. Block, Jeparit",1915-06-02,1935-04-18
110,Williamstown City Council,1915-06-02,1994-06-22
111,Romsey Shire Council,1915-04-08,1928-04-11
112,South Dandenong Electric Light Syndicate,1915-03-08,1922-04-05
113,Orbost Butter and Produce Co.,1916-06-05,1961-11-14
114,Alexandra Shire Council,1916-06-02,1929-04-12
115,Flinders Shire Council,1917-11-05,1929-04-12
116,Mulgrave Shire Council,1917-08-07,1929-03-02
117,Yarram Hydro-Electric Co.,1917-06-01,1946-06-30
118,Kilmore Shire Council,1917-02-01,1958-10-11
119,Horsham Electric Cupply Co.,1918-12-12,1956-09-09
120,Frankston and Distric Gas and Electric Co. Pty. Ltd.,1918-12-02,1929-04-12
121,Elmore Electric Light and Power Co.,1918-11-05,1946-06-30
122,Dunmunkle Shire Council,1918-09-02,1956-10-09
123,Donald Shire Council,1918-08-05,1962-05-15
124,Commonwealth Electric Co. Pty. Ltd.,1918-06-05,1935-04-18
125,J. McKenzie King,1918-06-01,1921-08-05
126,Casterton Electric Supply Co.,1918-05-02,1963-05-16
127,Carrum Electric Supply Co.,1918-02-01,1926-04-08
128,Sale and District Cooperative Butter and Cool Storage Co.,1919-11-08,1923-01-01
129,Bacchus Marsh Shire Council,1919-08-02,1940-04-23
130,Heytesbury Shire Council,1919-06-05,1923-01-01
131,Electricity Commissioners,1919-03-01,1920-12-31
132,Colac Shire Council,1919-02-01,1923-01-01
133,Shepparton Shire Council,1919-01-01,1929-04-12
134,Tatura Butter Factory Co. ,1919-01-01,1929-04-12
135,Mornington Shire Council,1920-10-02,1930-04-13
136,Ripon Shire Council,1920-10-02,1954-10-07
137,Seymour Shire Council,1920-08-01,1945-04-28
138,Bright Shire Council,1920-07-02,1933-04-16
139,Healesville Shire Council,1920-02-01,1933-11-16
140,River Latrobe Hydroelectric Co.,1920-02-15,1930-10-10
141,Siemerings Pty. Ltd.,1921-11-02,1928-04-11
142,Federal Milk Pty. Ltd.,1921-08-05,1937-04-20
143,Benalla Shire Council,1921-05-02,1929-04-12
144,Lowan Shire Council,1921-03-01,1960-10-13
145,Stawell Borough Council,1921-02-05,1966-07-19
146,State Electricity Commission Victoria (SECV),1921-01-10,2020-11-24
147,Boort Cooperative Butter Co.,1922-05-02,1956-08-09
148,Walpeup Shire Council,1922-01-01,1965-09-18
149,Dandenong Shire Council,1922-06-06,1924-02-01
150,Beeac (SECV),1923-02-02,1993-06-17
151,Yarragon (SECV),1923-02-02,1993-06-18
152,Korong Shire Council,1924-02-01,1950-05-03
153,Violet Town Shire Council,1924-05-01,1936-04-19
154,Hepburn Springs Electric Supply Co. Ltd.,1925-01-01,1940-04-23
155,Lawloit Shire Council,1925-06-05,1939-04-24
156,Nunawading City Council,1925-05-26,1994-12-15
157,Broadford Shire Council,1925-08-12,1948-08-01
158,Avoca Electric Light and Power Co. Pty. Ltd.,1925-12-06,1940-04-23
159,Warracknabeal Electric Light and Power Co. ,1926-01-05,1961-05-14
160,Beechworth Shire Council,1926-02-06,1946-08-29
161,Yuthong Electric Coy.,1926-04-09,1935-11-18
162,Arapiles Shire Council,1926-05-01,1927-05-02
163,Koo-wee-rup Electric Light and Power Co. Pty. Ltd.,1926-06-01,1934-04-17
164,Martin O'Donohue,1927-01-01,1930-09-13
165,Marong Shire Council,1927-03-02,1931-08-14
166,H.C. Woolmer,1927-04-15,1958-10-11
167,Gordon Shire Council,1927-04-15,1954-05-07
168,Box Hill City Council,1927-05-02,1994-06-16
169,Ballan Electric Supply Co.,1927-06-01,1940-04-23
170,Goroke Electric Supply Co.,1928-12-01,1929-04-12
171,W. A. Bland,1929-04-12,1938-02-21
172,Phillip Island Shire Council,1929-05-02,1950-05-03
173,Bet Bet Shire Council,1930-02-01,1938-04-21
174,Omeo Power Co.,1932-02-01,1937-04-20
175,Towong Shire Council,1933-08-16,1941-04-24
176,A.J. Goster,1934-04-17,1964-09-17
177,Heildelberg City Council,1934-03-11,1994-12-15
178,Block & Sons Pty. Ltd.,1935-04-18,1942-08-25
179,Upper Yarra Electric Supply Co. Pty. Ltd. ,1935-11-18,1944-09-27
180,Omeo Electricity Supply & motor Co. Pty. Ltd.,1937-04-20,1969-08-22
181,Border Trading and Manufacturing Co. Pty. Ltd.,1938-02-21,1941-04-24
182,Kaniva Shire Council,1939-04-24,1964-05-17
183,C. D. Block,1941-04-24,1942-07-25
184,"S. F. Block (trading as ""Jeparit Electric Light and Power Station"")",1942-08-25,1960-05-12
185,Goroke Butter and Freezing Co.,1942-07-25,1950-08-03
186,Frank Dawson Pty. Ltd.,1944-10-27,1956-07-13
187,Goroke Freezing & Trading Co. Pty. Ltd.,1950-08-03,1959-05-12
188,Gunbower Co-operative Butter Factory & Trading Co. Ltd.,1954-05-07,1959-09-12
189,Balmoral Electricity Supply Co. Pty. Ltd.,1954-05-07,1966-09-19
190,P. R. Schulze,1955-03-01,1964-05-17
191,Dawson's (Rainbow) Pty. Ltd.,1956-07-13,1963-05-16
192,Generation Victoria,1993-06-15,1995-06-18
193,National Electricity,1993-06-15,1995-06-18
194,Electricity Services Victoria,1993-06-15,1995-06-18
195,Banyule City Council,1994-12-15,1996-01-01
196,Darebin City Council,1994-12-15,1996-01-01
197,Moreland City Council,1994-12-15,1996-01-01
198,Whitehorse City Council,1994-12-15,1996-05-01
199,Maribyrnong City Council,1994-12-15,1996-05-01
200,Manningham City Council,1994-12-15,1996-05-01
201,Port Phillipe City Council,1994-06-22,1996-05-01
202,Hobsons Bay City,1994-06-22,1996-05-01
203,Hazelwood Power Co. Pty Ltd,1995-06-18,1996-08-01
204,Loy Yang Power Co. Pty Ltd,1995-06-18,1997-03-25
205,Southern Hydro Pty Ltd ,1995-06-18,1999-11-01
206,Yallourn Energy Pty Ltd,1995-06-18,2005-06-15
207,Eastern Energy Ltd,1995-06-18,2000-05-11
