C,SETP.WORLD,CO2EII_RESULTS_SUMMARY_YEAR,AEMO,PUBLIC,2020/01/06,13:09:10,0000000317403708,,0000000317403703
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/07 00:00:00",QLD1,166114.197179,129063.29938332,0.7770
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/07 00:00:00",SA1,25632.029667,8248.36028069,0.3218
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/07 00:00:00",TAS1,18067.785669,357.44427426,0.0198
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/07 00:00:00",VIC1,113150.65908401,119179.91340977,1.0533
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/08 00:00:00",NEM,524764.96460067,416408.09119306,0.7935
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/08 00:00:00",NSW1,198260.22334199,165557.66295286,0.8351
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/08 00:00:00",QLD1,163292.05320868,130186.11029756,0.7973
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/08 00:00:00",SA1,30843.631210,9709.49529856,0.3148
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/08 00:00:00",TAS1,24247.771922,674.64125192,0.0278
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/08 00:00:00",VIC1,108121.284918,110280.18139216,1.02
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/09 00:00:00",NEM,518512.37352099,418874.44312118,0.8078
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/09 00:00:00",NSW1,194993.21277698,166889.99767880,0.8559
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/09 00:00:00",QLD1,163608.266176,131328.52377975,0.8027
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/09 00:00:00",SA1,34099.34558401,10830.74368731,0.3176
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/09 00:00:00",TAS1,17615.379170,180.20629066,0.0102
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/09 00:00:00",VIC1,108196.169814,109644.97168466,1.0134
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/10 00:00:00",NEM,514257.10677234,413773.06440342,0.8046
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/10 00:00:00",NSW1,194513.107385,162889.83907786,0.8374
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/10 00:00:00",QLD1,161410.56666033,129515.93802896,0.8024
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/10 00:00:00",SA1,35681.808860,11577.94643744,0.3245
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/10 00:00:00",TAS1,19023.701621,200.16868645,0.0105
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/10 00:00:00",VIC1,103627.92224601,109589.17217271,1.0575
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/11 00:00:00",NEM,534318.66255966,417107.22286909,0.7806
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/11 00:00:00",NSW1,193834.64707499,158290.53873425,0.8166
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/11 00:00:00",QLD1,164714.56555867,129856.24093488,0.7884
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/11 00:00:00",SA1,38688.773149,14131.36511947,0.3653
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/11 00:00:00",TAS1,22474.64755499,598.02230217,0.0266
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/11 00:00:00",VIC1,114606.02922201,114231.05577832,0.9967
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/12 00:00:00",NEM,512420.66796332,390957.82090331,0.7630
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/12 00:00:00",NSW1,183446.85285601,147695.17866437,0.8051
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/12 00:00:00",QLD1,158693.19797332,123458.74460694,0.7780
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/12 00:00:00",SA1,38469.26139199,8788.88605655,0.2285
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/12 00:00:00",TAS1,18221.179282,142.27220983,0.0078
D,CO2EII,PUBLISHING,1,2019,2,"2019/01/12 00:00:00",VIC1,113590.176460,110872.73936562,0.9761
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/13 00:00:00",NEM,499874.10353534,373293.40198446,0.7468
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/13 00:00:00",NSW1,174795.859177,138292.91053620,0.7912
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/13 00:00:00",QLD1,156754.24257534,123528.14388126,0.7880
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/13 00:00:00",SA1,38026.249611,8414.19114857,0.2213
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/13 00:00:00",TAS1,16735.904983,185.27570361,0.0111
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/13 00:00:00",VIC1,113561.847189,102872.88071482,0.9059
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/14 00:00:00",NEM,594736.06913051,445485.36056831,0.7490
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/14 00:00:00",NSW1,199634.75593951,164001.04083702,0.8215
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/14 00:00:00",QLD1,183095.050738,141076.48097273,0.7705
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/14 00:00:00",SA1,44302.286323,19432.70511944,0.4386
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/14 00:00:00",TAS1,31139.891170,831.38762356,0.0267
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/14 00:00:00",VIC1,136564.084960,120143.74601556,0.8798
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/15 00:00:00",NEM,627334.54696832,464749.15474724,0.7408
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/15 00:00:00",NSW1,214108.75815775,172678.52982138,0.8065
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/15 00:00:00",QLD1,186532.16185158,143735.20153335,0.7706
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/15 00:00:00",SA1,49874.641538,23058.11726563,0.4623
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/15 00:00:00",TAS1,32805.97660799,865.58423453,0.0264
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/15 00:00:00",VIC1,144013.008813,124411.72189235,0.8639
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/16 00:00:00",NEM,625236.73746977,475247.32552622,0.7601
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/16 00:00:00",NSW1,224751.00096101,184318.45406855,0.8201
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/16 00:00:00",QLD1,191839.16705274,145212.03045935,0.7569
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/16 00:00:00",SA1,48901.851457,21144.43886234,0.4324
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/16 00:00:00",TAS1,27992.955411,649.73413769,0.0232
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/16 00:00:00",VIC1,131751.76258802,123922.66799829,0.9406
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/17 00:00:00",NEM,633384.83465416,471632.66004446,0.7446
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/17 00:00:00",NSW1,218951.96801575,180052.41263407,0.8223
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/17 00:00:00",QLD1,191820.66349142,145304.56167273,0.7575
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/17 00:00:00",SA1,52551.984761,19824.88278069,0.3772
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/17 00:00:00",TAS1,29485.32884999,987.03350428,0.0335
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/17 00:00:00",VIC1,140574.889536,125463.76945269,0.8925
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/18 00:00:00",NEM,610565.09173858,466735.15931547,0.7644
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/18 00:00:00",NSW1,221949.25784426,181332.05935350,0.8170
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/18 00:00:00",QLD1,185700.06935733,141900.62946028,0.7641
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/18 00:00:00",SA1,39135.944387,12716.98809385,0.3249
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/18 00:00:00",TAS1,27058.65321199,679.63061468,0.0251
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/18 00:00:00",VIC1,136721.166938,130105.85179316,0.9516
D,CO2EII,PUBLISHING,1,2019,3,"2019/01/19 00:00:00",NEM,517236.96138507,411036.45169945,0.7947
