Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),System Production In Spot,System Production Off Spot,Number of Active Actors
2018-01-01,517.0715576017778,0.0,83.66522979736328,0.4734152366857341,4753.0,3261570.82372496,1179640.2596551538,517.0
2018-02-01,457.4490497177037,0.0,45.52501678466797,0.42719477358114255,9498.0,2836411.3041080865,1066645.1987026064,521.0
2018-03-01,475.57500148099064,0.0,32.5455207824707,0.4568997161729476,14243.0,2890948.9524111454,1186984.7951777077,523.0
2018-04-01,443.57517741468297,0.0,37.44866943359375,0.4236003267479177,18988.0,2804358.0277012424,1187273.5445975175,524.0
2018-05-01,506.08972080015167,0.0,50.02598571777344,0.47110464585264855,23733.0,3170081.9968790826,1221496.8062418376,526.0
2018-06-01,516.4327438614896,13.486832618713379,54.02680969238281,0.46279220725421744,28478.0,3381672.6097313417,1178310.6839552873,529.0
2018-07-01,552.9570064413208,13.486832618713379,43.39210510253906,0.4938811653111387,33223.0,3395708.5382545236,1282833.224467527,530.0
2018-08-01,538.3718484974189,13.486832618713379,39.1717414855957,0.4835399508174146,37968.0,3279397.063655579,1325723.1726888444,534.0
2018-09-01,476.6718782923232,13.486832618713379,30.53057098388672,0.44207640934320974,42713.0,2844273.9598038546,1290393.48039229,536.0
2018-10-01,462.84370851595094,13.486832618713379,23.65033721923828,0.4296915001882971,47458.0,2681706.6256367024,1347005.4487265984,536.0
2018-11-01,440.55474392036854,13.486832618713379,23.569503784179688,0.4013777096147906,52203.0,2542782.9787319214,1341693.542536161,537.0
2018-12-01,471.12737442491397,8.767053604125977,40.222389221191406,0.41135577969743636,56948.0,2712629.7611461147,1481056.2425563347,537.0
2019-01-01,482.43412535858414,8.767053604125977,65.43061828613281,0.42332105745918014,61701.0,2933128.9675174486,1505803.0471095145,538.0
