ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1934-09-01,1.1601175497E7,59.03999710083008,0.0,24901.334603140866,276872.0,74.0
1,1934-10-01,1.1842809317999998E7,59.03999710083008,0.0,25419.9907964486,279564.0,74.0
1,1934-11-01,1.1613237188999997E7,59.03999710083008,0.0,24927.22584097209,282256.0,74.0
1,1934-12-01,1.1719702755E7,59.03999710083008,0.0,25155.74734950203,284948.0,74.0
1,1935-01-01,1.3421067140999999E7,57.400001525878906,0.0,29219.658603758264,287644.0,73.0
1,1935-02-01,1.4239923972000001E7,57.400001525878906,0.0,31002.42992119798,288519.0,73.0
1,1935-03-01,1.3083038139E7,57.400001525878906,0.0,28483.71759977455,289394.0,73.0
1,1935-04-01,1.2374473319999998E7,57.400001525878906,0.0,26932.97403472965,290269.0,73.0
1,1935-05-01,1.3541244321E7,57.400001525878906,0.0,29472.443123117224,291144.0,71.0
1,1935-06-01,1.3188829131E7,57.400001525878906,0.0,29060.75138980738,292019.0,71.0
1,1935-07-01,1.3505907969000002E7,57.400001525878906,0.0,29759.416228187103,292894.0,71.0
1,1935-08-01,1.3355052996000001E7,57.400001525878906,0.0,29427.011066938063,293769.0,71.0
1,1935-09-01,1.2336895398000002E7,57.400001525878906,0.0,27183.566981403823,294644.0,71.0
1,1935-10-01,1.2693715622999998E7,57.400001525878906,0.0,27969.793828557515,295519.0,71.0
1,1935-11-01,1.2526383627E7,57.400001525878906,0.0,27601.094591631852,296394.0,71.0
1,1935-12-01,1.2359565711000001E7,57.400001525878906,0.0,27233.520338514023,297269.0,71.0
1,1936-01-01,1.4411417859E7,50.0,0.0,31918.22261159688,298145.0,71.0
1,1936-02-01,1.5346227233999997E7,50.0,0.0,33988.626372183426,298917.0,71.0
1,1936-03-01,1.4382511872E7,50.0,0.0,31854.198468874165,299689.0,71.0
1,1936-04-01,1.3967380245000001E7,50.0,0.0,30718.829960993065,300461.0,71.0
1,1936-05-01,1.5199218509999998E7,50.0,0.0,33428.04734272583,301233.0,70.0
1,1936-06-01,1.4990953709999997E7,50.0,0.0,32970.00776742407,302005.0,70.0
1,1936-07-01,1.5270007377E7,50.0,0.0,33583.732374228974,302777.0,70.0
1,1936-08-01,1.4946303561E7,50.0,0.0,32871.80198306001,303549.0,70.0
1,1936-09-01,1.3797469077000001E7,50.0,0.0,30345.142364543306,304321.0,70.0
1,1936-10-01,1.4224279616999999E7,50.0,0.0,31283.838188154717,305093.0,70.0
1,1936-11-01,1.395441357E7,50.0,0.0,30690.31458104459,305865.0,70.0
1,1936-12-01,1.4043947369999997E7,50.0,0.0,30887.226070515397,306637.0,70.0
1,1937-01-01,1.7460529245E7,47.5,0.0,38954.40337687047,307410.0,70.0
1,1937-02-01,1.610719812E7,47.5,0.0,35935.124533371476,308403.0,70.0
1,1937-03-01,1.5895993595999999E7,47.5,0.0,35463.92964590057,309396.0,70.0
1,1937-04-01,1.4870871318E7,47.5,0.0,33176.886653007845,310389.0,70.0
1,1937-05-01,1.5911029889999999E7,47.5,0.0,35497.47852058912,311382.0,69.0
1,1937-06-01,1.5951640214999998E7,47.5,0.0,35588.075180238826,312375.0,69.0
