Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households),System Production In Spot,System Production Off Spot,Number of Active Actors
1944-08-01,84.13085489541422,35.400001525878906,0.0,0.18599126042376052,381505.0,3463753.909059303,1205551.7980923424,60.0
1944-09-01,75.63956550127939,35.400001525878906,0.0,0.16721928003272418,382212.0,3067914.86205938,1223578.2764671799,60.0
1944-10-01,79.31296032091643,35.400001525878906,0.0,0.17534019239814425,382919.0,2938163.4915188164,1248105.1169623677,59.0
1944-11-01,75.94728593897442,35.400001525878906,0.0,0.1678995346183689,383626.0,2752735.76669204,1408996.368373733,59.0
1944-12-01,74.00799018201664,35.400001525878906,0.0,0.16361228266135758,384333.0,2677161.986995303,1362552.8279625229,59.0
1945-01-01,83.23728443602276,34.79999923706055,0.0,0.19113218256710293,385051.0,2834979.599826226,1324809.6110897388,59.0
1945-02-01,79.9460147380861,34.79999923706055,0.0,0.18357466053791158,385642.0,2639795.0898938584,1138850.5331029086,59.0
1945-03-01,77.8645567005538,34.79999923706055,0.0,0.1787951594557636,386233.0,3019998.8150692186,1233347.2571662494,59.0
1945-04-01,75.5403044650151,34.79999923706055,0.0,0.1673030455961734,386824.0,2643616.235655312,1183785.5615018788,59.0
1945-05-01,79.7029570196043,34.79999923706055,0.0,0.1765222865871494,387415.0,3113719.104024501,1240385.8052322518,58.0
1945-06-01,79.68285988973109,34.79999923706055,0.0,0.1764777660147157,388006.0,3326473.613310718,1232957.1392965373,58.0
1945-07-01,82.47478770583663,34.79999923706055,0.0,0.18266121089998227,388597.0,3347779.084689002,1351056.1846259092,58.0
1945-08-01,77.8339041398373,34.79999923706055,0.0,0.17238279998137812,389188.0,3309057.6493324023,1414297.3415695743,58.0
1945-09-01,74.71076057682687,34.79999923706055,0.0,0.1654658178163982,389779.0,2873376.4010538054,1423919.081095519,58.0
1945-10-01,77.51663285792965,34.79999923706055,0.0,0.17168014066517545,390370.0,2691775.8921997747,1498058.44196764,57.0
1945-11-01,75.86562342535444,34.79999923706055,0.0,0.16802355978920555,390961.0,2867964.789324337,1432793.997509794,57.0
1945-12-01,76.43589345252994,34.79999923706055,0.0,0.16928656553263863,391552.0,2768479.25668327,1484470.8956877748,57.0
1946-01-01,81.17179909710215,33.63999938964844,0.0,0.1853053471613853,392154.0,3144739.952042796,1421745.5670795832,57.0
1946-02-01,81.61340585259032,33.63999938964844,0.0,0.18631349042147943,393407.0,2767030.0047676144,1206752.8552593275,57.0
1946-03-01,82.27640761984999,33.63999938964844,0.0,0.18782705480131726,394660.0,2821837.806377707,1325207.1304086512,57.0
1946-04-01,77.62557584463,33.63999938964844,0.0,0.17140852004921464,395913.0,2613198.9540609024,1569591.7209797609,57.0
1946-05-01,82.30924006744031,33.63999938964844,0.0,0.18175070420771716,397166.0,3034733.581234996,1492193.722686262,56.0
1946-06-01,81.8453247005665,33.63999938964844,0.0,0.18072630450048116,398419.0,3272321.870103265,1397012.3108676863,56.0
1946-07-01,85.59486552410476,33.63999938964844,0.0,0.18900584572216364,399672.0,3325252.107924435,1423746.232490979,53.0
1946-08-01,84.50881165429944,33.63999938964844,0.0,0.1866076939473116,400925.0,3225908.784277321,1432699.8554688012,53.0
1946-09-01,79.50793379268632,33.63999938964844,0.0,0.1755650101620362,402178.0,2798394.779332711,1382151.8991470775,52.0
1946-10-01,78.35970072174672,33.63999938964844,0.0,0.17302955077858684,403431.0,2622270.3731999574,1465877.9639516482,51.0
1946-11-01,76.10653659707327,33.63999938964844,0.0,0.16805425668544216,404684.0,2468616.497798268,1490026.5161222178,51.0
1946-12-01,75.24196623336873,33.63999938964844,0.0,0.16614515539647687,405937.0,2598106.010496115,1710560.3856348256,51.0
1947-01-01,85.37926694159772,32.47999954223633,0.0,0.19491467531647252,407193.0,2811256.67494854,1750969.3772482758,51.0
1947-02-01,83.16933696737806,32.47999954223633,0.0,0.18986959988549484,408498.0,2500667.7366066044,1435289.7515262582,51.0
1947-03-01,80.62210302877236,32.47999954223633,0.0,0.18405443498994345,409803.0,2541178.428234055,1567340.5124983545,51.0
1947-04-01,77.21774334542262,32.47999954223633,0.0,0.1762825159427643,411108.0,2246454.397026351,1992411.7546172268,51.0
1947-05-01,84.28565539883563,32.47999954223633,0.0,0.1924180518073704,412413.0,2689318.673253384,1836688.0215398138,51.0
1947-06-01,82.86941905476678,32.47999954223633,0.0,0.18918487848680435,413718.0,2944379.147398375,1689157.871750564,51.0
