ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1927-01-01,7900066.422000001,155.26666259765625,0.0,15079.013078334528,151798.0
1,1927-02-01,8573082.581999999,155.26666259765625,0.0,16363.61233819762,152359.0
1,1927-03-01,8063174.078999999,155.26666259765625,0.0,15390.339890249717,152920.0
1,1927-04-01,7570066.017000001,155.26666259765625,0.0,14449.134311260335,153481.0
1,1927-05-01,8131195.211999999,155.26666259765625,0.0,15520.17417186198,154042.0
1,1927-06-01,8299022.271,155.26666259765625,0.0,15840.509020370762,154603.0
1,1927-07-01,8523120.089999998,155.26666259765625,0.0,16268.247941235568,155164.0
1,1927-08-01,8240955.146999999,155.26666259765625,0.0,15729.674132046332,155725.0
1,1927-09-01,7739759.478,155.26666259765625,0.0,14773.032993919905,156286.0
1,1927-10-01,7933687.863,155.26666259765625,0.0,15143.186987953772,156847.0
1,1927-11-01,7811456.034000001,155.26666259765625,0.0,14909.880197649929,157408.0
1,1927-12-01,7827668.6729999995,155.26666259765625,0.0,14940.826062466804,157969.0
1,1928-01-01,8983901.733000001,138.72000122070312,0.0,17602.39962308446,158539.0
1,1928-02-01,9347623.808999998,138.72000122070312,0.0,18315.050041996812,161376.0
1,1928-03-01,9055122.915,138.72000122070312,0.0,17741.946308043436,164213.0
1,1928-04-01,8698305.039,138.72000122070312,0.0,17042.822360528957,167050.0
1,1928-05-01,9341818.194,138.72000122070312,0.0,18303.67551997269,169887.0
1,1928-06-01,8943044.964000002,138.72000122070312,0.0,17826.12613814115,172724.0
1,1928-07-01,9559782.149999999,138.72000122070312,0.0,19055.464066010536,175561.0
1,1928-08-01,9567225.036,138.72000122070312,0.0,19070.29993083657,178398.0
1,1928-09-01,8617549.749,138.72000122070312,0.0,17177.31817703196,181235.0
1,1928-10-01,9052771.344,138.72000122070312,0.0,18044.841505674845,184072.0
1,1928-11-01,8684618.463,138.72000122070312,0.0,17311.005904246536,186909.0
1,1928-12-01,8478455.802,138.72000122070312,0.0,16900.06135548182,189746.0
1,1929-01-01,9265171.659,139.54286193847656,0.0,18878.199137484527,192592.0
1,1929-02-01,9079870.649999999,139.54286193847656,0.0,18500.641208900994,193218.0
1,1929-03-01,8993347.737,139.54286193847656,0.0,18324.34691775252,193844.0
1,1929-04-01,8541700.359000001,139.54286193847656,0.0,17661.49285201398,194470.0
1,1929-05-01,9366873.617999999,139.54286193847656,0.0,19367.686114874516,195096.0
1,1929-06-01,9326926.989,139.54286193847656,0.0,19285.08931647931,195722.0
1,1929-07-01,9496599.054,139.54286193847656,0.0,19635.9166502727,196348.0
1,1929-08-01,9342428.459999999,139.54286193847656,0.0,19317.141954816863,196974.0
1,1929-09-01,8764429.889999999,139.54286193847656,0.0,18122.026522659606,197600.0
1,1929-10-01,9095264.105999999,139.54286193847656,0.0,18806.08488285866,198226.0
1,1929-11-01,8826904.338,139.54286193847656,0.0,18251.20470372151,198852.0
1,1929-12-01,8740621.946999999,139.54286193847656,0.0,18072.799341894748,199478.0
1,1930-01-01,9767487.114,135.8000030517578,0.0,20306.774953684446,200107.0
1,1930-02-01,1.059959109E7,135.8000030517578,0.0,22036.734840510184,202385.0
1,1930-03-01,9969150.218999999,135.8000030517578,0.0,20726.03604324622,204663.0
1,1930-04-01,9359481.087,135.8000030517578,0.0,19458.523353929544,206941.0
1,1930-05-01,1.0053250212000001E7,135.8000030517578,0.0,20900.88138591472,209219.0
1,1930-06-01,1.0260748296E7,135.8000030517578,0.0,21332.274758928335,211497.0
1,1930-07-01,1.0537818443999998E7,135.8000030517578,0.0,21908.30972659214,213775.0
1,1930-08-01,1.0188955244999997E7,135.8000030517578,0.0,21183.01449969373,216053.0
1,1930-09-01,9569286.753,135.8000030517578,0.0,19894.712968898497,218331.0
1,1930-10-01,9809056.004999999,135.8000030517578,0.0,20393.197398347955,220609.0
1,1930-11-01,9657930.965999998,135.8000030517578,0.0,20079.007009449488,222887.0
1,1930-12-01,9677975.957999999,135.8000030517578,0.0,20120.682088150832,225165.0
1,1931-01-01,9522877.131,176.06666564941406,0.0,19522.983961226066,227444.0
1,1931-02-01,9908420.154,176.06666564941406,0.0,20313.389901480547,227601.0
1,1931-03-01,9598371.12,176.06666564941406,0.0,19677.754656473775,227758.0
1,1931-04-01,9220146.501,176.06666564941406,0.0,18902.35164986715,227915.0
1,1931-05-01,9902266.242,176.06666564941406,0.0,20300.77124644408,228072.0
1,1931-06-01,9479569.220999997,176.06666564941406,0.0,19434.196641985392,228229.0
1,1931-07-01,1.0133306606999999E7,176.06666564941406,0.0,20774.43399042176,228386.0
1,1931-08-01,1.0141196019E7,176.06666564941406,0.0,20790.608807765784,228543.0
1,1931-09-01,9134546.418,176.06666564941406,0.0,18726.86171975656,228700.0
1,1931-10-01,9595878.465,176.06666564941406,0.0,19672.645019301366,228857.0
1,1931-11-01,9205638.819,176.06666564941406,0.0,18872.60981375692,229014.0
1,1931-12-01,8987107.746,176.06666564941406,0.0,18424.594525502842,229171.0
1,1932-01-01,1.0721359919999998E7,179.7166748046875,0.0,22168.342361478117,229337.0
