ConsumerUnit,Time (month),Consumption (KWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2014-01-01,4208760.0,31.244003295898438,5016736.835981722,2422176.0
1,2014-02-01,3823850.0,31.244003295898438,4647739.469730623,2425272.0
1,2014-03-01,3962580.0,31.244003295898438,4906449.531101077,2428368.0
1,2014-04-01,3727330.0,31.244003295898438,4606681.631520466,2431464.0
1,2014-05-01,4048940.0,31.244003295898438,4856054.102481481,2434560.0
1,2014-06-01,4063520.0,31.244003295898438,4765113.592721466,2437656.0
1,2014-07-01,4287430.0,31.244003295898438,5028120.770290768,2440752.0
1,2014-08-01,4071150.0,31.244003295898438,4960672.868904876,2443848.0
1,2014-09-01,3650850.0,31.244003295898438,4322181.531080983,2446944.0
1,2014-10-01,3684120.0,31.244003295898438,4406919.321739553,2450040.0
1,2014-11-01,3507539.9999999995,31.244003295898438,4269410.342857204,2453136.0
1,2014-12-01,3605850.0,31.244003295898438,4394726.079276074,2456232.0
1,2015-01-01,3740300.0000000005,17.53499984741211,4523696.903679215,2459337.0
1,2015-02-01,3605120.0,17.53499984741211,4307015.555118249,2462443.0
1,2015-03-01,3649650.0000000005,17.53499984741211,4363131.619616721,2465549.0
1,2015-04-01,3588200.0,17.53499984741211,4276129.153950714,2468655.0
1,2015-05-01,3877240.0,17.53499984741211,4611038.711947144,2471761.0
1,2015-06-01,4024140.0000000005,17.53499984741211,4853322.080485214,2474867.0
1,2015-07-01,4273540.0,17.53499984741211,5121730.9467704315,2477973.0
1,2015-08-01,4095530.0,17.53499984741211,4816173.446904752,2481079.0
1,2015-09-01,3702820.0,17.53499984741211,4306556.666051575,2484185.0
1,2015-10-01,3631210.0,17.53499984741211,4263887.705910315,2487291.0
1,2015-11-01,3477840.0,17.53499984741211,4119828.678764093,2490397.0
1,2015-12-01,3838549.9999999995,17.53499984741211,4450274.217920364,2493503.0
1,2016-01-01,3729070.0,27.45599937438965,4374729.950924609,2496611.0
1,2016-02-01,3618270.0,27.45599937438965,4279199.751662288,2499727.0
1,2016-03-01,3861050.0,27.45599937438965,4541611.638350019,2502843.0
1,2016-04-01,3501930.0,27.45599937438965,4265462.346837371,2505959.0
1,2016-05-01,3718470.0,27.45599937438965,4252215.734103421,2509075.0
1,2016-06-01,4011410.0,27.45599937438965,4541284.314779489,2512191.0
1,2016-07-01,4080170.0,27.45599937438965,4496722.787280791,2515307.0
1,2016-08-01,4066530.0,27.45599937438965,4623946.031116658,2518423.0
1,2016-09-01,3679700.0000000005,27.45599937438965,4149106.9162006937,2521539.0
1,2016-10-01,3565920.0,27.45599937438965,3889227.0150706414,2524655.0
1,2016-11-01,3457230.0,27.45599937438965,3975175.72744437,2527771.0
1,2016-12-01,3358430.0,27.45599937438965,3925258.83186791,2530887.0
1,2017-01-01,3497380.0,25.5,4209663.898480382,2534003.0
1,2017-02-01,3209220.0,25.5,3789214.966549655,2537129.0
1,2017-03-01,3636670.0,25.5,4314533.952912105,2540255.0
1,2017-04-01,3231760.0,25.5,3839516.2712050267,2543381.0
1,2017-05-01,3733910.0,25.5,4124088.5296739694,2546507.0
1,2017-06-01,3942949.9999999995,25.5,4509033.02102145,2549633.0
1,2017-07-01,4023300.0,25.5,3932175.5101288846,2552759.0
1,2017-08-01,4016200.0,25.5,4221431.192514378,2555885.0
1,2017-09-01,3585330.0,25.5,3648669.24508015,2559011.0
1,2017-10-01,3444560.0,25.5,3533160.3863932174,2562137.0
1,2017-11-01,3585600.0,25.5,3594488.0682654562,2565263.0
1,2017-12-01,3510990.0,25.5,3671477.1902082264,2568389.0
