ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2018-01-01,2457641.089677645,0.0,83.66522979736328,2250.142619967294,4753.0
1,2018-02-01,4344850.89953201,0.0,45.52501678466797,4057.495959473692,9498.0
1,2018-03-01,6773614.866728093,0.0,32.563072204589844,6511.364631382787,14243.0
1,2018-04-01,8422605.346098628,0.0,37.43197250366211,8043.323004289461,18988.0
1,2018-05-01,1.201102713119594E7,0.0,50.009639739990234,11180.726560020908,23733.0
1,2018-06-01,1.4706971762903584E7,13.485908508300781,54.018333435058594,13179.396478185605,28478.0
1,2018-07-01,1.8370891152352203E7,13.485908508300781,43.388397216796875,16408.21395513196,33223.0
1,2018-08-01,2.044090274352011E7,13.485908508300781,39.16938781738281,18359.044852635598,37968.0
1,2018-09-01,2.0360084975834448E7,13.485908508300781,30.529319763183594,18882.409672276517,42713.0
1,2018-10-01,2.1965636808830082E7,13.485908508300781,23.649707794189453,20392.299215936204,47458.0
1,2018-11-01,2.299828006800376E7,13.485908508300781,23.568931579589844,20953.120575020912,52203.0
1,2018-12-01,2.682976134801811E7,8.766613006591797,40.221778869628906,23425.888942209607,56948.0
1,2019-01-01,2.97666675821328E7,8.766613006591797,65.2021713256836,26080.262052876387,61701.0
1,2019-02-01,2.8360712264819287E7,8.766613006591797,40.883888244628906,25829.952505891208,66446.0
1,2019-03-01,3.1591324951345462E7,8.766613006591797,25.301584243774414,29109.04067389675,71191.0
1,2019-04-01,3.143089453871059E7,8.766613006591797,23.99858856201172,27101.142508883935,75936.0
1,2019-05-01,3.810294860428023E7,8.766613006591797,36.06868362426758,34074.26941154427,80681.0
1,2019-06-01,4.1170068418814234E7,10.714008331298828,50.68778610229492,36694.10910285603,85426.0
1,2019-07-01,4.653223177354249E7,10.714008331298828,48.5749626159668,42100.89894299921,90171.0
1,2019-08-01,4.7690865678292856E7,10.714008331298828,43.9210319519043,43605.10079474987,94916.0
1,2019-09-01,4.433798180778868E7,10.714008331298828,30.443470001220703,41112.31143583787,99661.0
1,2019-10-01,4.5103336617900066E7,10.714008331298828,20.035255432128906,40985.860624796034,104406.0
1,2019-11-01,4.4884260582396105E7,10.714008331298828,21.070777893066406,40013.3669758667,109151.0
1,2019-12-01,5.0087668056419306E7,8.971272468566895,31.132144927978516,42957.75909439863,113896.0
1,2020-01-01,6.4487963068429224E7,8.971272468566895,121.12212371826172,53523.74585604976,118649.0
1,2020-02-01,5.9338466251628205E7,8.971272468566895,72.02410888671875,50064.28217680208,123394.0
1,2020-03-01,6.406715161856922E7,8.971272468566895,37.049468994140625,52865.065249969244,128139.0
1,2020-04-01,6.1974117123185635E7,8.971272468566895,29.15558624267578,44615.54303587994,132884.0
1,2020-05-01,7.32391218029876E7,8.971272468566895,38.29471206665039,52263.67664016508,137629.0
1,2020-06-01,7.731882276832977E7,16.47157096862793,50.156219482421875,55366.11490682983,142374.0
1,2020-07-01,8.555312845544878E7,16.47157096862793,43.035953521728516,58806.45116342798,147119.0
1,2020-08-01,8.598996870000133E7,16.47157096862793,39.9940299987793,59349.15165770787,151864.0
1,2020-09-01,7.85202288998515E7,16.47157096862793,24.8877010345459,50069.30144321084,156609.0
1,2020-10-01,7.85586534900586E7,16.47157096862793,18.853351593017578,46623.22912666276,161354.0
1,2020-11-01,7.698060420525318E7,16.47157096862793,19.622512817382812,44145.130849565074,166099.0
1,2020-12-01,8.468116280300324E7,8.173198699951172,28.82234001159668,46169.75893779512,170844.0
1,2021-01-01,9.444061726251085E7,8.173198699951172,54.752437591552734,50626.842281835925,175600.0
1,2021-02-01,8.566526736715156E7,8.173198699951172,33.49382400512695,44079.14437859381,179999.0
1,2021-03-01,9.125887915103354E7,8.173198699951172,21.415023803710938,44063.040709449866,184398.0
1,2021-04-01,8.717054575613803E7,8.173198699951172,19.726831436157227,33194.05684184721,188797.0
1,2021-05-01,1.0179823731394863E8,8.173198699951172,25.789661407470703,48224.48790795967,193196.0
1,2021-06-01,1.0627011212370065E8,8.923789024353027,36.317989349365234,56625.155088716165,197595.0
1,2021-07-01,1.163476685032106E8,8.923789024353027,24.03234100341797,47088.73453955663,201994.0
1,2021-08-01,1.1577404400700456E8,8.923789024353027,21.745716094970703,44331.090477507365,206393.0
1,2021-09-01,1.0471603881033343E8,8.923789024353027,20.520946502685547,34397.74229890484,210792.0
1,2021-10-01,1.0382533822296385E8,8.923789024353027,20.242542266845703,28041.898432250204,215191.0
1,2021-11-01,1.0087006204587156E8,8.923789024353027,19.749528884887695,25305.996201427904,219590.0
1,2021-12-01,1.1005744873648429E8,6.055222034454346,21.626989364624023,26984.523640844844,223989.0
