Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2018-01-01,517.0715576017778,0.0,83.66522979736328,0.4734152366857341,4753.0
2018-02-01,457.4490497177037,0.0,45.52501678466797,0.42719477358114255,9498.0
2018-03-01,475.57500148099064,0.0,32.563072204589844,0.4571624398920724,14243.0
2018-04-01,443.57517741468297,0.0,37.43197250366211,0.4236003267479177,18988.0
2018-05-01,506.08972080015167,0.0,50.009639739990234,0.47110464585264855,23733.0
2018-06-01,516.4327438614896,13.485908508300781,54.018333435058594,0.46279220725421744,28478.0
2018-07-01,552.9570064413208,13.485908508300781,43.388397216796875,0.4938811653111387,33223.0
2018-08-01,538.3718484974189,13.485908508300781,39.16938781738281,0.4835399508174146,37968.0
2018-09-01,476.6718782923232,13.485908508300781,30.529319763183594,0.44207640934320974,42713.0
2018-10-01,462.84370851595094,13.485908508300781,23.649707794189453,0.4296915001882971,47458.0
2018-11-01,440.55474392036854,13.485908508300781,23.568931579589844,0.4013777096147906,52203.0
2018-12-01,471.12737442491397,8.766613006591797,40.221778869628906,0.41135577969743636,56948.0
2019-01-01,482.43412535858414,8.766613006591797,65.2021713256836,0.42268783411737876,61701.0
2019-02-01,426.82347907511365,8.766613006591797,40.883888244628906,0.3887360037608164,66446.0
2019-03-01,443.75446641780565,8.766613006591797,25.301584243774414,0.40888652602009734,71191.0
2019-04-01,413.9129600090866,8.766613006591797,23.99858856201172,0.35689452313637715,75936.0
2019-05-01,472.266694993245,8.766613006591797,36.06868362426758,0.42233325580426956,80681.0
2019-06-01,481.9384064863156,10.714008331298828,50.68778610229492,0.42954263459433933,85426.0
2019-07-01,516.0442988183562,10.714008331298828,48.5749626159668,0.466900654789225,90171.0
2019-08-01,502.45340287728095,10.714008331298828,43.9210319519043,0.45940727374467816,94916.0
2019-09-01,444.8879749224872,10.714008331298828,30.443470001220703,0.4125215624551015,99661.0
2019-10-01,431.9994630337337,10.714008331298828,20.035255432128906,0.3925623108326728,104406.0
2019-11-01,411.2125561721835,10.714008331298828,21.070777893066406,0.36658726879155207,109151.0
2019-12-01,439.7666991707347,8.971272468566895,31.132144927978516,0.37716652994309396,113896.0
2020-01-01,543.5188231148177,8.971272468566895,121.12212371826172,0.45110996178686513,118649.0
2020-02-01,480.88614392717636,8.971272468566895,72.02410888671875,0.40572703840382907,123394.0
2020-03-01,499.9816788311911,8.971272468566895,37.049468994140625,0.4125603075563977,128139.0
2020-04-01,466.3775713216038,8.971272468566895,29.15558624267578,0.33574804367628863,132884.0
2020-05-01,532.1489293680837,8.971272468566895,38.29471206665039,0.3797431983096955,137629.0
2020-06-01,543.0683995146586,16.47157096862793,50.156219482421875,0.38887798970900467,142374.0
2020-07-01,581.5232906694581,16.47157096862793,43.035953521728516,0.3997203023635831,147119.0
2020-08-01,566.2301055549702,16.47157096862793,39.9940299987793,0.3908046124012792,151864.0
2020-09-01,501.37748509025664,16.47157096862793,24.8877010345459,0.3197089659164597,156609.0
2020-10-01,486.87145190078957,16.47157096862793,18.853351593017578,0.28894994314775435,161354.0
2020-11-01,463.46216149705896,16.47157096862793,19.622512817382812,0.26577601821543223,166099.0
2020-12-01,495.6636701464494,8.173198699951172,28.82234001159668,0.27024512969606845,170844.0
2021-01-01,537.8167265802962,8.173198699951172,54.752437591552734,0.2883077578692251,175600.0
2021-02-01,475.9207863654798,8.173198699951172,33.49382400512695,0.24488549591160957,179999.0
2021-03-01,494.9016953139405,8.173198699951172,21.415023803710938,0.23895617473860814,184398.0
2021-04-01,461.7157416431405,8.173198699951172,19.726831436157227,0.17581877276570715,188797.0
2021-05-01,526.9168842781424,8.173198699951172,25.789661407470703,0.2496143186606331,193196.0
2021-06-01,537.8178059920544,8.923789024353027,36.317989349365234,0.2865718013548732,197595.0
2021-07-01,575.9956824212601,8.923789024353027,24.03234100341797,0.23311947156626747,201994.0
2021-08-01,560.939793864133,8.923789024353027,21.745716094970703,0.21478969963858932,206393.0
2021-09-01,496.77425643525373,8.923789024353027,20.520946502685547,0.16318333854655226,210792.0
2021-10-01,482.4799175499905,8.923789024353027,20.242542266845703,0.13031166931818805,215191.0
2021-11-01,459.3563573022451,8.923789024353027,19.749528884887695,0.11524202468886517,219590.0
2021-12-01,491.35200975271107,6.055222034454346,21.626989364624023,0.12047253945883434,223989.0
