Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1966,2.6778626872232505,27.5939998626709,3.8020942099907407,942691.0
1967,2.787225597547283,27.917999267578125,3.99381869356539,972904.0
1968,2.84907578138512,27.236000061035156,4.117671783916722,1008112.0
1969,2.918591963470615,11.989999771118164,4.203901373896649,1040867.0
1927,0.6239521849825124,81.60000610351562,0.876625684953447,157969.0
1928,0.6245428294701258,61.19999694824219,0.8599160498880262,189746.0
1929,0.5553235891701189,59.39999771118164,0.7646038366295236,199478.0
2013,6.030786267959865,27.25,6.921922412249304,2419078.0
2014,5.737540922699072,31.244003295898438,6.930401223086006,2456232.0
2015,5.512493621615332,17.53499984741211,6.56190256502405,2493503.0
1960,1.9620650252663685,26.400001525878906,2.563648110148447,765525.0
2016,5.328984738585638,27.45599937438965,6.142167286630336,2530887.0
1961,2.03672811226387,26.400001525878906,2.661208870954825,793757.0
2017,5.105325962430665,25.5,5.589160975379051,2568389.0
1962,2.0238459526543786,26.400001525878906,2.6443718464403765,822554.0
1963,2.221638274848272,26.400001525878906,2.9028129870202215,846561.0
1964,2.457540073485895,26.400001525878906,3.443792880240484,879887.0
1965,2.643571203958131,23.099998474121094,3.707944126636442,911324.0
1999,6.865841023140157,23.073999404907227,8.340237082739062,1913969.0
1955,1.5754263677778397,26.600000381469727,2.0805982874862052,624181.0
1956,1.7085230294418339,28.0,2.2323720378927314,650938.0
1957,1.7394563322498893,26.0,2.2727783727217954,684133.0
1958,1.8067220341184695,28.600000381469727,2.3606896461404285,706517.0
1959,1.8763847764055865,28.600000381469727,2.45171389260533,735235.0
2002,7.1441255263492405,24.549001693725586,8.678692662167123,2009524.0
1991,5.461658759582039,30.750999450683594,6.793272603967639,1672760.0
2003,7.210037379766988,23.61600112915039,8.759579673254738,2041274.0
1992,5.582627225436136,31.56300163269043,6.940856578909056,1701667.0
2004,7.22483306009709,22.959999084472656,8.77755455259119,2073511.0
1993,5.7011036833640585,31.992002487182617,6.9524207039006205,1730441.0
2005,7.098568555495808,22.0570011138916,8.762526334131639,2121897.0
1994,5.81443998255529,32.94200134277344,7.126785986468808,1760059.0
1950,1.2043636108459275,28.599998474121094,1.6244028412748133,484549.0
2006,7.167912238855261,20.856000900268555,8.914365194877918,2160537.0
1995,5.92131534538351,33.93000030517578,7.25778061172898,1790511.0
1951,1.2729688059066007,27.0,1.6811425591612867,512301.0
2007,7.1309345450784845,20.124000549316406,8.907773548886167,2197670.0
1996,6.023782852701672,28.39000129699707,7.383376332092802,1820812.0
1952,1.287389979871762,28.5,1.7001925490724046,537744.0
2008,7.078171727349782,19.18800163269043,8.905659387370482,2234567.0
1997,6.123243638376294,27.715999603271484,7.505282295813342,1851354.0
1953,1.3212698361168838,28.5,1.744945923387326,567678.0
2009,6.827209194170027,21.17500114440918,8.471215999637888,2271379.0
1998,6.2185223063545445,26.20800018310547,7.62207170979851,1882431.0
1954,1.4603847160243049,28.5,1.9286678103462969,596106.0
2010,6.701701020894182,23.009998321533203,8.09640108460667,2308205.0
2011,6.461228744933615,25.308000564575195,7.92304756841318,2345086.0
2012,6.303867939963694,26.4320011138916,7.5416761041489355,2382031.0
1988,5.143759321224808,26.219999313354492,6.45211750500233,1581904.0
1944,0.9553927691666461,27.0,1.2886079297923212,384333.0
1989,5.2100419360244175,25.65199851989746,6.482620383423609,1612789.0
1945,0.9408198430756386,27.0,1.2689277577545213,391552.0
1946,0.9661648243223586,26.099998474121094,1.3031509080101982,405937.0
1947,0.9812274847197378,25.19999885559082,1.3234574126730487,421548.0
1948,1.0691519494517079,28.600000381469727,1.4419827946425636,438962.0
1949,1.1610520658503323,25.30000114440918,1.565991737937649,458988.0
1980,4.035915455010655,8.600000381469727,5.836348543862036,1355205.0
1981,4.301283976784977,7.860000133514404,6.223690412000918,1378535.0
1982,4.443805208289066,9.531000137329102,6.4573409751947715,1400388.0
1983,4.375490307989846,9.309000015258789,6.364387842428089,1425363.0
1984,4.435528709681775,22.79199981689453,5.675714545719511,1454652.0
1940,0.7216402846466816,31.5,0.973328113116966,354398.0
1985,4.434750901693242,21.386001586914062,5.6739987852683536,1488835.0
1941,0.78462563263792,30.599998474121094,1.0582869323844821,366540.0
1986,4.522540476692752,28.35500144958496,5.725468698701538,1518758.0
1942,0.8842824513307989,27.899999618530273,1.1926583195386176,372624.0
1987,4.72267674498568,27.328001022338867,5.926108327085372,1548587.0
1943,0.9522313145189262,27.0,1.2843321468673994,376266.0
2000,7.202035673922183,23.05500030517578,8.74862672816662,1946073.0
2001,7.186909593944669,24.472000122070312,8.728051407134979,1977731.0
1990,5.337923299606829,23.83700180053711,6.639433417876298,1642964.0
1977,3.772648003529288,5.579999923706055,5.490349608843102,1281013.0
1933,0.5266851873658301,54.599998474121094,0.7251639449264937,254841.0
1978,3.831843224236795,6.720999717712402,5.581879810433818,1305640.0
1934,0.5318960482965116,53.29999923706055,0.7323232277323085,284948.0
1979,3.9803031006056653,6.161999702453613,5.749362180867348,1330523.0
1935,0.5357684643509454,53.29999923706055,0.7376705909512528,297269.0
1936,0.5772846505461252,40.0,0.7948465414007473,306637.0
1937,0.602990854239918,38.0,0.8302352402040308,318333.0
1938,0.6325965694822283,38.0,0.8709752931976322,329096.0
1939,0.6631115966433289,33.29999923706055,0.9130155942246337,340476.0
1970,3.014032007852684,11.59000015258789,4.3668280856988915,1077383.0
1971,3.1081946434239343,10.920000076293945,4.503264133360348,1109081.0
1972,3.1404561199092487,10.300000190734863,4.549993975415462,1141526.0
1973,3.25980429063992,9.4399995803833,4.72729769544129,1174009.0
1974,3.4066574054275076,8.180000305175781,4.944412258641498,1197251.0
1930,0.5627490848869167,63.0,0.7747913497533493,225165.0
1975,3.5547541746172056,7.099999904632568,5.16508424450934,1223656.0
1931,0.5029861221408645,68.4000015258789,0.6925204766110231,229171.0
1976,3.638929582554183,6.269999980926514,5.293981723315073,1253196.0
1932,0.5127113487522117,53.29999923706055,0.7059057828283459,247740.0
