Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1989,5.210041417493405,25.65199851989746,6.6776189506287515,1612789.0
2013,6.426332282829866,10.001888672510782,7.652255890514198,2419078.0
2014,6.14307642824432,10.001871585845947,7.625492045686252,2456232.0
2015,6.008279222364379,10.001553773880005,7.371312639584341,2493503.0
2016,5.877690577937169,10.002313454945883,7.289033436877728,2530887.0
2017,5.668206006714754,71.23469432195027,6.435276822973992,2568389.0
2018,5.734616198200566,96.75353582700093,5.975205078859641,2606011.0
2000,7.202034125046574,10.002634207407633,9.477986798281592,1946073.0
2001,7.18691150632518,10.001997709274292,9.123660898656638,1977731.0
1990,5.337924127587657,23.83700180053711,6.83917821448408,1642964.0
1999,6.865840507151136,10.00480341911316,9.028729937782442,1913969.0
2002,7.144125718843361,10.00212017695109,8.723248468879259,2009524.0
1991,5.46166081774461,30.750999450683594,6.997715065952811,1672760.0
2003,7.210035404753332,10.002138217290243,8.8037441942385,2041274.0
1992,5.582628943456028,31.56300163269043,7.149704529647176,1701667.0
2004,7.224830625826129,10.002061684926352,8.853080367798842,2073511.0
1993,5.7011061179320945,31.992002487182617,7.159730715276727,1730441.0
2005,7.098569259787514,10.001971880594889,8.663475717275695,2121897.0
1994,5.814439233797713,32.94200134277344,7.035229978463909,1760059.0
2006,7.167913043584909,10.00187055269877,8.735339831435365,2160537.0
1995,5.921314267686884,33.93000030517578,7.164544284591971,1790511.0
2007,7.131008914666183,10.00174609820048,8.70256571303023,2197670.0
1996,6.023783616420056,28.39000129699707,7.288528013660068,1820812.0
2008,7.080822773639424,10.001631339391073,8.67580906355793,2234567.0
1997,6.123247685561663,27.715999603271484,7.408875439784648,1851354.0
2009,6.930057755090797,10.001547257105509,8.459713753216441,2271379.0
1998,6.218524150856068,26.20800018310547,7.524156062458346,1882431.0
2010,6.852120293621882,10.00150458017985,8.36972457423408,2308205.0
2011,6.640860842997578,10.00148049990336,8.106518285118945,2345086.0
2012,6.546463460048318,10.001561800638834,7.85276840431314,2382031.0
