ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1999-01-01,998949.4718999999,17.3015079498291,1312335.4096639545,1885028.0
1,1999-02-01,1029276.6456000002,25.923625946044922,1351896.7809514923,1887659.0
1,1999-03-01,991733.3447999998,26.063899993896484,1249412.0149450528,1890290.0
1,1999-04-01,968881.1514000001,21.443456649780273,1221660.6482904076,1892921.0
1,1999-05-01,1021889.1432,19.747350692749023,1289111.398146461,1895552.0
1,1999-06-01,1162224.861,18.931772232055664,1466405.135196004,1898183.0
1,1999-07-01,1214681.751,18.4953556060791,1532641.1497791954,1900814.0
1,1999-08-01,1203629.3067,18.241134643554688,1518554.0628043849,1903445.0
1,1999-09-01,1119503.2064999999,18.088481903076172,1412196.2234097063,1906076.0
1,1999-10-01,1128438.9591,17.995046615600586,1423318.1571425546,1908707.0
1,1999-11-01,1092251.0715,17.932876586914062,1377653.7530639593,1911338.0
1,1999-12-01,1112762.037,17.88570785522461,1403091.505255306,1913969.0
1,2000-01-01,1087242.6441,17.86271095275879,1362966.8823491712,1916604.0
1,2000-02-01,1133066.1129,17.893043518066406,1428782.849406864,1919283.0
1,2000-03-01,1170543.4539,17.840087890625,1470275.6839211462,1921962.0
1,2000-04-01,1063687.5903,17.843809127807617,1330353.6038979492,1924641.0
1,2000-05-01,1212278.7615,17.89468765258789,1529246.6325913477,1927320.0
1,2000-06-01,1215462.8988,176.02622985839844,1535474.7443163996,1929999.0
1,2000-07-01,1250063.3487,178.80282592773438,1579356.482484372,1932678.0
1,2000-08-01,1233792.1469999999,17.75922203063965,1556911.8457115577,1935357.0
1,2000-09-01,1142894.4591,17.727346420288086,1434817.671562508,1938036.0
1,2000-10-01,1164377.7774,17.738435745239258,1464138.8189885854,1940715.0
1,2000-11-01,1115666.244,17.737085342407227,1405103.8062269555,1943394.0
1,2000-12-01,1120640.472,17.72484016418457,1401104.1729139637,1946073.0
1,2001-01-01,1186170.4107,17.760610580444336,1494025.0395030081,1948757.0
1,2001-02-01,1132756.0464,195.62535095214844,1431616.4470486892,1951391.0
1,2001-03-01,1177594.071,17.721824645996094,1482500.1710361156,1954025.0
1,2001-04-01,1105803.4409999999,17.71451187133789,1387893.8331497835,1956659.0
1,2001-05-01,1220425.6422,200.0750274658203,1541592.8583627208,1959293.0
1,2001-06-01,1210108.9401,201.2099609375,1532785.627166504,1961927.0
1,2001-07-01,1268233.1508,200.77085876464844,1606077.1945218039,1964561.0
1,2001-08-01,1275387.0459,200.47186279296875,1616627.9062904534,1967195.0
1,2001-09-01,1153927.4124,17.649322509765625,1452105.6539862258,1969829.0
1,2001-10-01,1174888.2081,17.64672088623047,1477111.323983704,1972463.0
1,2001-11-01,1116109.9593,17.64813232421875,1402651.5419486973,1975097.0
1,2001-12-01,1087431.3516,17.650733947753906,1357106.8307899307,1977731.0
1,2002-01-01,1131566.4642,17.679330825805664,1421761.7113604331,1980374.0
1,2002-02-01,1078370.8926,17.681364059448242,1359062.7807173626,1983024.0
1,2002-03-01,1156500.4179,17.670635223388672,1452355.3853228574,1985674.0
1,2002-04-01,1120902.8457,17.673994064331055,1408603.588562374,1988324.0
1,2002-05-01,1228222.3116,208.71142578125,1553011.52313737,1990974.0
1,2002-06-01,1236008.3477999999,208.66732788085938,1577768.343716516,1993624.0
1,2002-07-01,1307683.0292999998,205.2610321044922,1666245.5466243345,1996274.0
1,2002-08-01,1286051.8881,202.7174530029297,1640097.1080960464,1998924.0
1,2002-09-01,1186853.9013,17.627103805541992,1496104.787009176,2001574.0
1,2002-10-01,1197718.5977999999,17.619224548339844,1507295.2416540128,2004224.0
1,2002-11-01,1149700.9296,17.61676025390625,1449214.8681201644,2006874.0
1,2002-12-01,1173603.828,17.609668731689453,1475187.651291572,2009524.0
1,2003-01-01,1200896.5245,203.7436981201172,1526235.509349227,2012179.0
1,2003-02-01,1125935.5239,202.35401916503906,1427277.607414899,2014824.0
1,2003-03-01,1193581.4375999998,201.7924041748047,1508429.2620202976,2017469.0
1,2003-04-01,1142785.8849,17.586000442504883,1438014.6839678825,2020114.0
1,2003-05-01,1249979.1771,202.93983459472656,1589712.911516925,2022759.0
1,2003-06-01,1252547.0772,201.4801025390625,1604305.0193751233,2025404.0
1,2003-07-01,1325027.5881,198.08802795410156,1706162.2980382834,2028049.0
1,2003-08-01,1308328.5851999999,193.37989807128906,1676035.4066631065,2030694.0
1,2003-09-01,1218419.6304,190.34547424316406,1541563.360426828,2033339.0
1,2003-10-01,1238805.5598,190.54592895507812,1571939.823381293,2035984.0
1,2003-11-01,1149450.6963,190.04937744140625,1453772.8376527634,2038629.0
1,2003-12-01,1207523.2797,17.540607452392578,1521162.0737945652,2041274.0
1,2004-01-01,1166467.5237,17.538162231445312,1471274.3188915402,2043921.0
1,2004-02-01,1176548.0229,192.02072143554688,1501231.1477497004,2046611.0
1,2004-03-01,1232158.647,190.2599639892578,1562794.9688214036,2049301.0
1,2004-04-01,1166096.7651,189.90757751464844,1482477.287934384,2051991.0
1,2004-05-01,1287945.5643,189.0595245361328,1651487.0948414323,2054681.0
1,2004-06-01,1297125.8433,186.357666015625,1675340.892662862,2057371.0
1,2004-07-01,1354059.1949999998,182.15402221679688,1753486.5067911616,2060061.0
1,2004-08-01,1331983.7343000001,177.5884552001953,1710340.4964820205,2062751.0
1,2004-09-01,1237550.4108,175.0547637939453,1579039.2954964098,2065441.0
1,2004-10-01,1222962.4182,173.86032104492188,1549632.1898156868,2068131.0
1,2004-11-01,1201907.9538,173.9677276611328,1525771.9831694623,2070821.0
1,2004-12-01,1199476.8573,17.492155075073242,1511914.5794217093,2073511.0
1,2005-01-01,1227851.2692,174.61212158203125,1575363.8081598142,2076203.0
1,2005-02-01,1133798.2311,172.48353576660156,1444759.9371256605,2080357.0
1,2005-03-01,1230053.8941,17.483642578125,1547458.797537862,2084511.0
1,2005-04-01,1185413.9769,172.12600708007812,1495622.1286548742,2088665.0
1,2005-05-01,1289958.1337999997,172.57858276367188,1648977.4771056494,2092819.0
1,2005-06-01,1286374.1937,170.87918090820312,1652686.0916261696,2096973.0
1,2005-07-01,1345383.3126,168.3884735107422,1733908.187884035,2101127.0
1,2005-08-01,1340114.6799000003,165.4702606201172,1717825.5528918083,2105281.0
1,2005-09-01,1235434.104,163.55792236328125,1576418.061243678,2109435.0
1,2005-10-01,1214871.4149,162.41845703125,1533714.6285779192,2113589.0
1,2005-11-01,1185994.3131000001,162.84327697753906,1504484.0602070761,2117743.0
