ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1999-01-01,998949.4718999999,1.7301506996154785,1312335.4096639545,1885028.0
1,1999-02-01,1029276.6456000002,2.592362642288208,1351896.7809514923,1887659.0
1,1999-03-01,991733.3447999998,2.6063899993896484,1249412.0149450528,1890290.0
1,1999-04-01,968881.1514000001,2.144345760345459,1221660.6482904076,1892921.0
1,1999-05-01,1021889.1432,1.974735140800476,1289111.398146461,1895552.0
1,1999-06-01,1162224.861,1.8931772708892822,1466405.135196004,1898183.0
1,1999-07-01,1214681.751,1.8495354652404785,1532641.1497791954,1900814.0
1,1999-08-01,1203629.3067,1.8241134881973267,1518554.0628043849,1903445.0
1,1999-09-01,1119503.2064999999,1.8088481426239014,1412196.2234097063,1906076.0
1,1999-10-01,1128438.9591,1.7995046377182007,1423318.1571425546,1908707.0
1,1999-11-01,1092251.0715,1.7932876348495483,1377653.7530639593,1911338.0
1,1999-12-01,1112762.037,1.788570761680603,1403091.505255306,1913969.0
1,2000-01-01,1087242.6441,1.786271095275879,1362966.8823491712,1916604.0
1,2000-02-01,1133066.1129,1.7893043756484985,1428782.849406864,1919283.0
1,2000-03-01,1170543.4539,1.7840087413787842,1470275.6839211462,1921962.0
1,2000-04-01,1063687.5903,1.7843807935714722,1330353.6038979492,1924641.0
1,2000-05-01,1212278.7615,1.7894686460494995,1529246.6325913477,1927320.0
1,2000-06-01,1215462.8988,17.602622985839844,1535474.7443163996,1929999.0
1,2000-07-01,1250063.3487,17.880281448364258,1579356.482484372,1932678.0
1,2000-08-01,1233792.1469999999,1.775922179222107,1556911.8457115577,1935357.0
1,2000-09-01,1142894.4591,1.772734522819519,1434817.671562508,1938036.0
1,2000-10-01,1164377.7774,1.77384352684021,1464138.8189885854,1940715.0
1,2000-11-01,1115666.244,1.7737085819244385,1405103.8062269555,1943394.0
1,2000-12-01,1120640.472,1.7724840641021729,1401104.1729139637,1946073.0
1,2001-01-01,1186170.4107,1.7760610580444336,1494025.0395030081,1948757.0
1,2001-02-01,1132756.0464,19.562536239624023,1431616.4470486892,1951391.0
1,2001-03-01,1177594.071,1.7721823453903198,1482500.1710361156,1954025.0
1,2001-04-01,1105803.4409999999,1.7714511156082153,1387893.8331497835,1956659.0
1,2001-05-01,1220425.6422,20.00750160217285,1541592.8583627208,1959293.0
1,2001-06-01,1210108.9401,20.120996475219727,1532785.627166504,1961927.0
1,2001-07-01,1268233.1508,20.077085494995117,1606077.1945218039,1964561.0
1,2001-08-01,1275387.0459,20.04718589782715,1616627.9062904534,1967195.0
1,2001-09-01,1153927.4124,1.76493239402771,1452105.6539862258,1969829.0
1,2001-10-01,1174888.2081,1.7646721601486206,1477111.323983704,1972463.0
1,2001-11-01,1116109.9593,1.7648131847381592,1402651.5419486973,1975097.0
1,2001-12-01,1087431.3516,1.7650734186172485,1357106.8307899307,1977731.0
1,2002-01-01,1131566.4642,1.7679331302642822,1421761.7113604331,1980374.0
1,2002-02-01,1078370.8926,1.7681363821029663,1359062.7807173626,1983024.0
1,2002-03-01,1156500.4179,1.7670634984970093,1452355.3853228574,1985674.0
1,2002-04-01,1120902.8457,1.7673994302749634,1408603.588562374,1988324.0
1,2002-05-01,1228222.3116,20.87114143371582,1553011.52313737,1990974.0
1,2002-06-01,1236008.3477999999,20.86673355102539,1577768.343716516,1993624.0
1,2002-07-01,1307683.0292999998,20.52610206604004,1666245.5466243345,1996274.0
1,2002-08-01,1286051.8881,20.271745681762695,1640097.1080960464,1998924.0
1,2002-09-01,1186853.9013,1.762710452079773,1496104.787009176,2001574.0
1,2002-10-01,1197718.5977999999,1.7619224786758423,1507295.2416540128,2004224.0
1,2002-11-01,1149700.9296,1.7616760730743408,1449214.8681201644,2006874.0
1,2002-12-01,1173603.828,1.7609668970108032,1475187.651291572,2009524.0
1,2003-01-01,1200896.5245,20.37436866760254,1526235.509349227,2012179.0
1,2003-02-01,1125935.5239,20.235401153564453,1427277.607414899,2014824.0
1,2003-03-01,1193581.4375999998,20.179241180419922,1508429.2620202976,2017469.0
1,2003-04-01,1142785.8849,1.758600115776062,1438014.6839678825,2020114.0
1,2003-05-01,1249979.1771,20.293983459472656,1589712.911516925,2022759.0
1,2003-06-01,1252547.0772,20.14801025390625,1604305.0193751233,2025404.0
1,2003-07-01,1325027.5881,19.808801651000977,1706162.2980382834,2028049.0
1,2003-08-01,1308328.5851999999,19.337989807128906,1676035.4066631065,2030694.0
1,2003-09-01,1218419.6304,19.034547805786133,1541563.360426828,2033339.0
1,2003-10-01,1238805.5598,19.054594039916992,1571939.823381293,2035984.0
1,2003-11-01,1149450.6963,19.00493812561035,1453772.8376527634,2038629.0
1,2003-12-01,1207523.2797,1.7540608644485474,1521162.0737945652,2041274.0
1,2004-01-01,1166467.5237,1.7538162469863892,1471274.3188915402,2043921.0
1,2004-02-01,1176548.0229,19.202072143554688,1501231.1477497004,2046611.0
1,2004-03-01,1232158.647,19.025997161865234,1562794.9688214036,2049301.0
1,2004-04-01,1166096.7651,18.99075698852539,1482477.287934384,2051991.0
1,2004-05-01,1287945.5643,18.90595245361328,1651487.0948414323,2054681.0
1,2004-06-01,1297125.8433,18.635765075683594,1675340.892662862,2057371.0
1,2004-07-01,1354059.1949999998,18.215402603149414,1753486.5067911616,2060061.0
1,2004-08-01,1331983.7343000001,17.758846282958984,1710340.4964820205,2062751.0
1,2004-09-01,1237550.4108,17.505475997924805,1579039.2954964098,2065441.0
1,2004-10-01,1222962.4182,17.386032104492188,1549632.1898156868,2068131.0
1,2004-11-01,1201907.9538,17.396772384643555,1525771.9831694623,2070821.0
1,2004-12-01,1199476.8573,1.7492156028747559,1511914.5794217093,2073511.0
1,2005-01-01,1227851.2692,17.461212158203125,1575363.8081598142,2076203.0
1,2005-02-01,1133798.2311,17.248353958129883,1444759.9371256605,2080357.0
1,2005-03-01,1230053.8941,1.7483642101287842,1547458.797537862,2084511.0
1,2005-04-01,1185413.9769,17.212600708007812,1495622.1286548742,2088665.0
1,2005-05-01,1289958.1337999997,17.257858276367188,1648977.4771056494,2092819.0
1,2005-06-01,1286374.1937,17.08791732788086,1652686.0916261696,2096973.0
1,2005-07-01,1345383.3126,16.838848114013672,1733908.187884035,2101127.0
1,2005-08-01,1340114.6799000003,16.547025680541992,1717825.5528918083,2105281.0
1,2005-09-01,1235434.104,16.355791091918945,1576418.061243678,2109435.0
1,2005-10-01,1214871.4149,16.241846084594727,1533714.6285779192,2113589.0
1,2005-11-01,1185994.3131000001,16.28432846069336,1504484.0602070761,2117743.0
1,2005-12-01,1225111.8762,16.258975982666016,1550779.4877839307,2121897.0
1,2006-01-01,1275446.5940999999,16.263916015625,1643768.2970786237,2126052.0
1,2006-02-01,1155379.818,16.0093936920166,1480465.4485240506,2129187.0
1,2006-03-01,1288020.9303,15.84933090209961,1645743.2964024763,2132322.0
1,2006-04-01,1199395.8051,15.734078407287598,1523962.2700574556,2135457.0
1,2006-05-01,1350767.1795,15.696207046508789,1746200.8742776958,2138592.0
