Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1989,5.210041417493405,25.65199851989746,3.3835719683113634,1612789.0
2013,6.426332282829866,48.58720397949219,8.050166002780355,2419078.0
2014,6.14307642824432,48.88438638051351,8.000406286337498,2456232.0
2015,6.008279222364379,43.95458126068115,7.912811940852903,2493503.0
2016,5.877690577937169,44.07715098063151,7.9537274511344105,2530887.0
2017,5.668206006714754,199.87004407246908,7.6612043687841185,2568389.0
2018,5.734616198200566,276.62899653116864,7.591104755791912,2606011.0
2000,7.202034125046574,45.82689253489176,6.460981327713848,1946073.0
2001,7.18691150632518,46.18759981791178,6.473439497688421,1977731.0
1990,5.337924127587657,23.83700180053711,3.485941900593523,1642964.0
1999,6.865840507151136,44.53139464060465,5.8472170720873065,1913969.0
2002,7.144125718843361,46.06818803151449,6.4920819553130995,2009524.0
1991,5.46166081774461,30.750999450683594,3.7014284690314945,1672760.0
2003,7.210035404753332,57.85214296976725,6.598551725991324,2041274.0
1992,5.582628943456028,31.56300163269043,3.7820798510731493,1701667.0
2004,7.224830625826129,65.24244499206543,6.698827654463131,2073511.0
1993,5.7011061179320945,31.992002487182617,3.840493709175653,1730441.0
2005,7.098569259787514,72.73821481068929,6.709038769843532,2121897.0
1994,5.814439233797713,32.94200134277344,4.182187948683473,1760059.0
2006,7.167913043584909,93.40523465474446,6.882788441738133,2160537.0
1995,5.921314267686884,33.93000030517578,4.372081654029809,1790511.0
2007,7.131008914666183,96.60757732391357,7.00360510745419,2197670.0
1996,6.023783616420056,28.39000129699707,4.58092045989,1820812.0
2008,7.080822773639424,99.41722011566162,7.16851266305264,2234567.0
1997,6.123247685561663,27.715999603271484,4.788700531001792,1851354.0
2009,6.930057755090797,76.7920373280843,7.2898312044360525,2271379.0
1998,6.218524150856068,26.20800018310547,4.992809281665407,1882431.0
2010,6.852120293621882,73.292467435201,7.510337017529149,2308205.0
2011,6.640860842997578,64.88392003377278,7.651986152419624,2345086.0
2012,6.546463460048318,65.77935600280762,7.951771189728967,2382031.0
