Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1989,17.366804854057886,25.65199851989746,11.278573227704543,1612789.0
2013,21.421107192460298,48.58720397949219,26.83388667593452,2419078.0
2014,20.476921154556056,48.88438638051351,26.668020954458328,2456232.0
2015,20.027597575986604,43.95458126068115,26.376039802843017,2493503.0
2016,19.592301727462964,44.07715098063151,26.5124248371147,2530887.0
2017,18.8940200559066,199.87004407246908,25.53734789594706,2568389.0
2018,19.115387167419264,276.62899653116864,25.30368251930637,2606011.0
2000,24.006780287406574,45.82689253489176,21.536604425712827,1946073.0
2001,23.9563715606052,46.18759981791178,21.578131658961407,1977731.0
1990,17.79308068078244,23.83700180053711,11.619806335311743,1642964.0
1999,22.88613493596852,44.53139464060465,19.490723573624354,1913969.0
2002,23.813752521989855,46.06818803151449,21.640273184376998,2009524.0
1991,18.205536384676975,30.750999450683594,12.338094896771649,1672760.0
2003,24.033451268125447,57.85214296976725,21.99517241997108,2041274.0
1992,18.60876324227362,31.56300163269043,12.606932836910499,1701667.0
2004,24.082768834187966,65.24244499206543,22.3294255148771,2073511.0
1993,19.00368693786568,31.992002487182617,12.801645697252177,1730441.0
2005,23.661897651616286,72.73821481068929,22.363462566145103,2121897.0
1994,19.381463897342492,32.94200134277344,13.940626495611578,1760059.0
2006,23.893043323249373,93.40523465474446,22.94262813912711,2160537.0
1995,19.73771406122199,33.93000030517578,14.573605513432698,1790511.0
2007,23.770030136113533,96.60757732391357,23.34535035818063,2197670.0
1996,20.079278675184646,28.39000129699707,15.2697348663,1820812.0
2008,23.602742918127174,99.41722011566162,23.895042210175465,2234567.0
1997,20.410825868330928,27.715999603271484,15.962335103339308,1851354.0
2009,23.10019259090212,76.7920373280843,24.29943734812018,2271379.0
1998,20.728413723909547,26.20800018310547,16.64269760555136,1882431.0
2010,22.8404007967675,73.292467435201,25.03445672509716,2308205.0
2011,22.136202809806907,64.88392003377278,25.506620508065417,2345086.0
2012,21.82154507851511,65.77935600280762,26.50590396576322,2382031.0
