Time (Year),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,Wholesale ($/MWh),GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1966,2677.8675459577207,27.5939998626709,0.0,3.0607142650873715,942691.0
1967,2787.226447514839,36.16649627685547,0.0,2.916010937058713,972904.0
1968,2849.0770083479238,35.28300094604492,0.0,2.803392279593865,1008112.0
1969,2918.596406690959,31.4737491607666,0.0,2.51758580997583,1040867.0
1926,553.7651597581247,161.14999389648438,0.0,1.042396969453278,149196.0
1927,623.9604665460638,155.26666259765625,0.0,1.1909656936527093,157969.0
1928,624.527417267031,138.72000122070312,0.0,1.2354652045114816,189746.0
1929,555.3243721538088,139.54286193847656,0.0,1.1439685938326403,199478.0
2013,6426.332282829865,13.543412685394287,43.29190810521444,6.461919355490231,2419078.0
2014,6143.0764282443215,12.414127826690674,43.37502876917521,6.226038757736459,2456232.0
2015,6008.279222364379,9.605265061060587,37.97851117451986,6.030916012222375,2493503.0
1960,1962.0655304071586,29.400001525878906,0.0,3.4786192953550397,765525.0
2016,5877.69057793717,11.203786849975586,39.6965446472168,5.79021488495943,2530887.0
1961,2036.7287268282805,29.400001525878906,0.0,3.656344972735815,793757.0
2017,5668.206006714753,15.500804821650187,93.12376308441162,5.07612923744028,2568389.0
1962,2023.8458276641638,29.400001525878906,0.0,3.5123917101001223,822554.0
2018,5734.616198200565,27.112353483835857,94.07900301615398,5.064134817531862,2606011.0
1963,2221.636124657491,29.400001525878906,0.0,3.8601107232111627,846561.0
1964,2457.541582635935,28.200000762939453,0.0,3.0131821746019507,879887.0
1965,2643.571230765258,23.099998474121094,0.0,3.2321866754714303,911324.0
1999,6865.840507151135,15.870012601216635,35.18725999196371,5.5822494475051885,1913969.0
1955,1575.4250353174998,31.080001831054688,0.0,2.836223584448703,624181.0
1956,1708.526089168147,33.31999969482422,0.0,3.022448876842626,650938.0
1957,1739.4572185864215,30.940000534057617,0.0,3.1259527185461393,684133.0
1958,1806.7242080008498,31.46000099182129,0.0,3.3609306963453363,706517.0
1959,1876.379445998467,31.46000099182129,0.0,3.5009058261086854,735235.0
2002,7144.125718843361,14.576400915781656,43.54463164011637,5.913937794999389,2009524.0
1991,5461.66081774461,30.750999450683594,0.0,3.6543909038671005,1672760.0
2003,7210.035404753331,18.551671028137207,52.027907371520996,5.979432349568852,2041274.0
1992,5582.628943456028,31.56300163269043,0.0,3.73401728369499,1701667.0
2004,7224.830625826128,20.182159582773846,56.237747510274254,6.083211338769577,2073511.0
1993,5701.106117932096,31.992002487182617,0.0,3.791688818288281,1730441.0
2005,7098.569259787513,20.6198836962382,56.533308347066246,6.079811260502309,2121897.0
1994,5814.439233797713,32.94200134277344,0.0,3.721885003961052,1760059.0
1950,1204.3659958360317,34.31999969482422,0.0,2.84280689002576,484549.0
2006,7167.913043584909,20.81833267211914,61.478173891703285,6.20338357765592,2160537.0
1995,5921.314267686884,33.93000030517578,0.0,3.9270307119861845,1790511.0
1951,1272.9661144679894,32.7599983215332,0.0,2.9883693614116957,512301.0
2007,7131.008914666183,22.401565233866375,67.84899425506592,6.26550579183638,2197670.0
1996,6023.783616420056,28.39000129699707,0.0,4.153215957153624,1820812.0
1952,1287.3844068123103,33.29999923706055,0.0,2.9370729938238798,537744.0
2008,7080.822773639426,22.09956391652425,64.67241191864014,6.410315015881862,2234567.0
