Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2000-01-01,1.8909174769540291,23.05500030517578,2.2905440644525963,1916604.0
2000-02-01,1.9678650829502475,23.05500030517578,2.3837592774698866,1919283.0
2000-03-01,2.0301181813168,23.05500030517578,2.4591729885101143,1921962.0
2000-04-01,1.8422292780835492,23.05500030517578,2.2315717126222037,1924641.0
2000-05-01,2.0966575348151837,23.05500030517578,2.5397721565759226,1927320.0
2000-06-01,2.0992446110075704,23.05500030517578,2.542909192298869,1929999.0
2000-07-01,2.1560135728765992,23.05500030517578,2.611669140011446,1932678.0
2000-08-01,2.1250032939659196,23.05500030517578,2.5741083335642476,1935357.0
2000-09-01,1.965727158835027,23.05500030517578,2.3811710157888446,1938036.0
2000-10-01,1.9999124034183278,23.05500030517578,2.422577538408948,1940715.0
2000-11-01,1.9136057845192482,23.05500030517578,2.318030964203938,1943394.0
2000-12-01,1.9194912009981127,23.05500030517578,2.3251646025851556,1946073.0
2001-01-01,2.0289343412236622,24.472000122070312,2.4571171296353316,1948757.0
2001-02-01,1.9349530668123405,24.472000122070312,2.343304666462644,1951391.0
2001-03-01,2.008833049730684,24.472000122070312,2.4327729312978565,1954025.0
2001-04-01,1.8838285056312827,24.472000122070312,2.281381474043286,1956659.0
2001-05-01,2.07630507535116,24.472000122070312,2.514479892964189,1959293.0
2001-06-01,2.055988831388732,24.472000122070312,2.489881413559192,1961927.0
2001-07-01,2.1518497007728445,24.472000122070312,2.6059646842825925,1964561.0
2001-08-01,2.161092316725083,24.472000122070312,2.617162477288854,1967195.0
2001-09-01,1.952666957385641,24.472000122070312,2.364761102714087,1969829.0
2001-10-01,1.9854821104375595,24.472000122070312,2.404495571559387,1972463.0
2001-11-01,1.88363913266032,24.472000122070312,2.2811554848258178,1975097.0
2001-12-01,1.832792225029592,24.472000122070312,2.2195817537270237,1977731.0
2002-01-01,1.9046351850711027,24.549001693725586,2.3065844022470023,1980374.0
2002-02-01,1.8126709510323626,24.549001693725586,2.195211817040448,1983024.0
2002-03-01,1.9414062932787557,24.549001693725586,2.3511165746566434,1985674.0
2002-04-01,1.8791404217823655,24.549001693725586,2.2766065591369085,1988324.0
2002-05-01,2.056315150273183,24.549001693725586,2.4912571600477067,1990974.0
2002-06-01,2.066603331420569,24.549001693725586,2.503716463325445,1993624.0
2002-07-01,2.1835379311657617,24.549001693725586,2.6453809053027753,1996274.0
2002-08-01,2.1445737806940133,24.549001693725586,2.5981805693575737,1998924.0
2002-09-01,1.9765344673741765,24.549001693725586,2.394589852166089,2001574.0
2002-10-01,1.9919929109720271,24.549001693725586,2.4133247283394104,2004224.0
2002-11-01,1.9096066818345347,24.549001693725586,2.3135190681044486,2006874.0
2002-12-01,1.9467346495986113,24.549001693725586,2.3585019255477357,2009524.0
2003-01-01,1.9893806664317637,23.61600112915039,2.4101546569601173,2012179.0
2003-02-01,1.8627532727424332,23.61600112915039,2.2567532844388536,2014824.0
2003-03-01,1.972074911683897,23.61600112915039,2.389193819059399,2017469.0
2003-04-01,1.885680709108496,23.61600112915039,2.2845328478928857,2020114.0
2003-05-01,2.0598598251200464,23.61600112915039,2.4955445267577354,2022759.0
2003-06-01,2.0613961461515826,23.61600112915039,2.497412602320874,2025404.0
2003-07-01,2.17783692603088,23.61600112915039,2.638476838024023,2028049.0
2003-08-01,2.147590922118251,23.61600112915039,2.6018328784131723,2030694.0
