ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1927-01-01,7899.000000000001,81.60000610351562,11097.751481776366,151798.0
1,1927-02-01,8574.0,81.60000610351562,12046.097126819921,152359.0
1,1927-03-01,8064.0,81.60000610351562,11329.569306120344,152920.0
1,1927-04-01,7569.0,81.60000610351562,10634.115833088405,153481.0
1,1927-05-01,8130.0,81.60000610351562,11422.296435857937,154042.0
1,1927-06-01,8298.0,81.60000610351562,11658.329129735443,154603.0
1,1927-07-01,8523.0,81.60000610351562,11974.444344749963,155164.0
1,1927-08-01,8241.0,81.60000610351562,11578.246608598434,155725.0
1,1927-09-01,7740.0,81.60000610351562,10874.363396499439,156286.0
1,1927-10-01,7935.0,81.60000610351562,11148.329916178687,156847.0
1,1927-11-01,7812.0,81.60000610351562,10975.520265304085,157408.0
1,1927-12-01,7827.0,81.60000610351562,10996.59461297172,157969.0
1,1928-01-01,8985.0,61.19999694824219,12369.999471497431,158539.0
1,1928-02-01,9348.0,61.19999694824219,12871.875339446833,161376.0
1,1928-03-01,9054.0,61.19999694824219,12469.786248431283,164213.0
1,1928-04-01,8697.0,61.19999694824219,11972.776725078384,167050.0
1,1928-05-01,9342.0,61.19999694824219,12862.601391193302,169887.0
1,1928-06-01,8943.0,61.19999694824219,12311.849665456406,172724.0
1,1928-07-01,9561.0,61.19999694824219,13164.467895806129,175561.0
1,1928-08-01,9567.0,61.19999694824219,13175.21522055129,178398.0
1,1928-09-01,8619.0,61.19999694824219,11868.453603371463,181235.0
1,1928-10-01,9054.0,61.19999694824219,12463.024488444089,184072.0
1,1928-11-01,8685.0,61.19999694824219,11957.296235029422,186909.0
1,1928-12-01,8478.0,61.19999694824219,11673.238417281698,189746.0
1,1929-01-01,9264.0,59.39999771118164,12753.374847781508,192592.0
1,1929-02-01,9081.0,59.39999771118164,12504.847502202503,193218.0
1,1929-03-01,8994.0,59.39999771118164,12383.958860905728,193844.0
1,1929-04-01,8541.0,59.39999771118164,11758.018398171149,194470.0
1,1929-05-01,9366.0,59.39999771118164,12894.407037281428,195096.0
1,1929-06-01,9327.0,59.39999771118164,12843.684598178394,195722.0
1,1929-07-01,9498.0,59.39999771118164,13077.391138252407,196348.0
1,1929-08-01,9342.0,59.39999771118164,12861.345416226322,196974.0
1,1929-09-01,8763.0,59.39999771118164,12064.684733167855,197600.0
1,1929-10-01,9096.0,59.39999771118164,12525.4034227115,198226.0
1,1929-11-01,8826.0,59.39999771118164,12153.43747188743,198852.0
1,1929-12-01,8742.0,59.39999771118164,12037.140299656714,199478.0
1,1930-01-01,9768.0,63.0,13451.154778261556,200107.0
1,1930-02-01,10599.0,63.0,14590.43145503483,202385.0
1,1930-03-01,9969.0,63.0,13725.557152860889,204663.0
1,1930-04-01,9360.0,63.0,12885.563964176268,206941.0
1,1930-05-01,10053.0,63.0,13842.128039515594,209219.0
1,1930-06-01,10260.0,63.0,14127.704630343862,211497.0
1,1930-07-01,10539.0,63.0,14508.128820051339,213775.0
1,1930-08-01,10188.0,63.0,14028.076439163406,216053.0
