Time (Month),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
2016-01-01,0.4480958387189674,50.0,0.5271559583162752,2496611.0
2016-02-01,0.4342398189882335,50.0,0.5150017779307399,2499727.0
2016-03-01,0.4627997041764106,50.0,0.5459025666106193,2502843.0
2016-04-01,0.41923231784717946,50.0,0.5120718488650632,2505959.0
2016-05-01,0.44460249295058935,50.0,0.5098476204373795,2509075.0
2016-06-01,0.47903324229726163,50.0,0.5438320353753928,2512191.0
2016-07-01,0.48664079573586844,50.0,0.5378285660569769,2515307.0
2016-08-01,0.48441385740203297,50.0,0.5523607737973536,2518423.0
2016-09-01,0.43779215788453,50.0,0.4950256311997988,2521539.0
2016-10-01,0.42373155936157614,50.0,0.4634469244244227,2524655.0
2016-11-01,0.4103097155557208,50.0,0.47310480036961766,2527771.0
2016-12-01,0.39809323766726845,50.0,0.4665887832466959,2530887.0
2017-01-01,0.41405396915473264,50.0,0.49978020175465643,2534003.0
2017-02-01,0.37947065364039434,50.0,0.44930933772160025,2537129.0
2017-03-01,0.4294848351838693,50.0,0.5109699097258071,2540255.0
2017-04-01,0.3811965254124333,50.0,0.4541547277603555,2543381.0
2017-05-01,0.4398860870989163,50.0,0.4872163511559546,2546507.0
2017-06-01,0.46394324202738196,50.0,0.5320402562846528,2549633.0
2017-07-01,0.47281784140218486,100.0,0.4634061870079415,2552759.0
2017-08-01,0.4714061861155725,100.0,0.49688645191865966,2555885.0
2017-09-01,0.4203182401326137,100.0,0.4289444895915493,2559011.0
2017-10-01,0.4033226950783662,60.0,0.41485827205112225,2562137.0
2017-11-01,0.41932542589200406,100.0,0.421544957789095,2565263.0
2017-12-01,0.41010026129219523,60.0,0.4300498326176557,2568389.0
2018-01-01,0.4511068377979518,100.0,0.46760193061074456,2571515.0
2018-02-01,0.3931336713208897,100.0,0.4145926970152714,2574651.0
2018-03-01,0.4055152733720823,60.0,0.41815626384487187,2577787.0
2018-04-01,0.39451118843917465,60.0,0.42041027511208623,2580923.0
2018-05-01,0.4389408291374152,100.0,0.44346336861575003,2584059.0
2018-06-01,0.46043920152906914,100.0,0.4731034898375381,2587195.0
2018-07-01,0.46756032337180076,100.0,0.46735632812134614,2590331.0
2018-08-01,0.4560208400569585,100.0,0.44912686587281,2593467.0
2018-09-01,0.40315789514223005,100.0,0.39404562893034134,2596603.0
2018-10-01,0.38761121789533487,60.0,0.3854113907123487,2599739.0
2018-11-01,0.3703938913701196,60.0,0.36477145583342085,2602875.0
2018-12-01,0.3975754515234203,60.0,0.403974132536443,2606011.0
