Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1989,5.210041417493405,25.65199851989746,6.6776189506287515,1612789.0
2013,6.426332282829866,10.000759522120157,8.377767187273628,2419078.0
2014,6.14307642824432,10.00068704287211,8.225995858296322,2456232.0
2015,6.008279222364379,10.000563224156698,8.04070562130799,2493503.0
2016,5.877690577937169,10.000463883082071,7.921133901003196,2530887.0
2017,5.668206006714754,78.4070504506429,6.784849424043479,2568389.0
2018,5.734616198200566,115.55365339914958,6.053176837535749,2606011.0
2000,7.202034125046574,10.002634207407633,9.477986798281592,1946073.0
2001,7.18691150632518,10.001957813898722,9.458522260947838,1977731.0
1990,5.337924127587657,23.83700180053711,6.83917821448408,1642964.0
1999,6.865840507151136,10.00480341911316,9.028729937782442,1913969.0
2002,7.144125718843361,10.001705725987753,9.398151141189011,2009524.0
1991,5.46166081774461,30.750999450683594,6.997715065952811,1672760.0
2003,7.210035404753332,10.001494646072388,9.487070084666183,2041274.0
1992,5.582628943456028,31.56300163269043,7.149704529647176,1701667.0
2004,7.224830625826129,10.001320282618204,9.507949928135412,2073511.0
1993,5.7011061179320945,31.992002487182617,7.159730715276727,1730441.0
2005,7.098569259787514,10.001190026601156,9.323531914060501,2121897.0
1994,5.814439233797713,32.94200134277344,7.035229978463909,1760059.0
2006,7.167913043584909,10.001076618830362,9.416303274167516,2160537.0
1995,5.921314267686884,33.93000030517578,7.164544284591971,1790511.0
2007,7.131008914666183,10.000966231028238,9.356123410242164,2197670.0
1996,6.023783616420056,28.39000129699707,7.288528013660068,1820812.0
2008,7.080822773639424,10.000877777735392,9.290946656040191,2234567.0
1997,6.123247685561663,27.715999603271484,7.408875439784648,1851354.0
2009,6.930057755090797,10.000815391540527,9.091004357967206,2271379.0
1998,6.218524150856068,26.20800018310547,7.524156062458346,1882431.0
2010,6.852120293621882,10.000779628753662,8.957482528202673,2308205.0
2011,6.640860842997578,10.000759919484457,8.675016562832754,2345086.0
2012,6.546463460048318,10.00075101852417,8.549764205665966,2382031.0
