ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1999-01-01,998949.4718999999,43.26786422729492,824216.9335862843,1885028.0
1,1999-02-01,1029276.6456000002,44.94734573364258,849381.916357882,1887659.0
1,1999-03-01,991733.3447999998,44.910438537597656,818146.17195922,1890290.0
1,1999-04-01,968881.1514000001,44.943336486816406,800664.0339482201,1892921.0
1,1999-05-01,1021889.1432,44.7663459777832,845277.6706249281,1895552.0
1,1999-06-01,1162224.861,44.58140563964844,961703.0624030178,1898183.0
1,1999-07-01,1214681.751,44.44308853149414,1009320.5437300295,1900814.0
1,1999-08-01,1203629.3067,44.35332489013672,1000188.5303807374,1903445.0
1,1999-09-01,1119503.2064999999,44.29911422729492,999888.6424661189,1906076.0
1,1999-10-01,1128438.9591,44.46197509765625,1011909.2487272235,1908707.0
1,1999-11-01,1092251.0715,44.62602996826172,979997.8446754593,1911338.0
1,1999-12-01,1112762.037,44.776466369628906,1010048.3913966113,1913969.0
1,2000-01-01,1087242.6441,44.965904235839844,982992.8270195418,1916604.0
1,2000-02-01,1133066.1129,45.0457649230957,1006996.6401124374,1919283.0
1,2000-03-01,1170543.4539,45.035850524902344,1056870.418228823,1921962.0
1,2000-04-01,1063687.5903,45.424556732177734,973106.6690728865,1924641.0
1,2000-05-01,1212278.7615,45.960384368896484,1079955.490433946,1927320.0
1,2000-06-01,1215462.8988,46.221343994140625,1078465.1997319178,1929999.0
1,2000-07-01,1250063.3487,46.355995178222656,1105363.2095825605,1932678.0
1,2000-08-01,1233792.1469999999,46.157997131347656,1095259.2618076284,1935357.0
1,2000-09-01,1142894.4591,46.05009841918945,1031806.0745124229,1938036.0
1,2000-10-01,1164377.7774,46.196102142333984,1045719.2695890884,1940715.0
1,2000-11-01,1115666.244,46.26036071777344,996801.1783136385,1943394.0
1,2000-12-01,1120640.472,46.24835205078125,1025184.825649057,1946073.0
1,2001-01-01,1186170.4107,46.549739837646484,1073105.632171982,1948757.0
1,2001-02-01,1132756.0464,46.521846771240234,1013360.1705641898,1951391.0
1,2001-03-01,1177594.071,46.34851837158203,1067064.3305436948,1954025.0
1,2001-04-01,1105803.4409999999,46.35076904296875,1009803.0043779783,1956659.0
1,2001-05-01,1220425.6422,46.48488998413086,1091320.88862773,1959293.0
1,2001-06-01,1210108.9401,46.36763381958008,1072301.3418996765,1961927.0
1,2001-07-01,1268233.1508,46.1629524230957,1124562.078498697,1964561.0
1,2001-08-01,1275387.0459,45.989627838134766,1126553.7188652398,1967195.0
1,2001-09-01,1153927.4124,45.79948043823242,1043632.5594540179,1969829.0
1,2001-10-01,1174888.2081,45.83213424682617,1065821.7726872556,1972463.0
1,2001-11-01,1116109.9593,45.8880500793457,1012291.6876043656,1975097.0
1,2001-12-01,1087431.3516,45.9555549621582,1008587.8036662295,1977731.0
1,2002-01-01,1131566.4642,46.19754409790039,1041559.962749775,1980374.0
1,2002-02-01,1078370.8926,46.259674072265625,982077.4520823495,1983024.0
1,2002-03-01,1156500.4179,46.23027420043945,1065597.5567256657,1985674.0
1,2002-04-01,1120902.8457,46.297119140625,1030521.4931203102,1988324.0
1,2002-05-01,1228222.3116,46.34428787231445,1106679.021583338,1990974.0
1,2002-06-01,1236008.3477999999,46.22755432128906,1105432.4737156595,1993624.0
1,2002-07-01,1307683.0292999998,46.067955017089844,1171829.3796943151,1996274.0
1,2002-08-01,1286051.8881,45.94074630737305,1151213.4405707112,1998924.0
1,2002-09-01,1186853.9013,45.81692123413086,1079264.526909526,2001574.0
1,2002-10-01,1197718.5977999999,45.803070068359375,1095120.7166745847,2004224.0
1,2002-11-01,1149700.9296,45.822879791259766,1045613.6633785614,2006874.0
1,2002-12-01,1173603.828,45.81023025512695,1077269.90463959,2009524.0
1,2003-01-01,1200896.5245,45.851497650146484,1097695.6253147093,2012179.0
1,2003-02-01,1125935.5239,45.770591735839844,1032470.9936804365,2014824.0
1,2003-03-01,1193581.4375999998,45.712974548339844,1098608.6195252938,2017469.0
1,2003-04-01,1142785.8849,45.678733825683594,1062941.7014515775,2020114.0
1,2003-05-01,1249979.1771,45.699554443359375,1141580.0564377434,2022759.0
1,2003-06-01,1252547.0772,94.04994201660156,1134044.6429667382,2025404.0
1,2003-07-01,1325027.5881,95.23957061767578,1193416.0368470121,2028049.0
1,2003-08-01,1308328.5851999999,95.09722137451172,1183979.2126516118,2030694.0
1,2003-09-01,1218419.6304,45.32450866699219,1119590.3710358825,2033339.0
1,2003-10-01,1238805.5598,45.299503326416016,1134232.1710205462,2035984.0
1,2003-11-01,1149450.6963,45.26116943359375,1056688.6192319822,2038629.0
1,2003-12-01,1207523.2797,45.240447998046875,1118707.9680258892,2041274.0
1,2004-01-01,1166467.5237,45.249446868896484,1096955.6895625582,2043921.0
1,2004-02-01,1176548.0229,45.24299621582031,1090327.0327112274,2046611.0
1,2004-03-01,1232158.647,45.18325424194336,1150481.5758214646,2049301.0
1,2004-04-01,1166096.7651,45.15347671508789,1085613.6343651235,2051991.0
1,2004-05-01,1287945.5643,106.08738708496094,1186852.939181517,2054681.0
1,2004-06-01,1297125.8433,106.84408569335938,1187635.8530665336,2057371.0
1,2004-07-01,1354059.1949999998,105.70631408691406,1234767.712981084,2060061.0
1,2004-08-01,1331983.7343000001,104.10614013671875,1223825.4957279577,2062751.0
1,2004-09-01,1237550.4108,44.87295913696289,1145203.6338781656,2065441.0
1,2004-10-01,1222962.4182,44.83538818359375,1141569.7398530326,2068131.0
1,2004-11-01,1201907.9538,44.82294845581055,1119340.681702987,2070821.0
1,2004-12-01,1199476.8573,44.8049430847168,1128792.8649823088,2073511.0
1,2005-01-01,1227851.2692,108.9524917602539,1153651.805025196,2076203.0
1,2005-02-01,1133798.2311,44.76698684692383,1070128.734107514,2080357.0
1,2005-03-01,1230053.8941,44.730648040771484,1180797.1235512635,2084511.0
1,2005-04-01,1185413.9769,44.735477447509766,1132778.6130446014,2088665.0
1,2005-05-01,1289958.1337999997,112.68286895751953,1212948.2019110033,2092819.0
1,2005-06-01,1286374.1937,113.53705596923828,1204533.348942886,2096973.0
1,2005-07-01,1345383.3126,113.17924499511719,1256496.3812638987,2101127.0
1,2005-08-01,1340114.6799000003,112.08594512939453,1257230.7625425714,2105281.0
1,2005-09-01,1235434.104,44.57583236694336,1164050.8417460953,2109435.0
1,2005-10-01,1214871.4149,44.544898986816406,1160062.3752988463,2113589.0
1,2005-11-01,1185994.3131000001,44.541053771972656,1125736.3336649938,2117743.0
1,2005-12-01,1225111.8762,44.52607345581055,1164357.545773657,2121897.0
1,2006-01-01,1275446.5940999999,115.98966217041016,1219261.0592586792,2126052.0
1,2006-02-01,1155379.818,115.03937530517578,1109491.7900675908,2129187.0
1,2006-03-01,1288020.9303,44.458072662353516,1239926.2238525602,2132322.0
1,2006-04-01,1199395.8051,44.43110656738281,1162850.9560305178,2135457.0
1,2006-05-01,1350767.1795,117.16637420654297,1288128.2017747231,2138592.0
1,2006-06-01,1360611.7395000001,115.52947998046875,1289261.8605983797,2141727.0
1,2006-07-01,1383685.3949999998,112.19779968261719,1315352.073792704,2144862.0
1,2006-08-01,1359513.0960000001,109.95671844482422,1297050.203997274,2147997.0
1,2006-09-01,1247758.233,108.75592803955078,1198774.9307618178,2151132.0
1,2006-10-01,1270248.2084999997,109.29561614990234,1219201.0165064065,2154267.0
1,2006-11-01,1226543.8395,109.596923828125,1176495.8001436081,2157402.0
1,2006-12-01,1245546.9015000002,44.25346755981445,1211986.929883321,2160537.0
1,2007-01-01,1292005.5089999998,110.53157043457031,1277676.1514300166,2163680.0
1,2007-02-01,1258204.863,111.30229949951172,1223369.8871006318,2166770.0
1,2007-03-01,1291748.6669999997,107.64939880371094,1271727.5619344746,2169860.0
1,2007-04-01,1185815.6685,44.19212341308594,1176920.446102818,2172950.0
