ConsumerUnit,Time (month),Consumption (KWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2000-01-01,3624140.0,23.05500030517578,4390065.916106104,1916604.0
1,2000-02-01,3776890.0,23.05500030517578,4575108.657340236,1919283.0
1,2000-03-01,3901810.0,23.05500030517578,4726437.035342877,1921962.0
1,2000-04-01,3545630.0,23.05500030517578,4294974.412552911,1924641.0
1,2000-05-01,4040930.0,23.05500030517578,4894953.672811907,1927320.0
1,2000-06-01,4051540.0,23.05500030517578,4907812.198227625,1929999.0
1,2000-07-01,4166880.0,23.05500030517578,5047515.490179041,1932678.0
1,2000-08-01,4112640.0,23.05500030517578,4981818.582121901,1935357.0
1,2000-09-01,3809650.0,23.05500030517578,4614795.15075535,1938036.0
1,2000-10-01,3881260.0,23.05500030517578,4701532.567453322,1940715.0
1,2000-11-01,3718890.0,23.05500030517578,4504847.467648148,1943394.0
1,2000-12-01,3735470.0,23.05500030517578,4524940.053646701,1946073.0
1,2001-01-01,3953900.0000000005,24.472000122070312,4788324.20619676,1948757.0
1,2001-02-01,3775850.0,24.472000122070312,4572703.636393205,1951391.0
1,2001-03-01,3925310.0,24.472000122070312,4753699.127079294,1954025.0
1,2001-04-01,3686010.0,24.472000122070312,4463885.593620062,1956659.0
1,2001-05-01,4068090.0000000005,24.472000122070312,4926602.852925485,1959293.0
1,2001-06-01,4033700.0000000005,24.472000122070312,4884965.572059944,1961927.0
1,2001-07-01,4227440.0,24.472000122070312,5119576.586118895,1964561.0
1,2001-08-01,4251290.0,24.472000122070312,5148468.939510248,1967195.0
1,2001-09-01,3846420.0,24.472000122070312,4658174.998198188,1969829.0
1,2001-10-01,3916290.0,24.472000122070312,4742778.548564743,1972463.0
1,2001-11-01,3720370.0,24.472000122070312,4505503.354613018,1975097.0
1,2001-12-01,3624770.0,24.472000122070312,4389735.641380301,1977731.0
1,2002-01-01,3771890.0,24.549001693725586,4567899.779015505,1980374.0
1,2002-02-01,3594570.0,24.549001693725586,4353157.718274818,1983024.0
1,2002-03-01,3855000.0,24.549001693725586,4668551.053264756,1985674.0
1,2002-04-01,3736340.0,24.549001693725586,4526631.460089334,1988324.0
1,2002-05-01,4094070.0,24.549001693725586,4960028.232968823,1990974.0
1,2002-06-01,4120029.9999999995,24.549001693725586,4991469.230480727,1993624.0
1,2002-07-01,4358940.0,24.549001693725586,5280905.121352392,1996274.0
1,2002-08-01,4286840.0,24.549001693725586,5193565.496422519,1998924.0
1,2002-09-01,3956180.0,24.549001693725586,4792948.788759488,2001574.0
1,2002-10-01,3992400.0,24.549001693725586,4836843.340331326,2004224.0
1,2002-11-01,3832340.0,24.549001693725586,4642941.266283047,2006874.0
1,2002-12-01,3912010.0,24.549001693725586,4739466.223434388,2009524.0
1,2003-01-01,4002990.0,23.61600112915039,4849662.587487352,2012179.0
1,2003-02-01,3753120.0,23.61600112915039,4546960.679566229,2014824.0
1,2003-03-01,3978600.0,23.61600112915039,4820124.464943947,2017469.0
1,2003-04-01,3809290.0,23.61600112915039,4615016.789488289,2020114.0
1,2003-05-01,4166600.000000001,23.61600112915039,5047885.1513999505,2022759.0
1,2003-06-01,4175160.0,23.61600112915039,5058269.474391107,2025404.0
1,2003-07-01,4416760.0,23.61600112915039,5350960.312877782,2028049.0
1,2003-08-01,4361100.0,23.61600112915039,5283526.415196358,2030694.0
1,2003-09-01,4061400.0,23.61600112915039,4920439.779775374,2033339.0
1,2003-10-01,4129350.0000000005,23.61600112915039,5002774.684960575,2035984.0
1,2003-11-01,3831500.0,23.61600112915039,4641914.350490337,2038629.0
1,2003-12-01,4025080.0,23.61600112915039,4876438.641763038,2041274.0
1,2004-01-01,3888230.0,22.959999084472656,4710650.427882078,2043921.0
1,2004-02-01,3921830.0,22.959999084472656,4751350.373791862,2046611.0
1,2004-03-01,4107199.9999999995,22.959999084472656,4975928.127999729,2049301.0
1,2004-04-01,3886990.0,22.959999084472656,4709153.577141328,2051991.0
1,2004-05-01,4293150.0,22.959999084472656,5201198.701991725,2054681.0
1,2004-06-01,4323750.0,22.959999084472656,5238281.919074148,2057371.0
1,2004-07-01,4513530.0,22.959999084472656,5468204.688775151,2060061.0
1,2004-08-01,4439950.0,22.959999084472656,5379042.888553316,2062751.0
1,2004-09-01,4125170.0,22.959999084472656,4997698.501350307,2065441.0
1,2004-10-01,4076540.0,22.959999084472656,4938783.642528483,2068131.0
1,2004-11-01,4006360.0,22.959999084472656,4853761.652781462,2070821.0
1,2004-12-01,3998260.0,22.959999084472656,4843943.312418083,2073511.0
1,2005-01-01,4092840.0,22.0570011138916,4958523.000281328,2076203.0
1,2005-02-01,3779330.0,22.0570011138916,4578719.282401535,2080357.0
1,2005-03-01,4100180.0000000005,22.0570011138916,4967419.659581962,2084511.0
1,2005-04-01,3951380.0,22.0570011138916,4724117.663941006,2088665.0
1,2005-05-01,4299860.0,22.0570011138916,5312648.471490518,2092819.0
1,2005-06-01,4287910.0,22.0570011138916,5389467.126911883,2096973.0
1,2005-07-01,4484610.0,22.0570011138916,5595029.533739682,2101127.0
1,2005-08-01,4467050.0,22.0570011138916,5540793.037713853,2105281.0
1,2005-09-01,4118109.9999999995,22.0570011138916,5035068.73457083,2109435.0
1,2005-10-01,4049570.0,22.0570011138916,5043958.853168384,2113589.0
1,2005-11-01,3953310.0,22.0570011138916,4931526.122442676,2117743.0
1,2005-12-01,4083710.0,22.0570011138916,5065518.692938952,2121897.0
1,2006-01-01,4251490.0,20.856000900268555,5251147.380021836,2126052.0
1,2006-02-01,3851270.0,20.856000900268555,4739959.857990706,2129187.0
1,2006-03-01,4293400.0,20.856000900268555,5439041.8919977285,2132322.0
1,2006-04-01,3997990.0,20.856000900268555,5123281.657287377,2135457.0
1,2006-05-01,4502560.0,20.856000900268555,5645938.969455167,2138592.0
1,2006-06-01,4535370.0,20.856000900268555,5474199.034199485,2141727.0
1,2006-07-01,4612280.0,20.856000900268555,5607105.623137188,2144862.0
1,2006-08-01,4531710.0,20.856000900268555,5499044.1658635065,2147997.0
1,2006-09-01,4159189.9999999995,20.856000900268555,5036164.142576509,2151132.0
1,2006-10-01,4234160.0,20.856000900268555,5212539.02487804,2154267.0
1,2006-11-01,4088480.0000000005,20.856000900268555,5107191.798338474,2157402.0
1,2006-12-01,4151819.9999999995,20.856000900268555,5373237.495040219,2160537.0
1,2007-01-01,4306690.0,20.124000549316406,5430035.164645856,2163680.0
1,2007-02-01,4194010.0,20.124000549316406,5260236.029864239,2166770.0
1,2007-03-01,4305820.0,20.124000549316406,5363419.654604016,2169860.0
1,2007-04-01,3952710.0,20.124000549316406,4779209.120943131,2172950.0
1,2007-05-01,4300010.0,20.124000549316406,5256338.1576167075,2176040.0
1,2007-06-01,4528750.0,20.124000549316406,5413368.083051413,2179130.0
1,2007-07-01,4772820.0,20.124000549316406,5896111.395364247,2182220.0
1,2007-08-01,4580940.0,20.124000549316406,5826879.584180118,2185310.0
1,2007-09-01,4219880.0,20.124000549316406,5314085.949924302,2188400.0
1,2007-10-01,4299790.0,20.124000549316406,5550675.28323042,2191490.0
1,2007-11-01,4164680.0000000005,20.124000549316406,5232771.252330647,2194580.0
1,2007-12-01,4207580.0,20.124000549316406,5246717.559283477,2197670.0
1,2008-01-01,4397190.0,19.18800163269043,5545718.5725762835,2200764.0
1,2008-02-01,4109830.0,19.18800163269043,5251816.125421794,2203837.0
1,2008-03-01,4392470.0,19.18800163269043,5473858.271749997,2206910.0
1,2008-04-01,4134080.0,19.18800163269043,5069117.406337148,2209983.0
1,2008-05-01,4506080.0,19.18800163269043,5437543.324444744,2213056.0
1,2008-06-01,4419530.0,19.18800163269043,5503373.687267325,2216129.0
1,2008-07-01,4811680.0,19.18800163269043,6032419.976485095,2219202.0
1,2008-08-01,4788040.0,19.18800163269043,5979597.903098405,2222275.0
1,2008-09-01,4289020.0,19.18800163269043,5328666.10053529,2225348.0
1,2008-10-01,4334300.0,19.18800163269043,5485673.636141868,2228421.0
1,2008-11-01,4082980.0,19.18800163269043,5257383.334380227,2231494.0
1,2008-12-01,4055370.0,19.18800163269043,5282114.8054413805,2234567.0
1,2009-01-01,4399530.0,21.17500114440918,5353221.860239429,2237642.0
1,2009-02-01,4043150.0,21.17500114440918,4987905.30462571,2240709.0
1,2009-03-01,4226270.0,21.17500114440918,5389441.423822988,2243776.0
1,2009-04-01,4061409.9999999995,21.17500114440918,5081848.117542533,2246843.0
1,2009-05-01,4412610.0,21.17500114440918,5501601.34441485,2249910.0
1,2009-06-01,4486680.0,21.17500114440918,5561145.043036092,2252977.0
1,2009-07-01,4579579.999999999,21.17500114440918,5595811.001912167,2256044.0
1,2009-08-01,4369310.0,21.17500114440918,5394045.040182151,2259111.0
1,2009-09-01,4102130.0,21.17500114440918,5035086.505504485,2262178.0
1,2009-10-01,4215150.0,21.17500114440918,5203082.876164107,2265245.0
1,2009-11-01,4226890.0,21.17500114440918,5139008.111172804,2268312.0
1,2009-12-01,4182450.0,21.17500114440918,5238514.5837408295,2271379.0
1,2010-01-01,4264370.0,23.009998321533203,5255114.309132645,2274457.0
1,2010-02-01,4087110.0,23.009998321533203,4925032.506260298,2277525.0
1,2010-03-01,4290410.0,23.009998321533203,5283931.635936801,2280593.0
1,2010-04-01,3948800.0,23.009998321533203,4772867.26546803,2283661.0
1,2010-05-01,4332120.0,23.009998321533203,5191421.166554166,2286729.0
1,2010-06-01,4498850.0,23.009998321533203,5423168.833233629,2289797.0
1,2010-07-01,4707310.0,23.009998321533203,5785781.893181366,2292865.0
1,2010-08-01,4618450.0,23.009998321533203,5619035.125981125,2295933.0
1,2010-09-01,4261220.0,23.009998321533203,5163721.573881424,2299001.0
1,2010-10-01,4129609.9999999995,23.009998321533203,4945143.952869565,2302069.0
1,2010-11-01,4030380.0,23.009998321533203,4677401.869751038,2305137.0
1,2010-12-01,4015190.0,23.009998321533203,4616070.06541381,2308205.0
1,2011-01-01,4223910.0,25.308000564575195,5195335.565520066,2311283.0
1,2011-02-01,3903200.0,25.308000564575195,4653452.033028671,2314356.0
1,2011-03-01,4143149.9999999995,25.308000564575195,5116512.185488703,2317429.0
1,2011-04-01,3899459.9999999995,25.308000564575195,4892431.072568246,2320502.0
1,2011-05-01,4410300.0,25.308000564575195,5217925.215058051,2323575.0
1,2011-06-01,4378600.0,25.308000564575195,5246119.572553879,2326648.0
1,2011-07-01,4532570.0,25.308000564575195,5476398.94954459,2329721.0
1,2011-08-01,4390310.0,25.308000564575195,5412497.877141412,2332794.0
1,2011-09-01,4081160.0,25.308000564575195,5018446.747216529,2335867.0
1,2011-10-01,4121240.0,25.308000564575195,5130930.245113023,2338940.0
1,2011-11-01,4002680.0,25.308000564575195,4899655.993866227,2342013.0
1,2011-12-01,4055440.0,25.308000564575195,5056104.886638858,2345086.0
1,2012-01-01,4248730.0,26.4320011138916,5262259.86977264,2348162.0
1,2012-02-01,4092130.0,26.4320011138916,5154994.185713013,2351241.0
1,2012-03-01,4049060.0,26.4320011138916,4940998.4099817965,2354320.0
1,2012-04-01,3879820.0,26.4320011138916,4795157.413829956,2357399.0
1,2012-05-01,4380600.0,26.4320011138916,5409132.451523048,2360478.0
1,2012-06-01,4345890.0,26.4320011138916,4986546.96755808,2363557.0
1,2012-07-01,4466200.0,26.4320011138916,5056079.7291908655,2366636.0
1,2012-08-01,4380970.0,26.4320011138916,5001041.34044087,2369715.0
1,2012-09-01,3936670.0,26.4320011138916,4556562.068975956,2372794.0
1,2012-10-01,4057060.0,26.4320011138916,4744474.363735753,2375873.0
1,2012-11-01,3937930.0,26.4320011138916,4676317.452252771,2378952.0
1,2012-12-01,3918510.0,26.4320011138916,4695485.156086221,2382031.0
1,2013-01-01,4106699.9999999995,27.25,4832418.92336145,2385121.0
1,2013-02-01,3923240.0,27.25,4431136.476200517,2388208.0
1,2013-03-01,4225440.0,27.25,4906504.4597129235,2391295.0
1,2013-04-01,3822650.0,27.25,4496905.14584586,2394382.0
1,2013-05-01,4213320.0,27.25,4845732.9226815915,2397469.0
1,2013-06-01,4213120.0,27.25,4847100.615949255,2400556.0
1,2013-07-01,4323280.0,27.25,4794740.03228551,2403643.0
1,2013-08-01,4186779.9999999995,27.25,4629910.145018929,2406730.0
1,2013-09-01,3770319.9999999995,27.25,4116990.8200543155,2409817.0
1,2013-10-01,3902960.0,27.25,4427035.228237418,2412904.0
1,2013-11-01,3762130.0,27.25,4461202.258759621,2415991.0
1,2013-12-01,3833160.0,27.25,4471705.410123911,2419078.0
1,2014-01-01,4208760.0,31.244003295898438,5016736.835981722,2422176.0
1,2014-02-01,3823850.0,31.244003295898438,4647739.469730623,2425272.0
1,2014-03-01,3962580.0,31.244003295898438,4906449.531101077,2428368.0
1,2014-04-01,3727330.0,31.244003295898438,4606681.631520466,2431464.0
1,2014-05-01,4048940.0,31.244003295898438,4856054.102481481,2434560.0
1,2014-06-01,4063520.0,31.244003295898438,4765113.592721466,2437656.0
1,2014-07-01,4287430.0,31.244003295898438,5028120.770290768,2440752.0
1,2014-08-01,4071150.0,31.244003295898438,4960672.868904876,2443848.0
1,2014-09-01,3650850.0,31.244003295898438,4322181.531080983,2446944.0
1,2014-10-01,3684120.0,31.244003295898438,4406919.321739553,2450040.0
