Time (Year),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1999,6.865841023140157,80.0,8.340237082739062,1913969.0
2013,6.030786267959865,80.0,6.921922412249304,2419078.0
2002,7.1441255263492405,82.5,8.678692662167123,2009524.0
2014,5.737540922699072,805.0,6.930401223086006,2456232.0
2003,7.210037379766988,82.5,8.759579673254738,2041274.0
2015,5.512493621615332,573.3333333333334,6.56190256502405,2493503.0
2004,7.22483306009709,84.16666666666667,8.77755455259119,2073511.0
2016,5.328984738585638,801.6666666666666,6.142167286630336,2530887.0
2005,7.098568555495808,84.16666666666667,8.762526334131639,2121897.0
2017,5.105325962430665,955.0,5.589160975379051,2568389.0
2006,7.167912238855261,96.66666666666667,8.914365194877918,2160537.0
2007,7.1309345450784845,101.66666666666667,8.907773548886167,2197670.0
2008,7.078171727349782,98.33333333333333,8.905659387370482,2234567.0
2009,6.827209194170027,85.83333333333333,8.471215999637888,2271379.0
2010,6.701701020894182,89.16666666666667,8.09640108460667,2308205.0
2011,6.461228744933615,84.16666666666667,7.92304756841318,2345086.0
2000,7.202035673922183,80.0,8.74862672816662,1946073.0
2012,6.303867939963694,84.16666666666667,7.5416761041489355,2382031.0
2001,7.186909593944669,81.66666666666667,8.728051407134979,1977731.0
