ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1989-01-01,694786.5786,25.65199851989746,NaN,1584706.0
1,1989-02-01,725034.7824,25.65199851989746,NaN,1587259.0
1,1989-03-01,687411.4281,25.65199851989746,NaN,1589812.0
1,1989-04-01,664478.1159,25.65199851989746,NaN,1592365.0
1,1989-05-01,717403.9416,25.65199851989746,NaN,1594918.0
1,1989-06-01,707713.6178999998,25.65199851989746,NaN,1597471.0
1,1989-07-01,725592.3669,25.65199851989746,NaN,1600024.0
1,1989-08-01,712750.4655,25.65199851989746,NaN,1602577.0
1,1989-09-01,666133.1304,25.65199851989746,NaN,1605130.0
1,1989-10-01,682728.9578999999,25.65199851989746,NaN,1607683.0
1,1989-11-01,671920.7931,25.65199851989746,NaN,1610236.0
1,1989-12-01,672744.0305999999,25.65199851989746,NaN,1612789.0
1,1990-01-01,725335.7792999999,23.83700180053711,NaN,1615343.0
1,1990-02-01,755586.1707,23.83700180053711,NaN,1617854.0
1,1990-03-01,717965.2391999998,23.83700180053711,NaN,1620365.0
1,1990-04-01,695034.5823,23.83700180053711,NaN,1622876.0
1,1990-05-01,747963.2934,23.83700180053711,NaN,1625387.0
1,1990-06-01,738276.0824999999,23.83700180053711,NaN,1627898.0
1,1990-07-01,756158.1684,23.83700180053711,NaN,1630409.0
1,1990-08-01,743319.8258999998,23.83700180053711,NaN,1632920.0
1,1990-09-01,696706.2684000001,23.83700180053711,NaN,1635431.0
1,1990-10-01,713306.0904,23.83700180053711,NaN,1637942.0
1,1990-11-01,702502.1330999999,23.83700180053711,NaN,1640453.0
1,1990-12-01,703329.789,23.83700180053711,NaN,1642964.0
1,1991-01-01,755747.7488999999,30.750999450683594,NaN,1645480.0
1,1991-02-01,786002.5626,30.750999450683594,NaN,1647960.0
1,1991-03-01,748386.2420999998,30.750999450683594,NaN,1650440.0
1,1991-04-01,725460.3837,30.750999450683594,NaN,1652920.0
