ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,1999-01-01,9.989494718999999E8,29.381999969482422,20.677349090576172,809319.3643122013,1885028.0
1,1999-02-01,1.0292766456000001E9,29.381999969482422,33.749473571777344,834290.601804358,1887659.0
1,1999-03-01,9.917333447999998E8,29.381999969482422,19.128692626953125,804463.0479782698,1890290.0
1,1999-04-01,9.688811514000001E8,29.381999969482422,24.411182403564453,786883.6591676879,1892921.0
1,1999-05-01,1.0218891432E9,29.381999969482422,34.635772705078125,833505.5163147147,1895552.0
1,1999-06-01,1.162224861E9,13.067960739135742,70.5102767944336,945528.935615457,1898183.0
1,1999-07-01,1.214681751E9,13.067960739135742,68.50022888183594,987568.4765635818,1900814.0
1,1999-08-01,1.2036293067E9,13.067960739135742,48.207542419433594,980398.3010732096,1903445.0
1,1999-09-01,1.1195032064999998E9,13.067960739135742,20.19713592529297,914080.0981114369,1906076.0
1,1999-10-01,1.1284389591000001E9,13.067960739135742,17.50562286376953,920891.1258553156,1908707.0
1,1999-11-01,1.0922510715E9,13.067960739135742,25.704639434814453,889763.6502312013,1911338.0
1,1999-12-01,1.112762037E9,16.220304489135742,40.47248458862305,898918.6920209187,1913969.0
1,2000-01-01,1.0872426441E9,16.220304489135742,34.32780456542969,896591.2540890968,1916604.0
1,2000-02-01,1.1330661129E9,16.220304489135742,66.68498992919922,919836.27932148,1919283.0
1,2000-03-01,1.1705434539E9,16.220304489135742,31.483383178710938,964016.0179799781,1921962.0
1,2000-04-01,1.0636875903000001E9,16.220304489135742,18.253610610961914,876528.1654386412,1924641.0
1,2000-05-01,1.2122787615E9,16.220304489135742,43.803504943847656,993382.5417681417,1927320.0
1,2000-06-01,1.2154628988000002E9,17.49809455871582,70.75000762939453,987732.5017331088,1929999.0
1,2000-07-01,1.2500633487E9,17.49809455871582,60.29643249511719,1016951.2730666366,1932678.0
1,2000-08-01,1.233792147E9,17.49809455871582,49.77866744995117,1011321.1367617971,1935357.0
1,2000-09-01,1.1428944591000001E9,17.49809455871582,35.304832458496094,939418.2823990805,1938036.0
1,2000-10-01,1.1643777774E9,17.49809455871582,22.64325714111328,960400.4964099637,1940715.0
1,2000-11-01,1.115666244E9,17.49809455871582,27.43534278869629,918573.2778344043,1943394.0
1,2000-12-01,1.120640472E9,16.636795043945312,35.50492858886719,914885.613374034,1946073.0
1,2001-01-01,1.1861704106999998E9,16.636795043945312,45.81193542480469,977862.8785002185,1948757.0
1,2001-02-01,1.1327560464E9,16.636795043945312,67.75934600830078,913501.6770490796,1951391.0
1,2001-03-01,1.177594071E9,16.636795043945312,35.38022232055664,976739.346507084,1954025.0
1,2001-04-01,1.1058034409999998E9,16.636795043945312,24.12757682800293,917194.2850225396,1956659.0
1,2001-05-01,1.2204256421999998E9,16.636795043945312,42.881874084472656,1009146.1093336357,1959293.0
1,2001-06-01,1.2101089401E9,18.00852394104004,56.43562698364258,989309.152866627,1961927.0
1,2001-07-01,1.2682331508E9,18.00852394104004,62.6956672668457,1035666.7299693831,1964561.0
1,2001-08-01,1.2753870459E9,18.00852394104004,61.408935546875,1039868.7855884134,1967195.0
1,2001-09-01,1.1539274124E9,18.00852394104004,27.553600311279297,955234.1728487969,1969829.0
1,2001-10-01,1.1748882081E9,18.00852394104004,21.367013931274414,973524.8182577376,1972463.0
1,2001-11-01,1.1161099593E9,18.00852394104004,20.618518829345703,920785.738875755,1975097.0
1,2001-12-01,1.0874313516E9,15.342048645019531,18.807966232299805,895044.8981211073,1977731.0
