Time (Month),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1999-01-01,0.5299388125799723,10.000000953674316,0.696188815054182,1885028.0
1999-02-01,0.5452661868483661,10.008057594299316,0.7163901023308276,1887659.0
1999-03-01,0.5246461521777082,10.007757186889648,0.6891821825953808,1890290.0
1999-04-01,0.5118444589076881,10.008024215698242,0.6729931306324956,1892921.0
1999-05-01,0.5390984393991829,10.00663948059082,0.7091975992036142,1895552.0
1999-06-01,0.6122828383775432,10.005331993103027,0.8056304290260524,1898183.0
1999-07-01,0.6390324092730798,10.004446983337402,0.8408571020054533,1900814.0
1999-08-01,0.6323425420750272,10.003883361816406,0.8319693961473377,1903445.0
1999-09-01,0.5873340045202815,10.003558158874512,0.7726195699887691,1906076.0
1999-10-01,0.5912059839462003,10.003393173217773,0.7776231276127076,1908707.0
1999-11-01,0.5714589073204216,10.00330638885498,0.7516374661630563,1911338.0
1999-12-01,0.5813897717256653,10.003241539001465,0.7644410170225636,1913969.0
2000-01-01,0.5672755691838273,10.003279685974121,0.7463264003029939,1916604.0
2000-02-01,0.5903590689856577,10.003161430358887,0.7770746493224333,1919283.0
2000-03-01,0.6090357145458651,10.00294303894043,0.801397660966564,1921962.0
2000-04-01,0.552668069006116,10.002837181091309,0.7269690482894797,1924641.0
2000-05-01,0.6289971307307557,10.002814292907715,0.8279589946252515,1927320.0
2000-06-01,0.6297738366703817,10.002665519714355,0.8290789382890823,1929999.0
2000-07-01,0.6468037484775012,10.002520561218262,0.8515057273204556,1932678.0
2000-08-01,0.6375010527773429,10.002395629882812,0.839176494452702,1935357.0
2000-09-01,0.5897178896573645,10.002302169799805,0.7759456886333338,1938036.0
2000-10-01,0.5999735922069959,10.002274513244629,0.7895452951515696,1940715.0
2000-11-01,0.5740813494330023,10.002233505249023,0.7555710266954723,1943394.0
2000-12-01,0.5758471033717646,10.002182960510254,0.757436874232255,1946073.0
