Time (Month),Consumption (MWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1989-01-01,0.43843246791518425,25.65199851989746,0.5621959383784183,1584706.0
1989-02-01,0.4567841873947478,25.65199851989746,0.5857280585946804,1587259.0
1989-03-01,0.43238536223150914,25.65199851989746,0.5544417972960881,1589812.0
1989-04-01,0.41729008424576025,25.65199851989746,0.5350853832692372,1592365.0
1989-05-01,0.4498061577460409,25.65199851989746,0.5767802547340073,1594918.0
1989-06-01,0.44302126611375103,25.65199851989746,0.5676178503627738,1597471.0
1989-07-01,0.4534884320485193,25.65199851989746,0.5810288894452987,1600024.0
1989-08-01,0.44475269363032166,25.65199851989746,0.5698363709190267,1602577.0
1989-09-01,0.41500260103543013,25.65199851989746,0.5317191972324027,1605130.0
1989-10-01,0.42466639101116327,25.65199851989746,0.5441008727974446,1607683.0
1989-11-01,0.4172809529162185,25.65199851989746,0.5346383530946849,1610236.0
1989-12-01,0.4171308212047577,25.65199851989746,0.5344459845046894,1612789.0
1990-01-01,0.4490289368883265,23.83700180053711,0.5753152220487777,1615343.0
1990-02-01,0.4670298973207718,23.83700180053711,0.5983787907180329,1617854.0
1990-03-01,0.4430885942364838,23.83700180053711,0.5677041111974699,1620365.0
1990-04-01,0.4282733631528225,23.83700180053711,0.5487222801127771,1622876.0
1990-05-01,0.4601755228139514,23.83700180053711,0.5895967279436052,1625387.0
1990-06-01,0.4535149392038076,23.83700180053711,0.5810628737807112,1627898.0
1990-07-01,0.46378435564327725,23.83700180053711,0.5942204613374,1630409.0
1990-08-01,0.45520895849153664,23.83700180053711,0.5832333189707029,1632920.0
1990-09-01,0.4260077312952977,23.83700180053711,0.5458195080909475,1635431.0
1990-10-01,0.4354892068827834,23.83700180053711,0.5579675358402748,1637942.0
1990-11-01,0.42823666694504503,23.83700180053711,0.5486752540465346,1640453.0
1990-12-01,0.42808595471355426,23.83700180053711,0.5484821303968461,1642964.0
1991-01-01,0.4592871077132508,30.750999450683594,0.5884584663681819,1645480.0
1991-02-01,0.4769548790625986,30.750999450683594,0.611095178572819,1647960.0
1991-03-01,0.45344650517437773,30.750999450683594,0.5809751135529094,1650440.0
1991-04-01,0.4388962411973961,30.750999450683594,0.5623327597523297,1652920.0
1991-05-01,0.4702150915186662,30.750999450683594,0.6024598239842878,1655400.0
1991-06-01,0.4636717147803219,30.750999450683594,0.5940761331501512,1657880.0
1991-07-01,0.4737523413597051,30.750999450683594,0.6069919094742421,1660360.0
1991-08-01,0.46532836893507495,30.750999450683594,0.5961988079728767,1662840.0
1991-09-01,0.4366480991641246,30.750999450683594,0.559452262087333,1665320.0
1991-10-01,0.44595545029380024,30.750999450683594,0.5713773584587433,1667800.0
1991-11-01,0.4388285571880164,30.750999450683594,0.5622460372550057,1670280.0
1991-12-01,0.4386764613572778,30.750999450683594,0.5620512153239308,1672760.0
1992-01-01,0.4692374100504702,31.56300163269043,0.6009550134905541,1675245.0
1992-02-01,0.4866032976543933,31.56300163269043,0.6231955859388593,1677647.0
1992-03-01,0.46352130205726144,31.56300163269043,0.5936343420934346,1680049.0
1992-04-01,0.4492368945663202,31.56300163269043,0.575340211680948,1682451.0
1992-05-01,0.4800177300334213,31.56300163269043,0.614761404355417,1684853.0
1992-06-01,0.47359998192330144,31.56300163269043,0.606542247592934,1687255.0
1992-07-01,0.4835172168079083,31.56300163269043,0.6192432267780946,1689657.0
1992-08-01,0.47525082606457575,31.56300163269043,0.6086564090394326,1692059.0
1992-09-01,0.44707531628051633,31.56300163269043,0.5725719008146919,1694461.0
1992-10-01,0.4562328764903236,31.56300163269043,0.584300022693148,1696863.0
1992-11-01,0.4492378690198409,31.56300163269043,0.575341482195787,1699265.0
1992-12-01,0.44909822250769393,31.56300163269043,0.5751626829738753,1701667.0
1993-01-01,0.4790867723467408,31.992002487182617,0.6047525485040368,1704074.0
1993-02-01,0.4961511944826487,31.992002487182617,0.6262930763116011,1706471.0
1993-03-01,0.473450882397002,31.992002487182617,0.5976383626763856,1708868.0
1993-04-01,0.45939893149220024,31.992002487182617,0.5799005675791221,1711265.0
1993-05-01,0.489653918042181,31.992002487182617,0.6180915437745282,1713662.0
1993-06-01,0.48333645579784845,31.992002487182617,0.6101169894519882,1716059.0
1993-07-01,0.49307994356561935,31.992002487182617,0.6159831675279953,1718456.0
1993-08-01,0.48494467569281047,31.992002487182617,0.6058201962550044,1720853.0
1993-09-01,0.45723255476570435,31.992002487182617,0.5712006189551193,1723250.0
1993-10-01,0.46622940555049786,31.992002487182617,0.5824399645119452,1725647.0
1993-11-01,0.4593432299756256,31.992002487182617,0.5738374560719411,1728044.0
1993-12-01,0.45919815382321616,31.992002487182617,0.5736562236570596,1730441.0
1994-01-01,0.48862639907204625,32.94200134277344,0.5912176463099795,1732845.0
1994-02-01,0.5053771093383983,32.94200134277344,0.611485327978087,1735319.0
1994-03-01,0.48302444537410383,32.94200134277344,0.5844395088066924,1737793.0
1994-04-01,0.46917703576520153,32.94200134277344,0.5676847160672602,1740267.0
1994-05-01,0.4988980003339567,32.94200134277344,0.6036458842014257,1742741.0
1994-06-01,0.4926564205556335,32.94200134277344,0.5960938267072913,1745215.0
1994-07-01,0.5022075580952904,32.94200134277344,0.6076502140660642,1747689.0
1994-08-01,0.4941790778916021,32.94200134277344,0.5979361525693311,1750163.0
1994-09-01,0.46690248037671234,32.94200134277344,0.5649326042033985,1752637.0
1994-10-01,0.47571980490122845,32.94200134277344,0.575601218629583,1755111.0
1994-11-01,0.468920884338453,32.94200134277344,0.5673748116829105,1757585.0
1994-12-01,0.4687500177550866,32.94200134277344,0.5671680672418862,1760059.0
1995-01-01,0.4976084203574618,33.93000030517578,0.6020854747495891,1762538.0
1995-02-01,0.514049886379152,33.93000030517578,0.6219790006141629,1765081.0
1995-03-01,0.49204744617633617,33.93000030517578,0.5953569929240624,1767624.0
1995-04-01,0.4784074398065267,33.93000030517578,0.5788531324681487,1770167.0
1995-05-01,0.507599804818611,33.93000030517578,0.6141746698614211,1772710.0
1995-06-01,0.5014373303410837,33.93000030517578,0.6067182702238358,1775253.0
1995-07-01,0.5108003814835897,33.93000030517578,0.6180472692508343,1777796.0
1995-08-01,0.5028816843309055,33.93000030517578,0.6084659610349645,1780339.0
1995-09-01,0.4760417402834287,33.93000030517578,0.5759907374401452,1782882.0
1995-10-01,0.4846837937745915,33.93000030517578,0.5864472797946778,1785425.0
1995-11-01,0.4779748225359738,33.93000030517578,0.5783297118347295,1787968.0
1995-12-01,0.4777815173992229,33.93000030517578,0.5780957843953994,1790511.0
1996-01-01,0.5060826567893193,28.39000129699707,0.6123390253998661,1793059.0
