Time (Month),Consumption (KWh) per household, Avg Tariff (c/KWh) per household,GHG Emissions (tCO2-e) per household,Number of Domestic Consumers (households)
1926-01-01,52.47399936968169,79.20000457763672,0.06903032919528768,120574.0
1926-02-01,50.34259920763785,79.20000457763672,0.06622644047706307,123176.0
1926-03-01,48.82411868530268,79.20000457763672,0.06422885669094912,125778.0
1926-04-01,45.42763670353638,79.20000457763672,0.059760733961149025,128380.0
1926-05-01,48.83113710280802,79.20000457763672,0.06423808952390722,130982.0
1926-06-01,47.67786561264822,79.20000457763672,0.06272094366932104,133584.0
1926-07-01,47.62604085588827,79.20000457763672,0.06265276742846694,136186.0
1926-08-01,45.976597400351615,79.20000457763672,0.06048289994947896,138788.0
1926-09-01,42.32972628898791,79.20000457763672,0.055685386583351315,141390.0
1926-10-01,43.12739596644258,79.20000457763672,0.05673473294698316,143992.0
1926-11-01,41.11355171425843,79.20000457763672,0.05408549078236495,146594.0
1926-12-01,40.01447759993565,79.20000457763672,0.05263964238443331,149196.0
1927-01-01,52.036258712236,81.60000610351562,0.06845447482838961,151798.0
1927-02-01,56.274982114610886,81.60000610351562,0.0740305787150464,152359.0
1927-03-01,52.73345540151713,81.60000610351562,0.06937164747680696,152920.0
1927-04-01,49.31555045901447,81.60000610351562,0.0648753425224817,153481.0
1927-05-01,52.77781384297789,81.60000610351562,0.06943000166847155,154042.0
1927-06-01,53.67295589348201,81.60000610351562,0.07060757439334653,154603.0
1927-07-01,54.92897837127169,81.60000610351562,0.07225989070542466,155164.0
1927-08-01,52.9202119120244,81.60000610351562,0.06961732845318645,155725.0
1927-09-01,49.524589534571234,81.60000610351562,0.06515033654568742,156286.0
1927-10-01,50.590703041817825,81.60000610351562,0.06655282477316747,156847.0
1927-11-01,49.62898963203903,81.60000610351562,0.06528767643177938,157408.0
1927-12-01,49.54769606694985,81.60000610351562,0.06518073353383043,157969.0
1928-01-01,56.673752199774185,61.19999694824219,0.07305777877690822,158539.0
1928-02-01,57.926829268292686,61.19999694824219,0.07468541111887955,161376.0
1928-03-01,55.13570789157984,61.19999694824219,0.07110241816476559,164213.0
1928-04-01,52.06225680933852,61.19999694824219,0.06710908245947575,167050.0
1928-05-01,54.9894930159459,61.19999694824219,0.07089270720887482,169887.0
1928-06-01,51.7762441814687,61.19999694824219,0.06674266045994239,172724.0
1928-07-01,54.45970346489254,61.19999694824219,0.07021148541216739,175561.0
1928-08-01,53.627282817071944,61.19999694824219,0.06915134544534214,178398.0
1928-09-01,47.55703920324441,61.19999694824219,0.061317573679783695,181235.0
1928-10-01,49.18727454474336,61.19999694824219,0.06339698649249595,184072.0
1928-11-01,46.46646228913536,61.19999694824219,0.059901220623265125,186909.0
1928-12-01,44.680783784638415,61.19999694824219,0.057603864979505474,189746.0
1929-01-01,48.10168646672759,59.39999771118164,0.062004010176415006,192592.0
1929-02-01,46.998726826693165,59.39999771118164,0.06059875682959278,193218.0
1929-03-01,46.39813458244774,59.39999771118164,0.05981912209687975,193844.0
1929-04-01,43.91937059700725,59.39999771118164,0.05661277177738777,194470.0
1929-05-01,48.00713494894821,59.39999771118164,0.0618850729982855,195096.0
1929-06-01,47.65432603386436,59.39999771118164,0.06144448159801055,195722.0
1929-07-01,48.37329639212011,59.39999771118164,0.062363076103652326,196348.0
1929-08-01,47.42757927442201,59.39999771118164,0.061137882826326755,196974.0
1929-09-01,44.347165991902834,59.39999771118164,0.05716917628822056,197600.0
1929-10-01,45.88701784831455,59.39999771118164,0.059164881991292245,198226.0
1929-11-01,44.384768571600986,59.39999771118164,0.05722714302068053,198852.0
1929-12-01,43.82438163607014,59.39999771118164,0.05650166093512498,199478.0
1930-01-01,48.81388457175411,63.0,0.06294049966326182,200107.0
1930-02-01,52.37048200212466,63.0,0.06750294350469219,202385.0
1930-03-01,48.709341698304044,63.0,0.06279478011996108,204663.0
1930-04-01,45.23028302752959,63.0,0.05830285004688648,206941.0
1930-05-01,48.050129290360815,63.0,0.06194904811219825,209219.0
1930-06-01,48.511326401792935,63.0,0.06254610828437589,211497.0
1930-07-01,49.29949713483803,63.0,0.06354587810776441,213775.0
1930-08-01,47.15509620324642,63.0,0.060795399967574326,216053.0
1930-09-01,43.83252950794894,63.0,0.056505305032871496,218331.0
1930-10-01,44.46781409643305,63.0,0.05731804381827913,220609.0
1930-11-01,43.32688761569764,63.0,0.05585722270835964,222887.0
1930-12-01,42.98181333688628,63.0,0.055408918394587205,225165.0
1931-01-01,41.86525034733825,68.4000015258789,0.05397747467221684,227444.0
1931-02-01,43.536715568033536,68.4000015258789,0.05611944027965974,227601.0
1931-03-01,42.13682944177592,68.4000015258789,0.05432404909059462,227758.0
1931-04-01,40.449290305596385,68.4000015258789,0.05214242032774998,227915.0
1931-05-01,43.420498789855834,68.4000015258789,0.055975220254643465,228072.0
1931-06-01,41.53722795963703,68.4000015258789,0.053548247232028424,228229.0
1931-07-01,44.37224698536688,68.4000015258789,0.05720000665892884,228386.0
1931-08-01,44.368018272272614,68.4000015258789,0.05719401596321109,228543.0
1931-09-01,39.94315697420201,68.4000015258789,0.05149223035373279,228700.0
1931-10-01,41.93448310517048,68.4000015258789,0.05405810423299508,228857.0
1931-11-01,40.20278236265032,68.4000015258789,0.05183389159593625,229014.0
1931-12-01,39.21962202896527,68.4000015258789,0.05056850822516278,229171.0
1932-01-01,46.752159485822176,53.29999923706055,0.06027480995147683,229337.0
1932-02-01,44.647417860698674,53.29999923706055,0.057548639030302974,231010.0
1932-03-01,43.23048955016052,53.29999923706055,0.055726555568908376,232683.0
1932-04-01,41.705780948642236,53.29999923706055,0.053776193856196,234356.0
1932-05-01,43.76157167127768,53.29999923706055,0.05641387373900809,236029.0
1932-06-01,43.504051291112404,53.29999923706055,0.05608925838022954,237702.0
1932-07-01,44.791644908616185,53.29999923706055,0.05774727651232528,239375.0
1932-08-01,42.041419136437554,53.29999923706055,0.05419999083499073,241048.0
1932-09-01,40.13249780612308,53.29999923706055,0.051740550749697405,242721.0
1932-10-01,41.41672872492778,53.29999923706055,0.05338378498961756,244394.0
1932-11-01,40.318287295736525,53.29999923706055,0.05196656804003253,246067.0
1932-12-01,40.40930007265682,53.29999923706055,0.052099285255075505,247740.0
1933-01-01,43.96234433761798,54.599998474121094,0.05668056516010557,249418.0
1933-02-01,44.2597564733045,54.599998474121094,0.05705956495797843,249911.0
1933-03-01,44.66382326160924,54.599998474121094,0.05758580052299059,250404.0
1933-04-01,42.1965986042081,54.599998474121094,0.05439281042228136,250897.0
1933-05-01,44.79891801583197,54.599998474121094,0.057760690686772816,251390.0
1933-06-01,44.59213206131418,54.599998474121094,0.05749384098746076,251883.0
1933-07-01,46.69223697974451,54.599998474121094,0.060198329082777655,252376.0
1933-08-01,46.15037825909859,54.599998474121094,0.059496085989578916,252869.0
1933-09-01,43.479290501338006,54.599998474121094,0.05604632042448427,253362.0
1933-10-01,42.89850505209667,54.599998474121094,0.05529111683754925,253855.0
1933-11-01,41.706638149307246,54.599998474121094,0.05376386032039701,254348.0
1933-12-01,41.284565670359164,54.599998474121094,0.053229960811250844,254841.0
1934-01-01,48.06607763887583,53.29999923706055,0.06196974144779501,255336.0
1934-02-01,46.47170074565551,53.29999923706055,0.05991821686282038,258028.0
1934-03-01,44.72614298864682,53.29999923706055,0.05765936302467518,260720.0
1934-04-01,42.53792537925379,53.29999923706055,0.054833948086792934,263412.0
1934-05-01,46.10979166040345,53.29999923706055,0.0594513480772535,266104.0
1934-06-01,45.0229914135627,53.29999923706055,0.05803944645212666,268796.0
1934-07-01,47.22860678925036,53.29999923706055,0.060882990576506,271488.0
1934-08-01,45.18929170617842,53.29999923706055,0.058252963380467856,274180.0
1934-09-01,41.90022826432431,53.29999923706055,0.054013921047421934,276872.0
1934-10-01,42.365969867364896,53.29999923706055,0.054610115394841174,279564.0
1934-11-01,41.14350093532113,53.29999923706055,0.05304370992289846,282256.0
1934-12-01,41.133820907674384,53.29999923706055,0.053026694307790875,284948.0
1935-01-01,46.66184589283976,53.29999923706055,0.0601627794671547,287644.0
1935-02-01,49.35896769363543,53.29999923706055,0.06363893308251108,288519.0
1935-03-01,45.20826278360989,53.29999923706055,0.058282700224403926,289394.0
1935-04-01,42.63286813266315,53.29999923706055,0.05496582862778214,290269.0
1935-05-01,46.513065699447694,53.29999923706055,0.05996201921006576,291144.0
