ConsumerUnit,Time (month),Consumption (MWh),Tariff (c/KWh),Wholesale ($/MWh),GHG Emissions (tCO2-e),Number of Domestic Consumers (households)
1,2000-05-01,1.2122787615E9,16.220304489135742,43.803504943847656,993382.5417681417,1927320.0
1,2000-06-01,1.2154628988000002E9,17.49809455871582,70.75000762939453,987732.5017331088,1929999.0
1,2000-07-01,1.2500633487E9,17.49809455871582,60.29643249511719,1016951.2730666366,1932678.0
1,2000-08-01,1.233792147E9,17.49809455871582,49.77866744995117,1011321.1367617971,1935357.0
1,2000-09-01,1.1428944591000001E9,17.49809455871582,35.304832458496094,939418.2823990805,1938036.0
1,2000-10-01,1.1643777774E9,17.49809455871582,22.64325714111328,960400.4964099637,1940715.0
1,2000-11-01,1.115666244E9,17.49809455871582,27.43534278869629,918573.2778344043,1943394.0
1,2000-12-01,1.120640472E9,16.636795043945312,35.50492858886719,914885.613374034,1946073.0
1,2001-01-01,1.1861704106999998E9,16.636795043945312,45.81193542480469,977862.8785002185,1948757.0
1,2001-02-01,1.1327560464E9,16.636795043945312,67.75934600830078,913501.6770490796,1951391.0
1,2001-03-01,1.177594071E9,16.636795043945312,35.38022232055664,976739.346507084,1954025.0
1,2001-04-01,1.1058034409999998E9,16.636795043945312,24.12757682800293,917194.2850225396,1956659.0
1,2001-05-01,1.2204256421999998E9,16.636795043945312,42.881874084472656,1009146.1093336357,1959293.0
1,2001-06-01,1.2101089401E9,18.00852394104004,56.43562698364258,989309.152866627,1961927.0
1,2001-07-01,1.2682331508E9,18.00852394104004,62.6956672668457,1035666.7299693831,1964561.0
1,2001-08-01,1.2753870459E9,18.00852394104004,61.408935546875,1039868.7855884134,1967195.0
1,2001-09-01,1.1539274124E9,18.00852394104004,27.553600311279297,955234.1728487969,1969829.0
1,2001-10-01,1.1748882081E9,18.00852394104004,21.367013931274414,973524.8182577376,1972463.0
1,2001-11-01,1.1161099593E9,18.00852394104004,20.618518829345703,920785.738875755,1975097.0
1,2001-12-01,1.0874313516E9,15.342048645019531,18.807966232299805,895044.8981211073,1977731.0
1,2002-01-01,1.1315664642E9,15.342048645019531,26.196584701538086,944825.8368787287,1980374.0
1,2002-02-01,1.0783708926E9,15.342048645019531,41.77108383178711,890244.5811371162,1983024.0
1,2002-03-01,1.1565004179E9,15.342048645019531,30.498823165893555,963878.8039354108,1985674.0
1,2002-04-01,1.1209028457E9,15.342048645019531,25.316112518310547,938543.0996537522,1988324.0
1,2002-05-01,1.2282223116E9,15.342048645019531,49.719688415527344,1021070.741082723,1990974.0
1,2002-06-01,1.2360083478E9,14.582629203796387,69.44478607177734,1011096.3670262158,1993624.0
1,2002-07-01,1.3076830292999997E9,14.582629203796387,75.94477081298828,1063515.59594918,1996274.0
1,2002-08-01,1.2860518881000001E9,14.582629203796387,66.33650207519531,1055304.3973803387,1998924.0
1,2002-09-01,1.1868539013E9,14.582629203796387,42.301170349121094,986242.7589069778,2001574.0
1,2002-10-01,1.1977185978E9,14.582629203796387,25.492338180541992,999514.7285730286,2004224.0
1,2002-11-01,1.1497009296E9,14.582629203796387,34.26170349121094,955598.4354316049,2006874.0
1,2002-12-01,1.173603828E9,19.065988540649414,37.78996276855469,968924.3007396371,2009524.0
1,2003-01-01,1.2008965245E9,19.065988540649414,48.601741790771484,990688.5566085114,2012179.0
1,2003-02-01,1.1259355238999999E9,19.065988540649414,58.39582824707031,926530.1637089377,2014824.0
1,2003-03-01,1.1935814376E9,19.065988540649414,41.637027740478516,995542.7162638179,2017469.0
1,2003-04-01,1.1427858848999999E9,19.065988540649414,33.25370407104492,960788.7525773743,2020114.0
1,2003-05-01,1.2499791771E9,19.065988540649414,56.02043533325195,1045168.757347648,2022759.0
