Actor Id,Organisation Name,RegistrationDate,Date of Change,ABN /CAN /ARBN /Other,Region,Role,Business Structure,Relationships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Corporation of the City of Melbourne (as electricity provider),1894-01-01,1994-09-01,55370219287,VIC,UTILITY_RETAILER,Local Government Entity,"(2,3)","(14,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ballarat Electric Supply Co. Limited,1894-03-01,1899-03-10,noabn0015,VIC,GENERATOR,Private Company Limited by Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,British Insulated Wire Co. Ltd. (Victoria),1897-04-28,1904-01-01,noabn0016,VIC,GENERATOR,Private Company Limited by Shares,"(15,3)","(18,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Brush Electric Eng. Co. Ltd.,1898-11-01,1900-01-01,noabn0017,VIC,GENERATOR,Private Company Limited by Shares,"(5,3)","(10,3)","(23,1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"James Colin Lockley, Nhill area",1898-10-10,1901-01-01,noabn0018,VIC,GENERATOR,Person,"(9,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,City of Hawthorn,1898-06-27,1911-06-22,noabn0019,VIC,GENERATOR,Local Government Entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Electric Lighting and Traction Company of Australia Limited,1899-12-01,1904-09-04,noabn0020,VIC,UTILITY_RETAILER,Private Company Limited by Shares,"(20,3)","(25,3)","(29,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Deep Leads Electric Transmission Company Limited,1899-10-30,1909-07-01,noabn0021,VIC,GENERATOR,Private Company Limited by Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Messrs. F.J. Leary and A. Dawson,1899-02-20,1900-02-08,noabn0022,VIC,GENERATOR,Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Electric Supply Company of Victoria Limited(registered in UK),1900-05-26,1934-06-02,noabn0023,VIC,GENERATOR,Private Company Limited by Shares,"(19,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Nhill Electric Lighting Co. Pty. Ltd.,1900-01-01,1921-03-01,noabn0024,VIC,GENERATOR,Private Company Limited by Shares,"(21,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"Victoria Electric Light, Heat, and Power Distributing Corporation limited",1901-01-01,1908-11-19,noabn0025,VIC,GENERATOR,Private Company Limited by Shares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Melbourne Electric Supply Co. Ltd.,1904-09-04,1934-08-04,noabn0020,VIC,GENERATOR,Private Company Limited by Shares,"(22,4)","(39,4)","(116,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Inglewood Borough Council,1904-06-29,1946-04-29,noabn0026,VIC,GENERATOR,Local Government Entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Alfred Edward Morgans (legal rep of  Council of the Town of Essendon,  Borough of Flemington, and Borough of Kensington)",1904-06-14,1906-10-09,noabn0027,VIC,UTILITY_RETAILER,Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Kerang Shire Council,1905-05-23,1959-05-12,noabn0028,VIC,UTILITY_RETAILER,Local Government Entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Hamilton Electric Supply Co. Ltd.,1905-02-27,1946-06-30,noabn0029,VIC,GENERATOR,Private Company Limited by Shares,"(68,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
