Actor Id,Organisation Name,RegistrationDate,Date of Change,ABN /CAN /ARBN /Other,Region,Role,Business Structure,Relationships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Loy Yang Power Co. Pty Ltd,1995-06-18,1997-03-25,noabn00198,VIC,GENERATOR,Australian Private Company,"(192,5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Southern Hydro Pty Ltd ,1995-06-18,1999-11-01,noabn00199,VIC,GENERATOR,Australian Private Company,"(192,5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Yallourn Energy Pty Ltd,1995-06-18,2005-06-15,65325224,VIC,GENERATOR,Australian Private Company,"(192,5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,Eastern Energy Ltd,1995-06-18,2000-05-11,91064651118,VIC,GENERATOR,Australian Private Company,"(194,5)","(463,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"CKI/HEI ELECTRICITY DISTRIBUTION (SERVICES) PTY LTD	",2004-12-22,2008-01-15,14112304622,VIC,NETWORKOP,Australian Private Company,"(931,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Powercor Australia Ltd,1995-06-18,2020-10-16,89064651109,VIC,NETWORKOP,Australian Public Company,"(194,5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,CitiPower Pty,1995-06-18,2016-11-22,76064651056,VIC,NETWORKOP,Australian Private Company,"(194,5)","(196,3)","(197,3)","(201,3)","(473,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Solaris Power,1995-06-18,1998-06-22,noabn00200,VIC,NETWORKOP,Australian Private Company,"(194,5)","(195,3)","(196,3)","(197,3)","(199,3)","(110,3)","(202,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,United Energy,1996-01-01,2000-03-07,noabn00201,VIC,NETWORKOP,Australian Private Company,"(194,5)","(198,3)","(200,3)","(478,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,Hazelwood Power (partnership),1996-08-01,2003-01-01,noabn00202,VIC,GENERATOR,Australian Private Company,"(203,3)","(216,6)","(217,6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,National Power UK (Hazelwood Partner),1996-08-01,2001-01-01,noabn00203,OTHER,GENERATOR,Australian Private Company,"(203,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Pacific Corp USA (Hazelwood Partner),1996-08-01,2003-01-01,noabn00204,VIC,GENERATOR,Australian Private Company,"(203,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Commonwealth Bank of Australia (Hazelwood Partner),1996-08-01,2003-01-01,noabn00205,VIC,GENERATOR,Australian Private Company,"(203,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,International Power Hazelwood (IPRH),2003-01-01,2011-01-01,40924759557,VIC,GENERATOR,Australian Private Company,"(213,1)","(218,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,IPR-GDF SUEZ Hazelwood (trading name),2011-01-01,2020-10-16,40924759557,VIC,GENERATOR,Other Partnership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,Generation Victoria Shell,1995-06-18,1999-01-01,noabn00207,VIC,GENERATOR,Australian Private Company,"(192,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,AES Transpower Holding Pty Ltd.,2000-05-14,2003-05-14,86086589611,VIC,GENERATOR,Australian Private Company,"(221,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,ECOGEN ENERGY PTY LTD,2003-05-14,2018-08-29,86086589611,VIC,GENERATOR,Australian Private Company,"(222,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,ENERGYAUSTRALIA ECOGEN PTY LTD,2018-08-29,2020-10-16,86086589611,VIC,GENERATOR,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Great Energy Alliance (GEAC),2003-12-01,2020-10-16,69105266028,NSW,GENERATOR,Australian Private Company,"(489,3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,EASTCOAST POWER PTY LTD,2000-05-29,2000-08-04,66079246423,NSW,GENERATOR,Australian Private Company,"(225,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,DUKE ENERGY BAIRNSDALE OPERATIONS PTY LTD,2000-08-04,2002-06-24,66079246423,NSW,GENERATOR,Australian Private Company,"(226,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Duke Energy Bairnsdale Operations Pty Ltd,2002-06-24,2003-09-14,66079246423,NSW,GENERATOR,Australian Private Company,"(227,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,DUKE ENERGY BAIRNSDALE OPERATIONS PTY LTD,2003-09-14,2004-06-06,66079246423,NSW,GENERATOR,Australian Private Company,"(228,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Alinta DEBO PTY LTD,2004-06-06,2020-10-16,66079246423,NSW,GENERATOR,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Alinta Energy Finance Pty Ltd(Alinta Energy),2011-03-15,2020-10-16,39149229998,NSW,UTILITY_RETAILER,Australian Private Company,"(228,1)","(230,6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Alinta Energy Retail Sales Pty Ltd,2011-03-03,2020-10-16,22149658300,NSW,UTILITY_RETAILER,Australian Private Company,"(399,4)","(506,4)","(585,4)","(634,4)","(684,4)","(742,4)","(763,4)","(778,4)","(811,4)","(832,4)","(850,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,AGL Energy Services Pty Limited,2003-05-06,2020-10-16,57074821720,NSW,GENERATOR,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,AGL Energy Sales & Marketing Limited,2000-03-11,2020-10-16,18076092067,NSW,UTILITY_RETAILER,Australian Public Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Moreland Energy Foundation Ltd,2001-08-17,2019-09-04,72095439160,VIC,ENERGYINSTITUTION,Australian Public Company,"(379,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,Acciona Energy Oceania Pty Ltd,2002-10-01,2020-10-16,98102345719,VIC,GENERATOR,Australian Private Company,"(530,1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Meridian Energy Limited,2001-07-01,2020-10-16,58355917919,OTHER,GENERATOR,Other Incorporated Entity,"(311,1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Hydro-Electric Corporation (Tasmania),1999-11-01,2020-10-16,48072377158,TAS,GENERATOR,Other Incorporated Entity,"(593,4)","(639,4)","(754,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,TRUSTPOWER AUSTRALIA HOLDINGS PTY LTD,2002-11-15,2016-08-27,15101038331,VIC,INVESTOR,Australian Private Company,"(350,1)","(444,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Essential Energy,1999-11-01,2020-10-16,37428185226,NSW,NETWORKOP,State Government Entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,BLUE NRG PTY. LTD. ,2011-07-01,2020-10-16,30151014658,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,CLICK ENERGY PTY LTD,2005-12-16,2017-09-22,41116567492,VIC,UTILITY_RETAILER,Australian Private Company,"(241,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,AMAYSIM ENERGY PTY LTD,2017-09-22,2020-10-16,41116567492,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,Commander (M2 Energy Pty Ltd),2014-01-31,2020-10-16,15123155840,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Dodo Power & Gas Pty Ltd,2006-12-20,2014-01-31,15123155840,VIC,UTILITY_RETAILER,Australian Private Company,"(242,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,ERM Power Retail Pty Ltd,2007-06-26,2020-10-16,87126175460,QLD,UTILITY_RETAILER,Australian Private Company,"(740,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,Flow Power (PROGRESSIVE GREEN PTY LTD),2008-03-14,2020-10-16,27130175343,VIC,UTILITY_RETAILER,Australian Private Company,"(440,4)","(581,4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,GLOBIRD ENERGY PTY. LTD. ,2014-07-01,2020-10-16,68600285827,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,VICTORIA ELECTRICITY PTY LIMITED,2002-09-02,2010-06-23,69100528327,VIC,UTILITY_RETAILER,Australian Private Company,"(248,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,LUMO ENERGY AUSTRALIA PTY LTD,2010-06-23,2020-10-16,69100528327,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Momentum Energy Pty Limited,2002-07-08,2020-10-16,42100569159,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PEOPLE ENERGY PTY LTD,2012-08-15,2020-10-16,20159727401,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,AUSTRALIAN ENERGY SERVICES PTY. LTD.,2000-04-28,2004-05-26,28067609803,NSW,UTILITY_RETAILER,Australian Private Company,"(252,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Powerdirect  Pty Ltd,2004-05-26,2020-10-16,28067609803,NSW,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,Powershop Australia Pty Limited,2012-01-12,2020-10-16,41154914075,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Qenergy Pty Ltd,2006-07-01,2011-05-27,58120124101,QLD,UTILITY_RETAILER,Australian Public Company,"(255,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,QENERGY LIMITED,2011-05-27,2020-10-16,58120124101,QLD,UTILITY_RETAILER,Australian Public Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,CONTACT AVALANCHE LIMITED,2004-01-16,2004-06-15,60107479372,VIC,UTILITY_RETAILER,Other Incorporated Entity,"(257,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,RED ENERGY LIMITED,2004-06-15,2005-07-08,60107479372,VIC,UTILITY_RETAILER,Other Incorporated Entity,"(258,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,RED ENERGY PTY. LIMITED,2005-07-08,2020-10-16,60107479372,VIC,UTILITY_RETAILER,Other Incorporated Entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Energy Australia Pty Limited& I Power Pty Ltd,2005-06-01,2007-08-10,67269241237,VIC,UTILITY_RETAILER,Other Partnership,"(260,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,IPOWER 2 PTY Limited& IPOWER PTY LIMITED,2007-08-10,2020-10-16,67269241237,VIC,UTILITY_RETAILER,Other Partnership,"(261,1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Simply Energy (trading name),2007-08-10,2020-10-16,67269241237,VIC,UTILITY_RETAILER,Other Partnership,"(264,6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,ENERGY AUSTRALIA PTY LIMITED,1999-11-01,2007-07-24,24070374293,NSW,UTILITY_RETAILER,Australian Private Company,"(263,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,IPOWER 2 PTY LIMITED,2007-07-24,2020-10-16,24070374293,NSW,UTILITY_RETAILER,Australian Private Company,"(260,6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,SIMPLY ENERGY SOLUTIONS PTY LTD,2013-09-03,2020-10-16,86165627396,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,SPARQ PTY LTD,2014-09-24,2017-10-26,86601199151,VIC,UTILITY_RETAILER,Australian Private Company,"(266,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,SUMO POWER PTY LTD,2017-10-26,2020-10-16,86601199151,VIC,UTILITY_RETAILER,Australian Private Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Chow Tai Fook Enterprises (CTFE),1929-01-01,2020-10-16,noabn00208,OTHER,INVESTOR,International Company,"(268,1)","(491,1)","(477,7)","(506,1)","(935,1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PIONEER SAIL AUSTRALIA PTY LIMITED,2017-03-08,2020-10-16,91617846385,NSW,INVESTOR,Australian Private Company,"(229,1)","(228,1)","(230,1)","(491,1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,STATE OF VICTORIA - PARLIAMENT OF VICTORIA,1999-11-01,2020-10-16,57505521939,VIC,GOVAUTHORITY,State Government Entity,"(238,1)","(341,6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,ACT Government (ACT GOVERNMENT EXECUTIVE UNIT),1999-11-01,2020-10-16,74585894509,ACT,GOVAUTHORITY,Territory Government Entity,"(341,6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PUBLIC TRUSTEE FOR THE AUSTRALIAN CAPITAL TERRITORY,1999-11-01,2016-04-05,45801644305,ACT,GOVAUTHORITY,State Government Other Incorporated Entity,"(272,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,PUBLIC TRUSTEE AND GUARDIAN,2016-04-05,2020-10-16,45801644305,ACT,GOVAUTHORITY,State Government Other Incorporated Entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,NSW Government (THE LEGISLATURE NSW PARLIAMENT HOUSE),1999-11-01,2000-08-18,89288775026,NSW,GOVAUTHORITY,State Government Entity,"(274,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,NSW Government (THE LEGISLATURE),2000-08-18,2020-10-16,89288775026,NSW,GOVAUTHORITY,State Government Entity,"(341,6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,DEPARTMENT OF PREMIER AND CABINET NSW,1999-11-01,2020-10-16,34945244274,NSW,GOVAUTHORITY,State Government Entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,DEPARTMENT OF PREMIER AND CABINET VIC,1999-11-01,2020-10-16,36081905761,VIC,GOVAUTHORITY,State Government Entity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,ENVIRONMENT AUSTRALIA,1999-11-01,2007-03-01,34190894983,ACT,GOVAUTHORITY,Commonwealth Government Entity,"(278,2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
