year,region,lga_code,lga_name,vifsa_district,couple_with_children,couple_without_children,one_parent_family,other_family,group_household,lone_person,all_household_types
2016,48 Regional LGAs,21670,Central Goldfields (S),VIFSA Central Goldfields Rural,519,738,228,18,78,734,2316
2016,48 Regional LGAs,21670,Central Goldfields (S),VIFSA Maryborough Town,670,1037,472,13,128,1411,3731
2016,48 Regional LGAs,21750,Colac-Otway (S),VIFSA Apollo Bay-Gellibrand District,326,559,154,2,56,623,1721
2016,48 Regional LGAs,21750,Colac-Otway (S),VIFSA Beeac-Swan Marsh District,650,730,194,24,45,576,2219
2016,48 Regional LGAs,21750,Colac-Otway (S),VIFSA Colac Town,1296,1395,576,66,208,1822,5363
2016,48 Regional LGAs,21830,Corangamite (S),VIFSA Camperdown-Lismore District,966,1209,373,15,87,1362,4011
2016,48 Regional LGAs,21830,Corangamite (S),VIFSA Cobden-Port Campbell District,897,910,250,33,55,749,2894
2016,31 Metropolitan LGAS,21890,Darebin (C),VIFSA Northcote-Thornbury District,6433,5558,1768,365,2438,6953,23515
2016,31 Metropolitan LGAS,21890,Darebin (C),VIFSA Preston-Reservoir District,11395,9139,4231,790,2898,10809,39263
2016,48 Regional LGAs,22110,East Gippsland (S),VIFSA Bairnsdale Town,1493,1916,764,61,168,2104,6506
2016,48 Regional LGAs,22110,East Gippsland (S),VIFSA Lakes District,1458,2986,630,23,222,2364,7682
2016,48 Regional LGAs,22110,East Gippsland (S),VIFSA Omeo District,898,1207,267,14,81,830,3297
2016,48 Regional LGAs,22110,East Gippsland (S),VIFSA Orbost District,594,1002,288,16,71,1175,3145
2016,31 Metropolitan LGAS,22170,Frankston (C),VIFSA Frankston-Seaford District,8740,8000,4858,431,1329,10577,33935
2016,31 Metropolitan LGAS,22170,Frankston (C),VIFSA Langwarrin-Skye District,8415,5119,3005,251,592,4617,22000
2016,48 Regional LGAs,22250,Gannawarra (S),VIFSA Gannawarra Shire,1115,1576,350,28,109,1562,4740
2016,31 Metropolitan LGAS,22310,Glen Eira (C),VIFSA Bentleigh District,7979,4323,2116,250,579,4426,19672
2016,31 Metropolitan LGAS,22310,Glen Eira (C),VIFSA Carnegie-Caulfield District,11957,9998,2702,534,2874,11218,39284
2016,48 Regional LGAs,22410,Glenelg (S),VIFSA Glenelg Rural,962,1300,310,34,85,1257,3948
2016,48 Regional LGAs,22410,Glenelg (S),VIFSA Portland Town,1128,1395,583,34,146,1610,4896
2016,48 Regional LGAs,22490,Golden Plains (S),VIFSA Bannockburn-Meredith District,2038,1403,429,36,58,779,4742
2016,48 Regional LGAs,22490,Golden Plains (S),VIFSA Linton-Smythesdale District,1220,1017,267,14,32,652,3202
2016,48 Regional LGAs,22620,Greater Bendigo (C),VIFSA Ascot-Eaglehawk District,2732,2447,1471,98,397,2647,9792
2016,48 Regional LGAs,22620,Greater Bendigo (C),VIFSA Bendigo-Kangaroo Flat District,4153,4343,2192,218,733,5460,17100
2016,48 Regional LGAs,22620,Greater Bendigo (C),VIFSA East Bendigo-Strathfieldsaye District,3670,3517,1442,129,650,3621,13029
2016,48 Regional LGAs,22620,Greater Bendigo (C),VIFSA Greater Bendigo Rural,2135,2193,558,31,149,1487,6553
2016,31 Metropolitan LGAS,22670,Greater Dandenong (C),VIFSA Dandenong District,7917,4672,2966,459,1217,5255,22485
2016,31 Metropolitan LGAS,22670,Greater Dandenong (C),VIFSA Keysborough-Springvale District,12384,6713,4379,690,1388,6333,31886
2016,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Barwon Heads-Portarlington District,5571,6204,1865,103,436,4942,19122
2016,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Bell Park-Corio District,4239,3778,3042,223,638,5343,17262
2016,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Geelong Central District,1255,1502,576,77,412,2176,5998
2016,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Geelong Newtown District,1357,1128,364,39,180,1241,4309
2016,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Geelong West District,2298,2108,896,109,467,3030,8907
2016,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Grovedale-Highton District,7501,6569,2319,221,1090,6175,23875
2016,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Lara District,2490,1765,720,55,125,1237,6393
2016,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Leopold-Newcomb District,3166,3167,1588,126,349,3401,11797
2016,48 Regional LGAs,22830,Greater Shepparton (C),VIFSA Arcadia-Tallygaroopna District,584,473,98,17,15,302,1489
2016,48 Regional LGAs,22830,Greater Shepparton (C),VIFSA Ardmona-Murchison District,1274,1235,353,30,107,1089,4089
2016,48 Regional LGAs,22830,Greater Shepparton (C),VIFSA Shepparton Town,5789,5240,2591,189,683,5787,20279
2016,48 Regional LGAs,22910,Hepburn (S),VIFSA Clunes-Creswick District,714,893,289,15,47,839,2796
2016,48 Regional LGAs,22910,Hepburn (S),VIFSA Daylesford-Glenlyon District,896,1326,363,12,137,1447,4181
2016,48 Regional LGAs,22980,Hindmarsh (S),VIFSA Hindmarsh Shire,615,861,182,22,62,868,2610
2016,31 Metropolitan LGAS,23110,Hobsons Bay (C),VIFSA Altona-Seabrook District,7575,5581,2758,381,816,5645,22756
2016,31 Metropolitan LGAS,23110,Hobsons Bay (C),VIFSA Newport-Williamstown District,4979,3325,1296,189,471,3470,13731
2016,48 Regional LGAs,23190,Horsham (RC),VIFSA Horsham Rural,447,442,95,2,13,386,1385
2016,48 Regional LGAs,23190,Horsham (RC),VIFSA Horsham Town,1764,2040,793,71,198,2356,7221
2016,31 Metropolitan LGAS,23270,Hume (C),VIFSA Broadmeadows District,9217,4806,4047,401,777,5215,24463
2016,31 Metropolitan LGAS,23270,Hume (C),VIFSA Bulla-Craigieburn District,15652,5196,3584,313,495,3133,28373
2016,31 Metropolitan LGAS,23270,Hume (C),VIFSA Sunbury District,5402,3521,1827,156,323,2980,14210
2016,48 Regional LGAs,23350,Indigo (S),VIFSA Beechworth-Chiltern District,1515,1687,441,14,98,1185,4940
2016,48 Regional LGAs,23350,Indigo (S),VIFSA Rutherglen District,437,543,167,8,38,521,1713
2016,31 Metropolitan LGAS,23430,Kingston (C) (Vic.),VIFSA Aspendale-Chelsea District,7641,5548,2333,205,625,5851,22204
2016,31 Metropolitan LGAS,23430,Kingston (C) (Vic.),VIFSA Moorabbin-Mordialloc District,13978,9983,4344,544,1336,10538,40724
2016,31 Metropolitan LGAS,23670,Knox (C),VIFSA Bayswater-Ferntree Gully District,8919,6968,3470,289,822,7050,27519
2016,31 Metropolitan LGAS,23670,Knox (C),VIFSA Rowville District,7183,3252,1302,130,186,1869,13922
2016,31 Metropolitan LGAS,23670,Knox (C),VIFSA Scoresby-Wantirna District,7104,4555,1895,193,382,3250,17378
2016,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Churchill District,1425,1469,533,37,131,1048,4643
2016,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Glengarry North-Tyers District,663,579,178,13,45,433,1910
2016,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Moe Town,1656,1884,1086,60,207,2736,7628
2016,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Morwell Town,1199,1518,974,57,219,2480,6448
2016,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Traralgon Town,3122,3093,1350,94,338,3474,11472
2016,48 Regional LGAs,23940,Loddon (S),VIFSA Loddon Shire,768,1110,263,20,106,1182,3449
2016,48 Regional LGAs,24130,Macedon Ranges (S),VIFSA Gisborne District,3596,2576,737,51,88,1633,8680
2016,48 Regional LGAs,24130,Macedon Ranges (S),VIFSA Kyneton District,1145,1220,404,25,111,1111,4017
2016,48 Regional LGAs,24130,Macedon Ranges (S),VIFSA Romsey District,2042,1554,460,13,93,923,5084
2016,31 Metropolitan LGAS,24210,Manningham (C),VIFSA Doncaster-Templestowe District,13651,9747,3526,491,873,7007,35295
2016,31 Metropolitan LGAS,24210,Manningham (C),VIFSA Donvale-Warrandyte District,4311,2456,771,66,127,1495,9226
2016,48 Regional LGAs,24250,Mansfield (S),VIFSA Mansfield Shire,872,1221,289,19,96,1191,3687
2016,31 Metropolitan LGAS,24330,Maribyrnong (C),VIFSA Maribyrnong City,9681,8381,3344,775,3339,9483,35003
2016,31 Metropolitan LGAS,24410,Maroondah (C),VIFSA Croydon District,8994,6097,2939,248,653,6096,25027
2016,31 Metropolitan LGAS,24410,Maroondah (C),VIFSA Ringwood District,6612,4830,2039,240,660,4735,19115
2016,31 Metropolitan LGAS,24600,Melbourne (C),VIFSA CBD-East Melbourne District,1318,5168,553,1083,5749,8394,22265
2016,31 Metropolitan LGAS,24600,Melbourne (C),VIFSA Docklands-Southbank District,2001,6202,778,580,3040,6843,19445
2016,31 Metropolitan LGAS,24600,Melbourne (C),VIFSA Parkville-West Melbourne District,3278,5940,1592,792,5632,10193,27428
2016,31 Metropolitan LGAS,24650,Melton (C),VIFSA Caroline Springs-Hillside District,12930,4551,2642,242,321,2774,23460
2016,31 Metropolitan LGAS,24650,Melton (C),VIFSA Melton Central District,4789,3040,2313,164,409,2762,13477
2016,31 Metropolitan LGAS,24650,Melton (C),VIFSA Rockbank District,3352,2163,1421,131,323,2028,9418
2016,48 Regional LGAs,24780,Mildura (RC),VIFSA Mildura Rural,424,525,107,7,47,518,1628
2016,48 Regional LGAs,24780,Mildura (RC),VIFSA Mildura Town,5647,5709,2570,221,692,6010,20849
2016,48 Regional LGAs,24850,Mitchell (S),VIFSA Kilmore-Wallan District,4304,2903,1389,80,251,2178,11104
2016,48 Regional LGAs,24850,Mitchell (S),VIFSA Seymour District,1223,1225,564,33,132,1310,4488
2016,48 Regional LGAs,24900,Moira (S),VIFSA Cobram-Numurkah District,2030,2446,851,52,212,2389,7979
2016,48 Regional LGAs,24900,Moira (S),VIFSA Katamatite-Yarrawonga District,1087,1652,440,14,108,1327,4627
2016,31 Metropolitan LGAS,24970,Monash (C),VIFSA Clayton-Oakleigh District,5788,4405,1617,475,2600,4586,19470
2016,31 Metropolitan LGAS,24970,Monash (C),VIFSA Glen Waverley-Mulgrave District,12281,7683,3127,426,881,4992,29389
2016,31 Metropolitan LGAS,24970,Monash (C),VIFSA Mount Waverley District,7421,5069,2130,327,1100,4355,20403
2016,31 Metropolitan LGAS,25060,Moonee Valley (C),VIFSA Airport West-Niddrie District,5781,4285,2003,251,389,3749,16457
2016,31 Metropolitan LGAS,25060,Moonee Valley (C),VIFSA Ascot Vale-Strathmore District,10199,7614,2872,632,2164,9546,33027
2016,48 Regional LGAs,25150,Moorabool (S),VIFSA Bacchus Marsh District,2839,2031,1004,56,157,1811,7898
2016,48 Regional LGAs,25150,Moorabool (S),VIFSA Ballan District,797,754,214,6,49,610,2431
2016,48 Regional LGAs,25150,Moorabool (S),VIFSA Gordon-Mount Egerton District,767,653,191,9,49,468,2136
2016,31 Metropolitan LGAS,25250,Moreland (C),VIFSA Brunswick District,4583,6548,1581,503,3916,7805,24937
2016,31 Metropolitan LGAS,25250,Moreland (C),VIFSA Coburg-Pascoe Vale District,9183,6707,2644,527,1928,6885,27874
2016,31 Metropolitan LGAS,25250,Moreland (C),VIFSA Fawkner-Glenroy District,5857,3960,2038,315,715,4346,17231
2016,31 Metropolitan LGAS,25340,Mornington Peninsula (S),VIFSA Flinders-Nepean District,5709,8449,2649,169,576,8146,25698
2016,31 Metropolitan LGAS,25340,Mornington Peninsula (S),VIFSA Hastings-Somerville District,5113,4520,2065,125,378,4034,16235
2016,31 Metropolitan LGAS,25340,Mornington Peninsula (S),VIFSA Mornington District,8363,7454,2338,155,417,6125,24852
