year,region,lga_code,lga_name,vifsa_district,couple_with_children,couple_without_children,one_parent_family,other_family,group_household,lone_person,all_household_types
2021,31 Metropolitan LGAs,25060,Moonee Valley (C),,17505,13208,5337,968,2784,14738,54540
2021,48 Regional LGAs,25150,Moorabool (S),,4992,4029,1607,81,292,3389,14390
2021,31 Metropolitan LGAs,25250,Moreland (C),,22578,19394,6997,1466,7171,21342,78947
2021,31 Metropolitan LGAs,25340,Mornington Peninsula (S),,19659,22720,7360,481,1460,20158,71838
2021,48 Regional LGAs,25430,Mount Alexander (S),,1930,2722,852,68,332,3015,8920
2021,48 Regional LGAs,25490,Moyne (S),,2084,2337,585,61,152,1902,7122
2021,48 Regional LGAs,25620,Murrindindi (S),,1573,2374,491,24,159,2157,6779
2021,31 Metropolitan LGAs,25710,Nillumbik (S),,10349,6527,2015,134,293,3706,23025
2021,48 Regional LGAs,25810,Northern Grampians (S),,1081,1660,436,38,172,1817,5203
2021,31 Metropolitan LGAs,25900,Port Phillip (C),,9482,16907,3638,933,5561,24991,61512
2021,48 Regional LGAs,25990,Pyrenees (S),,743,1070,242,6,88,1083,3232
2021,48 Regional LGAs,26080,Queenscliffe (B),,267,577,92,1,12,467,1417
2021,48 Regional LGAs,26170,South Gippsland (S),,3289,4455,1077,68,277,4026,13191
2021,48 Regional LGAs,26260,Southern Grampians (S),,1766,2267,608,31,150,2413,7234
2021,31 Metropolitan LGAs,26350,Stonnington (C),,11500,15757,3355,990,5680,20357,57640
2021,48 Regional LGAs,26430,Strathbogie (S),,1034,1758,403,24,120,1763,5103
2021,48 Regional LGAs,26490,Surf Coast (S),,4632,4454,1052,97,418,3101,13754
2021,48 Regional LGAs,26610,Swan Hill (RC),,2357,2565,842,89,332,2573,8758
2021,48 Regional LGAs,26670,Towong (S),,606,1027,162,14,73,928,2810
2021,48 Regional LGAs,26700,Wangaratta (RC),,3210,3937,1244,118,348,3994,12849
2021,48 Regional LGAs,26730,Warrnambool (C),,3929,4268,1657,137,616,4652,15258
2021,48 Regional LGAs,26810,Wellington (S),,4928,5967,1786,133,513,5936,19263
2021,48 Regional LGAs,26890,West Wimmera (S),,396,567,96,14,24,616,1713
2021,31 Metropolitan LGAs,26980,Whitehorse (C),,24284,16885,6656,1032,3959,16703,69519
2021,31 Metropolitan LGAs,27070,Whittlesea (C),,36975,19610,10750,1042,2178,14115,84670
2021,48 Regional LGAs,27170,Wodonga (C),,5040,5048,2313,149,566,4928,18044
2021,31 Metropolitan LGAs,27260,Wyndham (C),,46489,21214,11917,1012,2472,14604,97707
2021,31 Metropolitan LGAs,27350,Yarra (C),,7947,14019,3502,863,6924,16550,49805
2021,31 Metropolitan LGAs,27450,Yarra Ranges (S),,21761,17529,6906,491,1288,13401,61375
2021,48 Regional LGAs,27630,Yarriambiack (S),,602,962,264,12,75,1075,2990
2021,48 Regional LGAs,29399,Unincorporated Vic,,89,143,31,2,11,131,407
2026,48 Regional LGAs,20110,Alpine (S),VIFSA Bright-Harrietville District,835,1242,308,15,134,1167,3701
2026,48 Regional LGAs,20110,Alpine (S),VIFSA Myrtleford District,446,741,187,24,40,745,2183
2026,48 Regional LGAs,20260,Ararat (RC),VIFSA Ararat Rural,378,520,82,4,24,421,1429
2026,48 Regional LGAs,20260,Ararat (RC),VIFSA Ararat Town,779,1069,396,44,136,1266,3689
2026,48 Regional LGAs,20570,Ballarat (C),VIFSA Ballarat Central and East District,6641,7441,3485,301,1545,10147,29560
2026,48 Regional LGAs,20570,Ballarat (C),VIFSA Ballarat Rural,175,247,71,4,13,242,752
2026,48 Regional LGAs,20570,Ballarat (C),VIFSA Buninyong-Mount Helen District,1165,1058,266,16,113,665,3285
2026,48 Regional LGAs,20570,Ballarat (C),VIFSA Delacombe-Miners Rest District,5956,5162,2439,179,691,5085,19512
2026,31 Metropolitan LGAS,20660,Banyule (C),VIFSA Ivanhoe-Rosanna District,10267,7680,3184,495,1174,8181,30982
2026,31 Metropolitan LGAS,20660,Banyule (C),VIFSA Lower Plenty-Watsonia District,8252,6340,2648,252,572,5360,23424
2026,48 Regional LGAs,20740,Bass Coast (S),VIFSA Phillip Island,1121,2152,574,32,133,2145,6156
2026,48 Regional LGAs,20740,Bass Coast (S),VIFSA Wonthaggi District,2455,4254,1285,100,385,4636,13116
2026,48 Regional LGAs,20830,Baw Baw (S),VIFSA Drouin-Warragul District,5454,5932,2117,143,468,5152,19266
2026,48 Regional LGAs,20830,Baw Baw (S),VIFSA Neerim-Trafalgar District,1732,2171,571,28,117,1696,6313
2026,31 Metropolitan LGAS,20910,Bayside (C),VIFSA Brighton District,6014,4998,1437,167,395,4499,17509
2026,31 Metropolitan LGAS,20910,Bayside (C),VIFSA Hampton-Sandringham District,9796,7583,2349,228,656,7172,27784
2026,48 Regional LGAs,21010,Benalla (RC),VIFSA Benalla Rural,450,652,111,2,41,347,1604
2026,48 Regional LGAs,21010,Benalla (RC),VIFSA Benalla Town,886,1630,530,44,151,1936,5177
2026,31 Metropolitan LGAS,21110,Boroondara (C),VIFSA Ashburton-Camberwell District,7646,5033,1527,243,729,4236,19414
2026,31 Metropolitan LGAS,21110,Boroondara (C),VIFSA Balwyn-Canterbury District,8618,5247,2015,308,560,4453,21201
2026,31 Metropolitan LGAS,21110,Boroondara (C),VIFSA Hawthorn District,5326,5430,1212,433,1986,7105,21494
2026,31 Metropolitan LGAS,21110,Boroondara (C),VIFSA Kew District,4615,3561,1254,236,838,3354,13858
2026,31 Metropolitan LGAS,21180,Brimbank (C),VIFSA Cairnlea-Sunshine District,15185,8358,6425,928,1677,8130,40703
2026,31 Metropolitan LGAS,21180,Brimbank (C),VIFSA Keilor-Sydenham District,13827,9322,5265,541,824,7118,36896
2026,48 Regional LGAs,21270,Buloke (S),VIFSA Buloke Shire,535,890,174,23,85,955,2663
2026,48 Regional LGAs,21370,Campaspe (S),VIFSA Echuca Town,1597,2114,700,52,220,2038,6721
2026,48 Regional LGAs,21370,Campaspe (S),VIFSA Kyabram District,1238,1488,455,35,86,1428,4731
2026,48 Regional LGAs,21370,Campaspe (S),VIFSA Rochester District,965,1166,275,18,52,845,3321
2026,48 Regional LGAs,21370,Campaspe (S),VIFSA Rushworth District,358,626,175,5,44,615,1824
2026,31 Metropolitan LGAS,21450,Cardinia (S),VIFSA Emerald-Garfield District,4471,3509,1059,59,205,2051,11353
2026,31 Metropolitan LGAS,21450,Cardinia (S),VIFSA Koo Wee Rup District,1517,1205,411,37,64,906,4139
2026,31 Metropolitan LGAS,21450,Cardinia (S),VIFSA Officer-Pakenham District,14974,8407,4895,347,843,6905,36371
2026,31 Metropolitan LGAS,21610,Casey (C),VIFSA Berwick-Narre Warren District,19498,11400,4833,435,854,7183,44203
2026,31 Metropolitan LGAS,21610,Casey (C),VIFSA Cranbourne District,37155,17438,9851,860,1669,11534,78507
2026,31 Metropolitan LGAS,21610,Casey (C),VIFSA Doveton-Hallam District,7157,4590,2480,227,588,3515,18557
2026,31 Metropolitan LGAS,21610,Casey (C),VIFSA Pearcedale-Tooradin District,1205,978,322,19,60,671,3254
2026,48 Regional LGAs,21670,Central Goldfields (S),VIFSA Central Goldfields Rural,533,804,235,20,83,802,2477
2026,48 Regional LGAs,21670,Central Goldfields (S),VIFSA Maryborough Town,681,1132,481,13,137,1579,4023
2026,48 Regional LGAs,21750,Colac-Otway (S),VIFSA Apollo Bay-Gellibrand District,301,611,157,2,60,664,1796
2026,48 Regional LGAs,21750,Colac-Otway (S),VIFSA Beeac-Swan Marsh District,608,768,199,24,45,599,2242
2026,48 Regional LGAs,21750,Colac-Otway (S),VIFSA Colac Town,1329,1575,585,68,206,2043,5805
2026,48 Regional LGAs,21830,Corangamite (S),VIFSA Camperdown-Lismore District,872,1264,328,15,83,1415,3977
2026,48 Regional LGAs,21830,Corangamite (S),VIFSA Cobden-Port Campbell District,802,1016,232,30,56,810,2946
2026,31 Metropolitan LGAS,21890,Darebin (C),VIFSA Northcote-Thornbury District,7146,6564,2041,419,2758,8137,27064
2026,31 Metropolitan LGAS,21890,Darebin (C),VIFSA Preston-Reservoir District,14156,10917,5144,917,3335,12844,47312
2026,48 Regional LGAs,22110,East Gippsland (S),VIFSA Bairnsdale Town,1737,2312,873,65,185,2549,7720
2026,48 Regional LGAs,22110,East Gippsland (S),VIFSA Lakes District,1537,3575,682,27,260,2926,9006
2026,48 Regional LGAs,22110,East Gippsland (S),VIFSA Omeo District,946,1206,280,15,84,847,3377
2026,48 Regional LGAs,22110,East Gippsland (S),VIFSA Orbost District,477,1101,254,12,79,1291,3215
2026,31 Metropolitan LGAS,22170,Frankston (C),VIFSA Frankston-Seaford District,9317,8883,5242,441,1373,11784,37040
2026,31 Metropolitan LGAS,22170,Frankston (C),VIFSA Langwarrin-Skye District,8854,6525,3346,268,654,5938,25586
2026,48 Regional LGAs,22250,Gannawarra (S),VIFSA Gannawarra Shire,1064,1591,328,27,104,1627,4741
2026,31 Metropolitan LGAS,22310,Glen Eira (C),VIFSA Bentleigh District,8861,5146,2330,309,713,4769,22127
2026,31 Metropolitan LGAS,22310,Glen Eira (C),VIFSA Carnegie-Caulfield District,13582,11556,3040,596,3115,12828,44717
2026,48 Regional LGAs,22410,Glenelg (S),VIFSA Glenelg Rural,830,1389,293,35,86,1372,4004
2026,48 Regional LGAs,22410,Glenelg (S),VIFSA Portland Town,1002,1574,543,35,146,1798,5098
2026,48 Regional LGAs,22490,Golden Plains (S),VIFSA Bannockburn-Meredith District,2701,1948,586,50,77,1096,6458
2026,48 Regional LGAs,22490,Golden Plains (S),VIFSA Linton-Smythesdale District,1321,1220,299,15,37,796,3688
2026,48 Regional LGAs,22620,Greater Bendigo (C),VIFSA Ascot-Eaglehawk District,3865,3217,1961,128,517,3406,13095
2026,48 Regional LGAs,22620,Greater Bendigo (C),VIFSA Bendigo-Kangaroo Flat District,4697,5084,2401,229,742,6323,19476
2026,48 Regional LGAs,22620,Greater Bendigo (C),VIFSA East Bendigo-Strathfieldsaye District,4244,4383,1598,139,658,4157,15179
2026,48 Regional LGAs,22620,Greater Bendigo (C),VIFSA Greater Bendigo Rural,2509,2608,631,34,176,1800,7758
2026,31 Metropolitan LGAS,22670,Greater Dandenong (C),VIFSA Dandenong District,9278,5374,3446,500,1369,6138,26106
2026,31 Metropolitan LGAS,22670,Greater Dandenong (C),VIFSA Keysborough-Springvale District,15335,8177,5297,788,1569,7565,38732
2026,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Barwon Heads-Portarlington District,7840,8818,2550,145,606,7178,27136
2026,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Bell Park-Corio District,4645,4274,3333,246,716,6077,19292
2026,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Geelong Central District,1299,1814,622,89,472,2618,6914
2026,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Geelong Newtown District,1468,1282,387,44,201,1392,4775
2026,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Geelong West District,2576,2450,986,121,513,3427,10072
2026,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Grovedale-Highton District,10764,9062,3275,304,1409,8243,33057
2026,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Lara District,3286,2510,971,70,168,1802,8806
2026,48 Regional LGAs,22750,Greater Geelong (C),VIFSA Leopold-Newcomb District,3569,3892,1740,138,388,4167,13893
2026,48 Regional LGAs,22830,Greater Shepparton (C),VIFSA Arcadia-Tallygaroopna District,532,492,95,17,14,304,1454
2026,48 Regional LGAs,22830,Greater Shepparton (C),VIFSA Ardmona-Murchison District,1244,1357,362,32,112,1197,4304
2026,48 Regional LGAs,22830,Greater Shepparton (C),VIFSA Shepparton Town,6426,6238,2847,206,763,6880,23358
2026,48 Regional LGAs,22910,Hepburn (S),VIFSA Clunes-Creswick District,730,1038,308,18,52,1003,3149
2026,48 Regional LGAs,22910,Hepburn (S),VIFSA Daylesford-Glenlyon District,875,1560,376,13,149,1740,4714
2026,48 Regional LGAs,22980,Hindmarsh (S),VIFSA Hindmarsh Shire,551,832,159,20,59,824,2444
2026,31 Metropolitan LGAS,23110,Hobsons Bay (C),VIFSA Altona-Seabrook District,8587,6453,3199,412,869,6516,26036
2026,31 Metropolitan LGAS,23110,Hobsons Bay (C),VIFSA Newport-Williamstown District,5251,4074,1469,227,512,4217,15749
2026,48 Regional LGAs,23190,Horsham (RC),VIFSA Horsham Rural,391,422,84,2,13,375,1287
2026,48 Regional LGAs,23190,Horsham (RC),VIFSA Horsham Town,1779,2232,790,73,189,2547,7610
2026,31 Metropolitan LGAS,23270,Hume (C),VIFSA Broadmeadows District,9942,5555,4526,416,779,6015,27233
2026,31 Metropolitan LGAS,23270,Hume (C),VIFSA Bulla-Craigieburn District,26651,10619,6294,465,739,5880,50648
2026,31 Metropolitan LGAS,23270,Hume (C),VIFSA Sunbury District,6108,4504,2075,176,361,3717,16941
2026,48 Regional LGAs,23350,Indigo (S),VIFSA Beechworth-Chiltern District,1609,1908,473,18,109,1367,5483
2026,48 Regional LGAs,23350,Indigo (S),VIFSA Rutherglen District,431,639,170,9,45,622,1916
2026,31 Metropolitan LGAS,23430,Kingston (C) (Vic.),VIFSA Aspendale-Chelsea District,7761,6560,2546,223,662,6820,24571
2026,31 Metropolitan LGAS,23430,Kingston (C) (Vic.),VIFSA Moorabbin-Mordialloc District,15857,11747,4984,622,1512,12164,46886
2026,31 Metropolitan LGAS,23670,Knox (C),VIFSA Bayswater-Ferntree Gully District,9451,7823,3786,308,835,8105,30309
2026,31 Metropolitan LGAS,23670,Knox (C),VIFSA Rowville District,6918,4529,1319,138,207,2370,15481
2026,31 Metropolitan LGAS,23670,Knox (C),VIFSA Scoresby-Wantirna District,7922,5410,2145,208,415,3946,20045
2026,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Churchill District,1442,1659,539,32,110,1245,5027
2026,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Glengarry North-Tyers District,699,594,183,13,43,432,1964
2026,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Moe Town,1691,2032,1109,58,208,3000,8098
2026,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Morwell Town,1198,1716,996,54,213,2760,6938
2026,48 Regional LGAs,23810,Latrobe (C) (Vic.),VIFSA Traralgon Town,3312,3722,1457,104,366,4169,13130
2026,48 Regional LGAs,23940,Loddon (S),VIFSA Loddon Shire,737,1149,265,23,114,1215,3504
2026,48 Regional LGAs,24130,Macedon Ranges (S),VIFSA Gisborne District,4139,3280,885,67,104,2152,10627
2026,48 Regional LGAs,24130,Macedon Ranges (S),VIFSA Kyneton District,1300,1456,468,28,119,1376,4746
2026,48 Regional LGAs,24130,Macedon Ranges (S),VIFSA Romsey District,2238,2075,547,16,109,1221,6205
2026,31 Metropolitan LGAS,24210,Manningham (C),VIFSA Doncaster-Templestowe District,15499,11468,4066,559,1004,8222,40818
2026,31 Metropolitan LGAS,24210,Manningham (C),VIFSA Donvale-Warrandyte District,4129,2935,800,73,143,1744,9823
2026,48 Regional LGAs,24250,Mansfield (S),VIFSA Mansfield Shire,928,1473,337,25,111,1495,4369
2026,31 Metropolitan LGAS,24330,Maribyrnong (C),VIFSA Maribyrnong City,13468,11539,4691,1005,4321,13374,48398
2026,31 Metropolitan LGAS,24410,Maroondah (C),VIFSA Croydon District,9642,7259,3231,262,700,7139,28233
2026,31 Metropolitan LGAS,24410,Maroondah (C),VIFSA Ringwood District,7385,5645,2380,276,752,5559,21997
2026,31 Metropolitan LGAS,24600,Melbourne (C),VIFSA CBD-East Melbourne District,3085,9995,1127,1485,8304,15129,39126
2026,31 Metropolitan LGAS,24600,Melbourne (C),VIFSA Docklands-Southbank District,4443,11666,1733,885,4596,13079,36401
2026,31 Metropolitan LGAS,24600,Melbourne (C),VIFSA Parkville-West Melbourne District,5140,9324,2334,1097,7656,14366,39917
2026,31 Metropolitan LGAS,24650,Melton (C),VIFSA Caroline Springs-Hillside District,16593,7452,3881,347,458,4563,33293
2026,31 Metropolitan LGAS,24650,Melton (C),VIFSA Melton Central District,5782,3950,2860,201,492,3664,16949
2026,31 Metropolitan LGAS,24650,Melton (C),VIFSA Rockbank District,10909,5181,3506,307,666,4054,24625
2026,48 Regional LGAs,24780,Mildura (RC),VIFSA Mildura Rural,374,521,95,8,49,505,1552
2026,48 Regional LGAs,24780,Mildura (RC),VIFSA Mildura Town,6058,6634,2743,237,743,6958,23373
2026,48 Regional LGAs,24850,Mitchell (S),VIFSA Kilmore-Wallan District,7368,4666,2249,129,380,3441,18232
2026,48 Regional LGAs,24850,Mitchell (S),VIFSA Seymour District,1218,1369,566,36,119,1493,4802
2026,48 Regional LGAs,24900,Moira (S),VIFSA Cobram-Numurkah District,1955,2653,850,54,229,2643,8384
2026,48 Regional LGAs,24900,Moira (S),VIFSA Katamatite-Yarrawonga District,1215,1876,491,16,136,1557,5290
2026,31 Metropolitan LGAS,24970,Monash (C),VIFSA Clayton-Oakleigh District,7672,5763,1982,579,3197,5619,24812
2026,31 Metropolitan LGAS,24970,Monash (C),VIFSA Glen Waverley-Mulgrave District,13494,8495,3463,464,974,5653,32543
2026,31 Metropolitan LGAS,24970,Monash (C),VIFSA Mount Waverley District,8713,5845,2462,367,1216,4951,23555
2026,31 Metropolitan LGAS,25060,Moonee Valley (C),VIFSA Airport West-Niddrie District,6624,4727,2330,294,434,4303,18712
2026,31 Metropolitan LGAS,25060,Moonee Valley (C),VIFSA Ascot Vale-Strathmore District,12430,9668,3482,752,2525,11816,40674
2026,48 Regional LGAs,25150,Moorabool (S),VIFSA Bacchus Marsh District,3891,2855,1372,74,206,2572,10970
2026,48 Regional LGAs,25150,Moorabool (S),VIFSA Ballan District,866,919,247,7,58,783,2881
2026,48 Regional LGAs,25150,Moorabool (S),VIFSA Gordon-Mount Egerton District,813,748,201,11,57,537,2367
2026,31 Metropolitan LGAS,25250,Moreland (C),VIFSA Brunswick District,6305,8246,2070,588,4475,10027,31710
2026,31 Metropolitan LGAS,25250,Moreland (C),VIFSA Coburg-Pascoe Vale District,11474,8066,3214,608,2161,8157,33679
2026,31 Metropolitan LGAS,25250,Moreland (C),VIFSA Fawkner-Glenroy District,7342,4494,2398,342,760,4841,20176
2026,31 Metropolitan LGAS,25340,Mornington Peninsula (S),VIFSA Flinders-Nepean District,6130,9997,2911,191,636,9376,29240
2026,31 Metropolitan LGAS,25340,Mornington Peninsula (S),VIFSA Hastings-Somerville District,5461,5815,2244,137,414,5149,19222
2026,31 Metropolitan LGAS,25340,Mornington Peninsula (S),VIFSA Mornington District,8650,8964,2516,183,473,7398,28183
2026,48 Regional LGAs,25430,Mount Alexander (S),VIFSA Castlemaine Town,1086,1445,573,48,207,1964,5323
2026,48 Regional LGAs,25430,Mount Alexander (S),VIFSA Mount Alexander Rural,889,1440,304,22,136,1261,4052
2026,48 Regional LGAs,25490,Moyne (S),VIFSA Macarthur-Port Fairy District,1254,1492,359,38,95,1206,4444
2026,48 Regional LGAs,25490,Moyne (S),VIFSA Mortlake-Woolsthorpe District,888,991,253,27,63,837,3057
2026,48 Regional LGAs,25620,Murrindindi (S),VIFSA Alexandra District,631,1301,212,9,89,1283,3526
2026,48 Regional LGAs,25620,Murrindindi (S),VIFSA Kinglake-Yea District,950,1245,316,18,80,1089,3698
2026,31 Metropolitan LGAS,25710,Nillumbik (S),VIFSA Eltham-Kangaroo Ground District,4854,3481,972,65,134,2119,11626
2026,31 Metropolitan LGAS,25710,Nillumbik (S),VIFSA Hurstbridge-St Andrews District,1381,1082,300,14,48,691,3517
2026,31 Metropolitan LGAS,25710,Nillumbik (S),VIFSA Plenty-Wattle Glen District,4084,2605,783,54,110,1329,8964
2026,48 Regional LGAs,25810,Northern Grampians (S),VIFSA St Arnaud District,287,459,121,5,34,557,1464
2026,48 Regional LGAs,25810,Northern Grampians (S),VIFSA Stawell District,751,1187,296,30,130,1291,3685
2026,31 Metropolitan LGAS,25900,Port Phillip (C),VIFSA Albert Park-Port Melbourne District,5351,9018,2041,512,2098,11033,30053
2026,31 Metropolitan LGAS,25900,Port Phillip (C),VIFSA Elwood-St Kilda District,4787,9379,2005,518,3759,16532,36979
2026,48 Regional LGAs,25990,Pyrenees (S),VIFSA Avoca-Landsborough District,297,546,116,5,46,553,1564
2026,48 Regional LGAs,25990,Pyrenees (S),VIFSA Beaufort-Snake Valley District,453,568,131,0,45,600,1798
2026,48 Regional LGAs,26080,Queenscliffe (B),VIFSA Queenscliffe Borough,260,596,91,1,13,489,1450
2026,48 Regional LGAs,26170,South Gippsland (S),VIFSA Korumburra District,1089,1408,349,25,71,1191,4133
2026,48 Regional LGAs,26170,South Gippsland (S),VIFSA Leongatha District,1343,1714,446,27,104,1563,5197
2026,48 Regional LGAs,26170,South Gippsland (S),VIFSA Promontory District,894,1645,300,19,109,1606,4572
2026,48 Regional LGAs,26260,Southern Grampians (S),VIFSA Hamilton Town,1031,1416,412,23,107,1693,4683
2026,48 Regional LGAs,26260,Southern Grampians (S),VIFSA Southern Grampians Rural,666,873,183,8,36,806,2572
2026,31 Metropolitan LGAS,26350,Stonnington (C),VIFSA Malvern District,6423,5102,1425,338,1316,5529,20133
2026,31 Metropolitan LGAS,26350,Stonnington (C),VIFSA Prahran-Toorak District,6115,11672,2232,695,4521,16589,41825
2026,48 Regional LGAs,26430,Strathbogie (S),VIFSA Strathbogie Shire,1061,1835,418,25,124,1870,5333
2026,48 Regional LGAs,26490,Surf Coast (S),VIFSA Surf Coast Rural,1324,1907,359,31,110,1437,5168
2026,48 Regional LGAs,26490,Surf Coast (S),VIFSA Torquay Town,3759,3260,816,79,360,2193,10467
2026,48 Regional LGAs,26610,Swan Hill (RC),VIFSA Robinvale Town,365,366,118,16,68,357,1291
2026,48 Regional LGAs,26610,Swan Hill (RC),VIFSA Swan Hill Rural,704,890,175,11,62,688,2530
2026,48 Regional LGAs,26610,Swan Hill (RC),VIFSA Swan Hill Town,1261,1389,551,63,197,1639,5101
2026,48 Regional LGAs,26670,Towong (S),VIFSA Towong Shire,615,1052,162,14,73,971,2886
2026,48 Regional LGAs,26700,Wangaratta (RC),VIFSA Wangaratta Rural,1246,1489,250,27,86,930,4027
2026,48 Regional LGAs,26700,Wangaratta (RC),VIFSA Wangaratta Town,1989,2673,1024,97,277,3302,9362
2026,48 Regional LGAs,26730,Warrnambool (C),VIFSA Warrnambool City,4052,4544,1713,138,604,4971,16023
2026,48 Regional LGAs,26810,Wellington (S),VIFSA Heyfield-Maffra District,1769,2045,595,41,128,1912,6490
2026,48 Regional LGAs,26810,Wellington (S),VIFSA Rosedale District,1005,1349,260,24,100,1111,3848
2026,48 Regional LGAs,26810,Wellington (S),VIFSA Sale Town,1739,1965,753,59,206,2400,7122
2026,48 Regional LGAs,26810,Wellington (S),VIFSA Yarram District,539,891,241,11,79,969,2730
2026,48 Regional LGAs,26890,West Wimmera (S),VIFSA West Wimmera Shire,368,534,88,13,23,589,1615
2026,31 Metropolitan LGAS,26980,Whitehorse (C),VIFSA Blackburn-Forest Hill District,8642,5837,2341,314,1050,5387,23573
2026,31 Metropolitan LGAS,26980,Whitehorse (C),VIFSA Box Hill District,9496,6862,2735,569,2434,7492,29587
2026,31 Metropolitan LGAS,26980,Whitehorse (C),VIFSA Nunawading-Vermont District,8033,5569,2029,228,681,4929,21469
2026,31 Metropolitan LGAS,27070,Whittlesea (C),VIFSA Epping-Whittlesea District,29216,13374,7820,516,1119,9192,61238
2026,31 Metropolitan LGAS,27070,Whittlesea (C),VIFSA Lalor-Thomastown District,6769,4430,2854,342,427,3637,18460
2026,31 Metropolitan LGAS,27070,Whittlesea (C),VIFSA Mill Park District,6927,4715,1964,256,781,3535,18179
2026,48 Regional LGAs,27170,Wodonga (C),VIFSA Wodonga Rural City,5523,5825,2551,166,622,5747,20435
2026,31 Metropolitan LGAS,27260,Wyndham (C),VIFSA Hoppers Crossing-Truganina District,25938,10916,6627,517,1184,7600,52780
2026,31 Metropolitan LGAS,27260,Wyndham (C),VIFSA Point Cook-Werribee South District,15529,7032,3174,289,661,3597,30282
2026,31 Metropolitan LGAS,27260,Wyndham (C),VIFSA Werribee-Wyndham Vale District,13505,7242,5117,337,918,6610,33728
2026,31 Metropolitan LGAS,27350,Yarra (C),VIFSA Abbotsford-Fitzroy District,5797,9698,2444,516,4565,11610,34630
2026,31 Metropolitan LGAS,27350,Yarra (C),VIFSA Burnley-Richmond District,3337,5602,1564,405,2591,6991,20491
2026,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Belgrave-Olinda District,4214,3668,1178,76,271,2542,11949
2026,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Healesville District,1798,1966,716,40,134,1709,6363
2026,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Kilsyth-Lilydale District,12321,9429,3921,301,620,7405,33998
2026,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Monbulk-Seville District,2059,1720,492,35,89,934,5328
2026,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Upper Yarra Valley District,26,45,9,1,2,30,113
2026,31 Metropolitan LGAS,27450,Yarra Ranges (S),VIFSA Warburton-Yarra Junction District,1920,1995,863,45,194,1996,7013
2026,48 Regional LGAs,27630,Yarriambiack (S),VIFSA Yarriambiack Shire,581,912,256,11,71,1044,2875
2026,48 Regional LGAs,29399,Unincorporated Vic,VIFSA Unincorporated Vic,89,148,32,2,13,137,421
2026,48 Regional LGAs,20110,Alpine (S),,1281,1984,495,39,174,1912,5885
2026,48 Regional LGAs,20260,Ararat (RC),,1157,1589,478,48,159,1687,5118
2026,48 Regional LGAs,20570,Ballarat (C),,13937,13908,6260,500,2363,16140,53108
2026,31 Metropolitan LGAs,20660,Banyule (C),,18519,14019,5832,747,1747,13542,54406
2026,48 Regional LGAs,20740,Bass Coast (S),,3576,6406,1858,132,518,6782,19272
2026,48 Regional LGAs,20830,Baw Baw (S),,7186,8103,2687,171,585,6848,25579
2026,31 Metropolitan LGAs,20910,Bayside (C),,15810,12581,3786,395,1051,11670,45293
2026,48 Regional LGAs,21010,Benalla (RC),,1337,2282,641,46,192,2283,6781
2026,31 Metropolitan LGAs,21110,Boroondara (C),,26205,19272,6008,1220,4113,19148,75966
2026,31 Metropolitan LGAs,21180,Brimbank (C),,29012,17679,11690,1469,2500,15249,77599
2026,48 Regional LGAs,21270,Buloke (S),,535,890,174,23,85,955,2663
2026,48 Regional LGAs,21370,Campaspe (S),,4158,5394,1605,110,403,4926,16597
2026,31 Metropolitan LGAs,21450,Cardinia (S),,20962,13121,6364,443,1112,9862,51864
2026,31 Metropolitan LGAs,21610,Casey (C),,65014,34406,17486,1542,3171,22902,144521
2026,48 Regional LGAs,21670,Central Goldfields (S),,1214,1936,716,33,220,2381,6500
2026,48 Regional LGAs,21750,Colac-Otway (S),,2237,2955,941,94,310,3306,9843
2026,48 Regional LGAs,21830,Corangamite (S),,1674,2280,560,45,139,2225,6923
2026,31 Metropolitan LGAs,21890,Darebin (C),,21302,17480,7185,1335,6093,20981,74377
2026,48 Regional LGAs,22110,East Gippsland (S),,4697,8194,2088,119,608,7613,23319
2026,31 Metropolitan LGAs,22170,Frankston (C),,18171,15409,8588,708,2027,17722,62625
2026,48 Regional LGAs,22250,Gannawarra (S),,1064,1591,328,27,104,1627,4741
2026,31 Metropolitan LGAs,22310,Glen Eira (C),,22443,16702,5370,904,3828,17596,66845
2026,48 Regional LGAs,22410,Glenelg (S),,1832,2963,836,69,232,3170,9102
2026,48 Regional LGAs,22490,Golden Plains (S),,4022,3168,885,65,114,1892,10147
2026,48 Regional LGAs,22620,Greater Bendigo (C),,15316,15291,6591,530,2093,15686,55508
